ADM1,Constituency
Aichi,aichi 1
Aichi,aichi 2
Aichi,aichi 3
Aichi,aichi 4
Aichi,aichi 5
Aichi,aichi 6
Akita,akita 1
Akita,akita 2
Aomori,aomori 1
Aomori,aomori 2
Chiba,chiba 1
Chiba,chiba 2
Chiba,chiba 3
Chiba,chiba 4
Ehime,ehime 1
Ehime,ehime 2
Ehime,ehime 3
Fukui,fukui 1
Fukuoka,fukuoka 1
Fukuoka,fukuoka 2
Fukuoka,fukuoka 3
Fukuoka,fukuoka 4
Fukushima,fukushima 1
Fukushima,fukushima 2
Fukushima,fukushima 3
Gifu,gifu 1
Gifu,gifu 2
Gunma,gunma 1
Gunma,gunma 2
Gunma,gunma 3
Hiroshima,hiroshima 1
Hiroshima,hiroshima 2
Hiroshima,hiroshima 3
Hokkaido,Hokkaido
Hokkaido,Kinki
Hokkaido,Tokai
Hokkaido,hokkaido 1
Hokkaido,hokkaido 2
Hokkaido,hokkaido 3
Hokkaido,hokkaido 4
Hokkaido,hokkaido 5
Hyōgo,hyogo 1
Hyōgo,hyogo 2
Hyōgo,hyogo 3
Hyōgo,hyogo 4
Hyōgo,hyogo 5
Ibaraki,ibaragi 1
Ibaraki,ibaragi 2
Ibaraki,ibaragi 3
Ishikawa,ishikawa 1
Ishikawa,ishikawa 2
Iwate,iwate 1
Iwate,iwate 2
Kagawa,kagawa 1
Kagawa,kagawa 2
Kagoshima,kagoshima 1
Kagoshima,kagoshima 2
Kagoshima,kagoshima 3
Kagoshima,kagoshima 4
Kanagawa,kanagawa 1
Kanagawa,kanagawa 2
Kanagawa,kanagawa 3
Kanagawa,kanagawa 4
Kanagawa,kanagawa 5
Kochi,kochi 1
Kumamoto,kumamoto 1
Kumamoto,kumamoto 2
Kyoto,kyoto 1
Kyoto,kyoto 2
Mie,Minamikanto
Mie,mie 1
Mie,mie 2
Miyagi,miyagi 1
Miyagi,miyagi 2
Miyazaki,miyazaki 1
Miyazaki,miyazaki 2
Nagano,nagano 1
Nagano,nagano 2
Nagano,nagano 3
Nagano,nagano 4
Nagasaki,nagasaki 1
Nagasaki,nagasaki 2
Nara,nara 1
Niigata,niigata 1
Niigata,niigata 2
Niigata,niigata 3
Niigata,niigata 4
Oita,Kitakanto
Oita,oita 1
Oita,oita 2
Okayama,okayama 1
Okayama,okayama 2
Okinawa,okinawa 1
Osaka,osaka 1
Osaka,osaka 2
Osaka,osaka 3
Osaka,osaka 4
Osaka,osaka 5
Osaka,osaka 6
Osaka,osaka 7
Saga,saga 1
Saitama,saitama 1
Saitama,saitama 2
Saitama,saitama 3
Saitama,saitama 4
Saitama,saitama 5
Shiga,shiga 1
Shimane,Hokurikushinetsu
Shimane,shimane 1
Shizuoka,Chugoku
Shizuoka,Shikoku
Shizuoka,shizuoka 1
Shizuoka,shizuoka 2
Shizuoka,shizuoka 3
Tochigi,tochigi 1
Tochigi,tochigi 2
Tokushima,Kyushu
Tokushima,Tohoku
Tokushima,tokushima 1
Tokyo,Tokyo
Tokyo,tokyo 1
Tokyo,tokyo 10
Tokyo,tokyo 11
Tokyo,tokyo 2
Tokyo,tokyo 3
Tokyo,tokyo 4
Tokyo,tokyo 5
Tokyo,tokyo 6
Tokyo,tokyo 7
Tokyo,tokyo 8
Tokyo,tokyo 9
Tottori,tottori 1
Toyama,toyama 1
Toyama,toyama 2
Wakayama,wakayama 1
Wakayama,wakayama 2
Yamagata,yamagata 1
Yamagata,yamagata 2
Yamaguchi,yamaguchi 1
Yamaguchi,yamaguchi 2
Yamanashi,yamanashi 1
