ADM1,Constituency
Central,Bela-Bela
Central,Berea
Central,Ketane
Central,Maliepetsane
Central,Matala
Central,Mekaling
Central,Peka
Central,Qalo
Central,Sea Point
Central,Sebapala
Central,Semena
Central,Tele
Central,Thaba Phechela
Central,Thaba-Phechela
Central,Tlametlu
Central,chiengi
Central,chikankata
Central,chinsali
Central,chinsali south
Central,chipangali
Central,chipata central
Central,chipili
Central,chitambo
Central,feira
Central,kabwe central
Central,kalabo central
Central,kalomo
Central,kalomo central
Central,kaoma central
Central,kasama central
Central,luena
Central,lundazi central
Central,lusaka central
Central,lusaka city central
Central,mansa central
Central,mongu central
Central,monze central
Central,mpika central
Central,muchinga
Central,mufulira
Central,munali
Central,nalolo
Central,ndola central
Central,petauke
Central,petauke central
Central,roan
Central,senanga central
Central,senga hill
Central,solwezi central
Coast,Bobatsi
Coast,Boleka
Coast,Boqate
Coast,Hloahloeng
Coast,Kolo
Coast,Machache
Coast,Mahlatsa
Coast,Mashai
Coast,Mechachane
Coast,Mokhotlong
Coast,Mosalemane
Coast,Motimposo
Coast,Mphosong
Coast,Qacha's Nek
Coast,Qaqatu
Coast,Qhoali
Coast,Qoaling
Coast,Stadium Area
Coast,Thaba-Moea
Coast,Thaba-Phatsoa
Coast,Thaba-Putsoa
Coast,Tsikoane
Coast,bwacha
Coast,chama south
Coast,chasefu
Coast,chavuma
Coast,chawama
Coast,chingola
Coast,chipata
Coast,chipata east
Coast,chisamba
Coast,choma
Coast,chongwe
Coast,isoka east
Coast,isoka west
Coast,kabompo east
Coast,kabwata
Coast,kafulafuta
Coast,kaoma
Coast,kaputa
Coast,kasama
Coast,katuba
Coast,kawambwa east
Coast,kwacha
Coast,libonda
Coast,lukashya
Coast,lukona
Coast,lukulu east
Coast,lupososhi
Coast,lusaka rural east
Coast,masaiti
Coast,moomba
Coast,mpika east
Coast,mporokoso
Coast,mporokoso south
Coast,mufulira east
Coast,mumbwa
Coast,mumbwa east
Coast,mwinilunga east
Coast,ndola
Coast,ndola south
Coast,samfya east
Coast,solwezi east
Coast,zambezi east
Eastern,Hleoheng
Eastern,Kueneng
Eastern,Lebakeng
Eastern,Lipelaneng
Eastern,Mabote
Eastern,Mafeteng
Eastern,Makhaleng
Eastern,Maputsoe
Eastern,Maseru
Eastern,Matlakeng
Eastern,Matseing
Eastern,Matsieng
Eastern,Mohale's Hoek
Eastern,Mpharane
Eastern,Pela-Tsoeu
Eastern,Pela-ts'oeu
Eastern,Pitseng
Eastern,Teyateyaneng
Eastern,kasempa
Eastern,kasenengwa
Eastern,keembe
Eastern,livingstone
Eastern,luangeni
Eastern,lubansenshi
Eastern,matero
Eastern,monze east
Eastern,ndola rural east
Eastern,pambashe
Eastern,senanga east
Eastern,serenje
Eastern,sesheke
Nairobi,Abia
Nairobi,Mahobong
Nairobi,Malibamats'O
Nairobi,Malibamatso
Nairobi,Malimong
Nairobi,Mohobollo
Nairobi,Mount Moorosi
Nairobi,Thaba-Bosiu
Nairobi,chifubu
Nairobi,chifunabuli
Nairobi,chililabombwe
Nairobi,chilubi
Nairobi,chimbamilonga
Nairobi,kabompo
Nairobi,kabushi
Nairobi,kanchibiya
Nairobi,kapiri mposhi
Nairobi,katombola
Nairobi,magoye
Nairobi,mambilima
Nairobi,mulobezi
Nairobi,mwansabombwe
