ADM1,Constituency
Batdâmbâng,battambang
Bântéay Méanchey,banteay meanchey
Kaôh Kong,koh kong
Kep,kep
Krong Pailin,pailin
Krong Preah Sihanouk,sihanouk ville
Kâmpóng Cham,kampong cham
Kâmpóng Chhnang,kampong chhnang
Kâmpóng Spœ,kampong speu
Kâmpóng Thum,kampong thom
Kâmpôt,kampot
Kândal,kandal
Môndól Kiri,kratié
Môndól Kiri,mondulkiri
Otdar Mean Chey,oddar meancheay
Phnom Penh,phnom penh
Pouthisat,pursat
Preah Vihéar,preah vihear
Prey Vêng,prey veng
Rôtânôkiri,ratanakiri
Siemréab,siem reap
Stœng Trêng,stung treng
Svay Rieng,svay rieng
Takêv,takéo
