ADM1,Constituency
Christ Church Nichola Town,Anguilla
Saint Anne Sandy Point,Old Road/Sandy Point
Saint Anne Sandy Point,Sandy Point
Saint Anne Sandy Point,Sandy Point/Dieppe Bay
Saint Anne Sandy Point,St. Anne Parish
Saint George Basseterre,Basseterre East
Saint George Basseterre,Basseterre West
Saint George Basseterre,Dieppe Bay
Saint George Basseterre,St. George
Saint George Basseterre,St. George's
Saint George Basseterre,St. George/ St. James (Nevis)
Saint George Gingerland,Gingerland (Nevis)
Saint George Gingerland,Molineaux
Saint George Gingerland,Saddlers/Molineaux
Saint John Capesterre,St. John's and St. Paul's
Saint John Capesterre,St. John/St. Paul/St. Thomas (Nevis)
Saint John Figtree,Half Way Tree
Saint John Figtree,Newton Ground-Harris
Saint Mary Cayon,Cayon
Saint Mary Cayon,St. Peter/St. Mary/Cristchurch
Saint Paul Charlestown,Charlestown (Nevis)
Saint Paul Charlestown,St. Johns/St. Paul
Saint Peter Basseterre,Basseterre Central
Saint Peter Basseterre,Belle Vue-Ottley's
Saint Peter Basseterre,Ottley's-St. Peter's
Saint Thomas Lowland,St. Ann/St. Thomas/Trinity
Saint Thomas Middle Island,St. Thomas's and St. James's
