ADM1,Constituency
Busan,ansan-si sangnok-gu eul
Busan,ansan-si sangnok-gu gap
Busan,busan
Busan,busan 1
Busan,busan 10
Busan,busan 11
Busan,busan 12
Busan,busan 13
Busan,busan 14
Busan,busan 15
Busan,busan 16
Busan,busan 17
Busan,busan 18
Busan,busan 19
Busan,busan 2
Busan,busan 20
Busan,busan 21
Busan,busan 3
Busan,busan 4
Busan,busan 5
Busan,busan 6
Busan,busan 7
Busan,busan 8
Busan,busan 9
Busan,busanjin-gu eul
Busan,busanjin-gu gap
Busan,cheongju-si sangdang-gu
Busan,gochang-gun buan-gun
Busan,gunsan-si
Busan,iksan-si gap
Busan,masan-si
Busan,masan-si gap
Busan,nonsan-si gyeryong-si geumsan-gun
Busan,sasang-gu
Daegu,anyang-si manan-gu
Daegu,buk-gu gap
Daegu,daedeok-gu
Daegu,daegu
Daegu,daegu 1
Daegu,daegu 10
Daegu,daegu 11
Daegu,daegu 12
Daegu,daegu 13
Daegu,daegu 2
Daegu,daegu 3
Daegu,daegu 4
Daegu,daegu 5
Daegu,daegu 6
Daegu,daegu 7
Daegu,daegu 8
Daegu,daegu 9
Daegu,dangjin- si
Daegu,dobong-gu gap
Daegu,dong-gu gap
Daegu,dongdaemun-gu eul
Daegu,dongdaemun-gu gap
Daegu,dongjak-gu gap
Daegu,dongnae-gu
Daegu,gumi-si gap
Daegu,guro-gu gap
Daegu,haenam-gun jindo-gun
Daegu,haenam-gun wando-gun jindo-gun
Daegu,haeundae-gu gijang-gun eul
Daegu,haeundae-gu gijang-gun gap
Daegu,jeonju-si wansan-gu gap
Daegu,jinan-gun muju-gun jangsu-gun imsil-gun
Daegu,jung-gu nam-gu
Daegu,mapo-gu gap
Daegu,muan-gun sinan-gun
Daegu,nam-gu
Daegu,nam-gu gap
Daegu,namdong-gu gap
Daegu,namhae-gun hadong-gun
Daegu,sacheon-si namhae-gun hadong-gun
Daegu,saha-gu gap
Daegu,seodaemun-gu eul
Daegu,seodaemun-gu gap
Daegu,suwon-si paldal-gu
Daejeon,daejeon
Daejeon,daejeon  1
Daejeon,daejeon  2
Daejeon,daejeon  3
Daejeon,daejeon  4
Daejeon,daejeon  5
Daejeon,daejeon  6
Daejeon,daejeon  7
