name,ideology
minjeong-dang,social democrat
minju-dang,liberal-socialist
saejeongchi gungminhoeui,liberal democrat
sin hankuk-dang,liberal-socialist
yeollin uri party,liberal-socialist
independent,other
sinhan minju-dang,liberal-socialist
minju jayu-dang,conservative
daehan dongnip chokseong gungmin-hoe,liberal democrat
minju jeongui-dang,liberal democrat
saenuri-dang,conservative
minju gonghwa-dang,regionalist
tonghap minju-dang,liberal-socialist
min ju tong hap-dang,liberal democrat
jayu-dang,conservative
hannara-dang,conservative
sinmin-dang,liberal democrat
saecheonnyeon minju-dang,liberal-socialist
jayu minju yeonhap,conservative
pyunghwa minju-dang,liberal-socialist
tongil minju-dang,liberal-socialist
jayu seonjin-dang,liberal democrat
hanguk minju-dang,liberal-socialist
