ADM1,Constituency
Bomi,rodrigues
Bong,belle rose and quatre bornes
Bong,flacq and bon accueil
Grand Kru,grand baie and poudre d'or
Grand Kru,la caverne and phoenix
Grand Kru,port louis south and port louis central
Grand Kru,stanley and rose hill
Grand Kru,vacoas and floreal
Grand Kru,vieux grand port and rose belle
Margibi,port louis maritime and port louis east
Maryland,curepipe and midlands
Maryland,quartier militaire and moka
River Cess,riviere des anguilles and souillac
River Gee,beau bassin and petite riviere
River Gee,grand river north west and port louis west
River Gee,montagne blanche and grand river south east
River Gee,piton and riviere du rempart
River Gee,savanne and black river
Sinoe,mahebourg and plaine magnien
Sinoe,pamplemousses and triolet
Sinoe,port louis north and montagne longue
