ADM1,Constituency
Anse-la-Raye,anse-la-raye
Anse-la-Raye,anse-la-raye/canaries
Castries,cas/south-east
Castries,castries central
Castries,castries east
Castries,castries north
Castries,castries northeast
Castries,castries northwest/babonneau
Castries,castries south
Castries,castries south-east
Castries,castries southeast
Castries,central castries
Castries,east castries
Castries,north castries
Castries,northwest castries/gros islet
Castries,south castries
Choiseul,choiseul
Choiseul,choiseul/fond st jacques
Dennery,dennery
Dennery,dennery north
Dennery,dennery south
Dennery,micoud/dennery
Gros Islet,gros-islet
Laborie,babonneau
Laborie,laborie
Laborie,laborie/saltibus
Laborie,laborie/vieux fort
Laborie,laborie/vieux-fort
Laborie,vieux fort/laborie
Laborie,vieux-fort/laborie
Micoud,micoud north
Micoud,micoud south
Micoud,micoud/praslin
Micoud,micoud/south
Soufrière,soufriere
Vieux Fort,vieux fort/north
Vieux Fort,vieux fort/south
Vieux Fort,vieux-fort north
Vieux Fort,vieux-fort south
