ADM1,Constituency
Ampāra,ampara
Ampāra,amparai
Ampāra,uva paranagama
Ampāra,uva-paranagama
Anurādhapura,anuradapura
Anurādhapura,anuradhapura
Anurādhapura,anuradhapura district
Anurādhapura,anuradhapura east
Anurādhapura,anuradhapura west
Anurādhapura,dehiwala
Anurādhapura,haputale
Anurādhapura,udduppiddi
Anurādhapura,udduppidi
Anurādhapura,udunawara
Anurādhapura,udupiddy
Anurādhapura,uduppiddi
Badulla,baddegama
Badulla,baddegamma
Badulla,badulla
Badulla,badulla district
Badulla,balangoda
Badulla,bandarawela
Badulla,borella
Badulla,dambulla
Badulla,digamadulla
Badulla,digamadulla district
Badulla,habaraduwa
Badulla,kaduwela
Badulla,pelmadulla
Badulla,uduvil
Badulla,vaddukkoddai
Badulla,vaddukoddai
Badulla,waddukkodai
Badulla,wellawatta-galkissa
Gampaha,biyagama
Gampaha,dandagamuwa
Gampaha,dedigama
Gampaha,galaha
Gampaha,gampaha
Gampaha,gampaha district
Gampaha,gampola
Gampaha,horowpathana
Gampaha,katugampola
Gampaha,polgahawela
Gampaha,tissamaharama
Gampaha,tissamahrama
Gampaha,weligama
Gampaha,yapahuwa
Gālla,ruwanwella
Gālla,wellawatte-galkissa
Gālla,wellawaya
Hambantŏṭa,akmeemana
Hambantŏṭa,amabalangoda
Hambantŏṭa,ambalangoda
Hambantŏṭa,beliatta
Hambantŏṭa,colombo north
Hambantŏṭa,dambadeniya
Hambantŏṭa,dehiowita
Hambantŏṭa,hakmana
Hambantŏṭa,hambantota
Hambantŏṭa,hambantota district
Hambantŏṭa,hewaheta
Hambantŏṭa,jaffna
Hambantŏṭa,rambukkana
Hambantŏṭa,yatiyantota
Kaḷutara,akuressa
Kaḷutara,alutnuwara
Kaḷutara,horawupotana
Kaḷutara,kadugannawa
Kaḷutara,kalutara
Kaḷutara,kalutara district
Kaḷutara,kalutura
Kaḷutara,kamurupitiya
Kaḷutara,katana
Kaḷutara,kayts
Kaḷutara,kottawa
Kaḷutara,kundasale
Kilinŏchchi,chavakachcheri
Kilinŏchchi,chilaw
Kilinŏchchi,kilinochchi
Kilinŏchchi,killinochchi
Kilinŏchchi,minipe
Kuruṇægala,akurana
Kuruṇægala,beruwala
Kuruṇægala,kekirawa
Kuruṇægala,kundaslae
Kuruṇægala,kurunegala
Kuruṇægala,kurunegala district
Kuruṇægala,seruvila
Kuruṇægala,udugama
Kægalla,agalawatta
Kægalla,agalawatte
Kægalla,agalwatte
Kægalla,attanagalla
Kægalla,attangalla
Kægalla,avisawella
Kægalla,avissawella
Kægalla,awissawella
Kægalla,bulathsinghala
Kægalla,dehiwala-mt. lavinia
Kægalla,dehiwala-mt.lavinia
Kægalla,deraniyagala
Kægalla,dodangaslanda
Kægalla,galadedera
Kægalla,galadegera
Kægalla,galagedara
Kægalla,galgedara
Kægalla,galle
Kægalla,galle district
Kægalla,hali-ela
Kægalla,ja-ela
Kægalla,kalawana
Kægalla,kalawewa
Kægalla,kalkudah
Kægalla,kalkuldah
Kægalla,kalmanai
Kægalla,kalmunai
Kægalla,kegalla
Kægalla,kegalle
Kægalla,kegalle district
Kægalla,kiriella
Kægalla,koloma
Kægalla,kolonna
Kægalla,kotagala
Kægalla,laggala
Kægalla,mawanella
Kægalla,mulkirigala
Kægalla,nivitigala
Kægalla,niwitigala
Kægalla,senkadagala
Kægalla,senkadgala
Kŏḷamba,colombo
Kŏḷamba,colombo east
Kŏḷamba,kamburupitiya
Kŏḷamba,kesbewa
Kŏḷamba,negambo
Kŏḷamba,negombo
Mahanuvara,devinuwara
Mahanuvara,hanguranketa
Mahanuvara,hanguranketha
Mahanuvara,horana
Mahanuvara,mahanuwara
Mahanuvara,mahanuwara district
Mahanuvara,mahara
Mahanuvara,mahiyangana
Mahanuvara,mahiyangane
Mahanuvara,mathugama
Mahanuvara,mawathagama
Mahanuvara,minuwangoda
Mahanuvara,panduwasnuwara
Mahanuvara,pathadumbara
Mahanuvara,samanthurai
Mahanuvara,udunuwara
Mannārama,anamaduwa
Mannārama,bandaragama
Mannārama,homagama
Mannārama,kolonnawa
Mannārama,maharagama
Mannārama,manipai
Mannārama,mannar
Mannārama,matugama
Mannārama,maturata
Mannārama,minneriya
Mannārama,mirigama
Mannārama,moneragla
Mannārama,rathgma
Maḍakalapuva,mawatagama
Maḍakalapuva,potuvil
Maḍakalapuva,rakwana
Maḍakalapuva,viyaluwa
Maḍakalapuva,walapane
Mulativ,ambalangoda-balapitiya
Mulativ,balapitiya
Mulativ,bulathsinhala
Mulativ,bulathsinhla
Mulativ,colombo south
Mulativ,divulapitiya
Mulativ,divulapitya
Mulativ,kuliyapitiya
Mulativ,mulativu
Mulativ,vanni district
Mātale,bibile
Mātale,colombo central
Mātale,colombo west
Mātale,dehiwela mt. levinia
Mātale,dompe
Mātale,kothmale
Mātale,kotmale
Mātale,kotte
Mātale,matale
Mātale,matale district
Mātale,mihintale
Mātale,point pedro
Mātale,point-pedro
Mātale,tangalle
Mātale,teldeniya
Mātale,trincomalee
Mātale,trincomalee district
Mātara,colombo district
Mātara,matara
Mātara,matara district
Mātara,medawachchichiya
Mātara,medawachchiya
Mātara,mutur
Mātara,udadumbara
Mātara,welimada
Mŏṇarāgala,medirigiriya
Mŏṇarāgala,monaragala
Mŏṇarāgala,monaragala district
Mŏṇarāgala,moneragala
Mŏṇarāgala,wariyapola
Nuvara Ĕliya,bentara -elipitiya
Nuvara Ĕliya,bentara-elpitiya
Nuvara Ĕliya,bentra-elpitiya
Nuvara Ĕliya,bingiriya
Nuvara Ĕliya,bingiriyiya
Nuvara Ĕliya,ehaliyagoda
Nuvara Ĕliya,je-ela
Nuvara Ĕliya,karandeniya
Nuvara Ĕliya,kopai
Nuvara Ĕliya,maskeliya
Nuvara Ĕliya,nattandiya
Nuvara Ĕliya,navalapitiya
Nuvara Ĕliya,nawalapitiya
Nuvara Ĕliya,nikaveratiya
Nuvara Ĕliya,nikaweatiya
Nuvara Ĕliya,nikaweratiya
Nuvara Ĕliya,nikawratiya
Nuvara Ĕliya,nuwara - eliya
Nuvara Ĕliya,nuwara eliya
Nuvara Ĕliya,nuwara-eliya
Nuvara Ĕliya,nuwara-eliya - maskeliya
Nuvara Ĕliya,nuwara-ellya
Nuvara Ĕliya,nuwara/eliya
Nuvara Ĕliya,nuwaraeliya
Nuvara Ĕliya,nuwaraeliya district
Puttalama,batticaloa
Puttalama,batticaloa district
Puttalama,buttala
Puttalama,galgamuwa
Puttalama,galigamuwa
Puttalama,pottuvil
Puttalama,puttalam
Puttalama,puttalam district
Puttalama,ratmalana
Puttalama,talawakele
