name,ideology
tamil eelam liberation organisation,regionalist
independent,other
key,social democrat
people's alliance,social democrat
hand,other
cart wheel,other
elephant,other
sun,other
united people's freedom alliance,social democrat
umbrella,other
sri lanka tamil united party,regionalist
citizen's front,regionalist
pair of spectacles,other
tamil united liberation front,regionalist
lamp,other
butterfly,other
pair of scales,other
bird,other
star,other
aeroplane,other
united national party,conservative
democratic people's liberation front,regionalist
house,other
pineapple,other
