ADM1,Constituency
Aguascalientes,Aguascalientes
Aguascalientes,Aguascalientes 1 (Jesús María)
Aguascalientes,Aguascalientes 2 (Aguascalientes)
Aguascalientes,Aguascalientes 3 (Aguascalientes)
Aguascalientes,aguascalientes 1 (aguascalientes )
Aguascalientes,aguascalientes 1 (jesus maria)
Aguascalientes,aguascalientes 1 ( jesús maría)
Aguascalientes,aguascalientes 2 (aguascalientes)
Aguascalientes,aguascalientes 2 (jesus maria )
Aguascalientes,aguascalientes 2 ( aguascalientes)
Aguascalientes,aguascalientes 3 (aguascalientes)
Aguascalientes,aguascalientes 3 ( aguascalientes)
Baja California,Baja California
Baja California,Baja California 1 (Mexicali)
Baja California,Baja California 2 (Mexicali)
Baja California,Baja California 3 (Ensenada)
Baja California,Baja California 4 (Tijuana)
Baja California,Baja California 5 (Tijuana)
Baja California,Baja California 6 (Tijuana)
Baja California,Baja California 7 (Mexicali)
Baja California,Baja California 8 (Tijuana)
Baja California,Baja California Sur 1 (Santa Rosalía)
Baja California,Baja California Sur 2 (La Paz)
Baja California,baja california 1 (mexicali )
Baja California,baja california 1 (mexicali)
Baja California,baja california 1 ( mexicali)
Baja California,baja california 2 (mexicali)
Baja California,baja california 2 (tijuana )
Baja California,baja california 2 ( mexicali)
Baja California,baja california 3 (ensenada )
Baja California,baja california 3 (ensenada)
Baja California,baja california 3 ( ensenada)
Baja California,baja california 4 (mexicali )
Baja California,baja california 4 (tijuana)
Baja California,baja california 4 ( tijuana)
Baja California,baja california 5 (tijuana )
Baja California,baja california 5 (tijuana)
Baja California,baja california 5 ( tijuana)
Baja California,baja california 6 (tijuana )
Baja California,baja california 6 (tijuana)
Baja California,baja california 6 ( tijuana)
Baja California,baja california 7 ( mexicali)
Baja California,baja california 8 ( tijuana)
Baja California,baja california sur 1 (la paz )
Baja California,baja california sur 1 (santa rosalia)
Baja California,baja california sur 2 (la paz)
Baja California,baja california sur 2 (mulege )
Baja California,baja california sur 2 ( la paz)
Baja California Sur,Baja California Sur
Baja California Sur,baja california sur 1 ( mulegé)
Campeche,Campeche
Campeche,Campeche 1 (Campeche)
Campeche,Campeche 2 (Ciudad del Carmen)
Campeche,campeche 1 (campeche * )
Campeche,campeche 1 (campeche)
Campeche,campeche 1 (carmen )
Campeche,campeche 1 ( campeche)
Campeche,campeche 2 (campeche )
Campeche,campeche 2 (ciudad del carmen)
Campeche,campeche 2 ( carmen)
Chiapas,Chiapas
Chiapas,Chiapas 1 (Palenque)
Chiapas,Chiapas 10 (Villaflores)
Chiapas,Chiapas 11 (Huixtla)
Chiapas,Chiapas 12 (Tapachula)
Chiapas,Chiapas 2 (Bochil)
Chiapas,Chiapas 3 (Ocosingo)
Chiapas,Chiapas 4 (Ocozocoautla de Espinosa)
Chiapas,Chiapas 5 (San Cristóbal de las Casas)
Chiapas,Chiapas 6 (Tuxtla Gutiérrez)
Chiapas,Chiapas 7 (Tonalá)
Chiapas,Chiapas 8 (Comitán de Domínguez)
Chiapas,Chiapas 9 (Tuxtla Gutiérrez)
Chiapas,chiapas 1 (palenque)
Chiapas,chiapas 1 (tuxtla gutierrez )
Chiapas,chiapas 1 ( palenque)
Chiapas,chiapas 10 (motozintla de mendoza)
Chiapas,chiapas 10 ( villaflores)
Chiapas,chiapas 11 (huixtla)
Chiapas,chiapas 11 ( huixtla)
Chiapas,chiapas 12 (tapachula)
Chiapas,chiapas 12 ( tapachula)
Chiapas,chiapas 2 (pichucalco)
Chiapas,chiapas 2 (san cristobal de las casas )
Chiapas,chiapas 2 ( bochil)
Chiapas,chiapas 3 (comitan de dominguez )
Chiapas,chiapas 3 (ocosingo)
Chiapas,chiapas 3 ( ocosingo)
Chiapas,chiapas 4 (ocozocoautla de espinosa)
Chiapas,chiapas 4 (pichucalco )
Chiapas,chiapas 4 ( ocozocoautla de espinosa)
Chiapas,chiapas 5 (san cristobal de las casas)
Chiapas,chiapas 5 (tapachula )
Chiapas,chiapas 5 ( san cristóbal de las casas)
Chiapas,chiapas 6 (chiapa de corzo)
Chiapas,chiapas 6 (palenque )
Chiapas,chiapas 6 ( tuxtla gutiérrez)
Chiapas,chiapas 7 (huixtla )
Chiapas,chiapas 7 (tonala)
Chiapas,chiapas 7 ( tonalá)
Chiapas,chiapas 8 (comitan de dominguez)
Chiapas,chiapas 8 (tonala )
Chiapas,chiapas 8 ( comitán de domínguez)
Chiapas,chiapas 9 (ococingo )
Chiapas,chiapas 9 (tuxtla gutierrez)
Chiapas,chiapas 9 ( tuxtla gutiérrez)
Chihuahua,Chihuahua
Chihuahua,Chihuahua 1 (Juárez)
Chihuahua,Chihuahua 2 (Juárez)
Chihuahua,Chihuahua 3 (Juárez)
Chihuahua,Chihuahua 4 (Juárez)
Chihuahua,Chihuahua 5 (Delicias)
Chihuahua,Chihuahua 6 (Chihuahua)
Chihuahua,Chihuahua 7 (Cuauhtémoc)
Chihuahua,Chihuahua 8 (Chihuahua)
Chihuahua,Chihuahua 9 (Hidalgo del Parral)
Chihuahua,chihuahua 1 (chihuahua )
Chihuahua,chihuahua 1 (nuevo casas grandes)
Chihuahua,chihuahua 1 ( juárez)
Chihuahua,chihuahua 10 (cuauhtemoc )
Chihuahua,chihuahua 2 (ciudad juarez)
Chihuahua,chihuahua 2 (hidalgo del parral )
Chihuahua,chihuahua 2 ( juárez)
Chihuahua,chihuahua 3 (ciudad juarez)
Chihuahua,chihuahua 3 (juarez )
Chihuahua,chihuahua 3 ( juárez)
Chihuahua,chihuahua 4 (ciudad juarez)
Chihuahua,chihuahua 4 (juarez )
Chihuahua,chihuahua 4 ( juárez)
Chihuahua,chihuahua 5 (delicias)
Chihuahua,chihuahua 5 (guerrero )
Chihuahua,chihuahua 5 ( delicias)
Chihuahua,chihuahua 6 (camargo )
Chihuahua,chihuahua 6 (chihuahua)
Chihuahua,chihuahua 6 ( chihuahua)
Chihuahua,chihuahua 7 (chihuahua )
Chihuahua,chihuahua 7 (cuauhtemoc)
Chihuahua,chihuahua 7 ( cuauhtémoc)
Chihuahua,chihuahua 8 (chihuahua)
Chihuahua,chihuahua 8 (juarez )
Chihuahua,chihuahua 8 ( chihuahua)
Chihuahua,chihuahua 9 (casas grandes )
Chihuahua,chihuahua 9 (hidalgo del parral)
Chihuahua,chihuahua 9 ( hidalgo del parral)
Coahuila,Coahuila
Coahuila,Coahuila 1 (Piedras Negras)
Coahuila,Coahuila 2 (San Pedro)
Coahuila,Coahuila 3 (Monclova)
Coahuila,Coahuila 4 (Saltillo)
Coahuila,Coahuila 5 (Torreón)
Coahuila,Coahuila 6 (Torreón)
Coahuila,Coahuila 7 (Saltillo)
Coahuila,coahuila 1 (piedras negras)
Coahuila,coahuila 1 (saltillo )
Coahuila,coahuila 1 ( piedras negras)
Coahuila,coahuila 2 (san pedro)
Coahuila,coahuila 2 (torreon )
Coahuila,coahuila 2 ( san pedro)
Coahuila,coahuila 3 (monclova )
Coahuila,coahuila 3 (monclova * )
Coahuila,coahuila 3 (monclova)
Coahuila,coahuila 3 ( monclova)
Coahuila,coahuila 4 (piedras negras )
Coahuila,coahuila 4 (saltillo)
Coahuila,coahuila 4 ( saltillo)
Coahuila,coahuila 5 (frontera )
Coahuila,coahuila 5 (torreon)
Coahuila,coahuila 5 ( torreón)
Coahuila,coahuila 6 (torreon )
Coahuila,coahuila 6 (torreon)
Coahuila,coahuila 6 ( torreón)
Coahuila,coahuila 7 (saltillo)
Coahuila,coahuila 7 (san pedro )
Coahuila,coahuila 7 ( saltillo)
Colima,Colima
Colima,Colima 1 (Colima)
Colima,Colima 2 (Manzanillo)
Colima,Mexico 1 (Jilotepec de Andrés Molina Enríquez)
Colima,colima 1 (colima )
Colima,colima 1 (colima)
Colima,colima 1 ( colima)
Colima,colima 2 (manzanillo )
Colima,colima 2 (manzanillo * )
Colima,colima 2 (manzanillo)
Colima,colima 2 ( manzanillo)
Distrito Federal,Distrito Federal
Distrito Federal,Distrito Federal 1 (Distrito Federal)
Distrito Federal,Distrito Federal 10 (Distrito Federal)
Distrito Federal,Distrito Federal 11 (Distrito Federal)
Distrito Federal,Distrito Federal 12 (Distrito Federal)
Distrito Federal,Distrito Federal 13 (Distrito Federal)
Distrito Federal,Distrito Federal 14 (Distrito Federal)
Distrito Federal,Distrito Federal 15 (Distrito Federal)
Distrito Federal,Distrito Federal 16 (Distrito Federal)
Distrito Federal,Distrito Federal 17 (Distrito Federal)
Distrito Federal,Distrito Federal 18 (Distrito Federal)
Distrito Federal,Distrito Federal 19 (Distrito Federal)
Distrito Federal,Distrito Federal 2 (Distrito Federal)
Distrito Federal,Distrito Federal 20 (Distrito Federal)
Distrito Federal,Distrito Federal 21 (Distrito Federal)
Distrito Federal,Distrito Federal 22 (Distrito Federal)
Distrito Federal,Distrito Federal 23 (Distrito Federal)
Distrito Federal,Distrito Federal 24 (Distrito Federal)
Distrito Federal,Distrito Federal 25 (Distrito Federal)
Distrito Federal,Distrito Federal 26 (Distrito Federal)
Distrito Federal,Distrito Federal 27 (Distrito Federal)
Distrito Federal,Distrito Federal 3 (Distrito Federal)
Distrito Federal,Distrito Federal 4 (Distrito Federal)
Distrito Federal,Distrito Federal 5 (Distrito Federal)
Distrito Federal,Distrito Federal 6 (Distrito Federal)
Distrito Federal,Distrito Federal 7 (Distrito Federal)
