ADM1,Constituency
Railik Chain,AILINGLAPLAP
Railik Chain,AILUK
Railik Chain,ARNO
Railik Chain,AUR
Railik Chain,BIKINI/KILI/EJIT
Railik Chain,EBON
Railik Chain,JALUIT
Railik Chain,KILI/BIKINI/EJIT
Railik Chain,LAE
Railik Chain,LIB
Railik Chain,LIKIEP
Railik Chain,MAJURO
Railik Chain,MALOELAP
Railik Chain,MEJIT
Railik Chain,MILI
Railik Chain,NAMDRIK
Railik Chain,NAMU
Railik Chain,RONGELAP
Railik Chain,UJAE
Railik Chain,UTRIK
Ratak Chain,ENEWETAK
Ratak Chain,JABAT
Ratak Chain,KWAJALEIN
Ratak Chain,WOTHO
Ratak Chain,WOTJE
