ADM1,Constituency
Cabo Delgado,AGOU
Cabo Delgado,DOLE
Cabo Delgado,DOUFELGOU
Cabo Delgado,GANDO
Cabo Delgado,GOLFE
Cabo Delgado,HAHO
Cabo Delgado,KLOTO
Cabo Delgado,KONDE
Cabo Delgado,KWELA
Cabo Delgado,LACS
Cabo Delgado,LOMÉ COMMUNE
Cabo Delgado,MVOMERO
Cabo Delgado,OGOU
Cabo Delgado,ROMBO
Cabo Delgado,TCHAOUDJO
Cabo Delgado,UBUNGO
Cabo Delgado,VO
Gaza,CHWAKA
Gaza,GRAND LOMÉ
Gaza,IGUNGA
Gaza,KARAGWE
Gaza,KARATU
Gaza,KIGOMA KUSINI
Gaza,KONGWA
Gaza,KOZAH
Gaza,NYAMAGANA
Gaza,RAHA LEO
Gaza,SAME MAGHARIBI
Gaza,UKONGA
Gaza,URAMBO MAGHARIBI
Gaza,WAWA
Inhambane,AVE
Inhambane,CHALINZE
Inhambane,CHAMBANI
Inhambane,DANKPEN
Inhambane,IRAMBA MAGHARIBI
Inhambane,IRAMBA MASHARIKI
Inhambane,KAHAMA
Inhambane,KIBAHA MJINI
Inhambane,KIBAKWE
Inhambane,KINONDONI
Inhambane,KISARAWE
Inhambane,MJI MKONGWE
Inhambane,MOYEN MONO
Inhambane,MUFINDI KUSINI
Inhambane,MUHAMBWE
Inhambane,NJOMBE KASKAZINI
Inhambane,SIHA
Inhambane,SIKONGE
Inhambane,TABORA MJINI
Inhambane,TANDAHIMBA
Inhambane,TCHAMBA
Manica,AMANI
Manica,ARUSHA MJINI
Manica,BABATI MJINI
Manica,BARIADI MAGHARIBI
Manica,BARIADI MASHARIKI
Manica,BUKOBA MJINI
Manica,CHAKECHAKE
Manica,DANYI
Manica,DIMANI
Manica,DODOMA MJINI
Manica,ISMANI
Manica,KALENGA
Manica,KASULU MAGHARIBI
Manica,KERAN
Manica,KIGOMA MJINI
Manica,KIKWAJUNI
Manica,KILWA KASKAZINI
Manica,KONDOA KASKAZINI
Manica,KOROGWE MJINI
Manica,LINDI MJINI
Manica,LULINDI
Manica,MAGOMENI
Manica,MASWA
Manica,MCHINGA
Manica,MIKUMI
Manica,MKANYAGENI
Manica,MKURANGA
Manica,MKWAJUNI
Manica,MOROGORO KUSINI
Manica,MOSHI MJINI
Manica,MOSHI VIJIJINI
Manica,MPANDA MASHARIKI
Manica,MPENDAE
Manica,MPWAPWA
Manica,MTONI
Manica,MTWARA VIJIJINI
Manica,MUFINDI KASKAZINI
Manica,MWANAKWEREKWE
Manica,MWANGA
Manica,OGOU & ANIE
Manica,OTI
Manica,PANGANI
Manica,RUANGWA
Manica,RUFIJI
Manica,SIMANJIRO
Manica,SINGIDA MJINI
Manica,SONGEA MJINI
Manica,TABORA KASKAZINI
Manica,TANDJOARE
Manica,ZIWANI
Maputo,BUBUBU
Maputo,LUSHOTO
Maputo,MAGU
Maputo,MEATU
Maputo,VUNJO
Maputo,YOTO
Nampula,AMOU
Nampula,BIHARAMULO MAGHARIBI
Nampula,BUMBULI
Nampula,IGALULA
Nampula,KPENDJAL
Nampula,KWAMTIPURA
Nampula,MBINGA MAGHARIBI
Nampula,MBINGA MASHARIKI
Nampula,MULEBA KASKAZINI
Nampula,MULEBA KUSINI
Nampula,NAMTUMBO
Nampula,TUNDURU
Nampula,ULANGA MAGHARIBI
Niassa,ARUMERU MASHARIKI
Niassa,ASSOLI
Niassa,BASSAR
Niassa,KILOSA
Niassa,KISESA
Niassa,KISHAPU
Niassa,MBOZI MASHARIKI
Niassa,NKASI
Niassa,TONE CINKASSE
Sofala,KALAMBO
Sofala,LACS & BAS MONO
Sofala,RORYA
Sofala,SOLWA
Sofala,SOTOUBOUA
Tete,BLITTA
Tete,EST MONO
Tete,ILEJE
Tete,KIEMBESAMAKI
Tete,KITETO
Tete,KLOTO KPELE
Tete,MFENESINI
Tete,MICHEWENI
Tete,SERENGETI
Tete,TEMEKE
Tete,TONE
Tete,WETE
Zambezia,BINAH
Zambezia,KAWE
Zambezia,MTAMBWE
Zambezia,MTERA
Zambezia,PERAMIHO
Zambezia,SUMVE
Zambezia,ZIO
