name,ideology
alliance (labor party - mauritian socialist movement - mauritian social democrat party),social democrat
independent,other
mauritian socialist movement - mauritian militant renewal,social democrat
popular muslim front,islam
hizbullah,conservative
labor party - mauritian party of xavier-luc duval,social democrat
alliance (labor party - mauritian militant movement),social democrat
alliance (labor party - mauritian social democrat party),social democrat
rodrigues people's organization,regionalist
mauritian militant movement - mauritian socialist party,social democrat
social alliance,social democrat
progressive labor party,social democrat
mauritian militant movement,social democrat
union (mauritiam militant movement - democratic labor movement - socialist workers' front),social democrat
alliance (mauritian socialist movement - mauritian militant movement),social democrat
militiant socialist movement - labor party,social democrat
national alliance party (pmsd - camm - labor),social democrat
mauritian social democrat party,social democrat
independence party,regionalist
