ADM1,Constituency
Nkhata Bay,13-01
Nkhata Bay,14-01
Nkhata Bay,15-01
Nkhata Bay,16-01
Nkhata Bay,17-01
Nkhata Bay,18-01
Nkhata Bay,18-13
Nkhata Bay,18-14
Nkhata Bay,18-15
Nkhata Bay,18-16
Nkhata Bay,19-01
Nkhata Bay,19-13
Nkhata Bay,19-14
Nkhata Bay,19-15
Nkhata Bay,19-16
Nkhata Bay,19-17
Nkhata Bay,19-18
Nkhata Bay,19-19
Nkhata Bay,19-20
Nkhata Bay,19-21
Nkhata Bay,19-22
Nkhata Bay,19-23
Nkhata Bay,19-24
Nkhata Bay,20-01
Nkhata Bay,20-13
Nkhata Bay,21-01
Nkhata Bay,22-01
Nkhata Bay,23-01
Nkhata Bay,24-01
Nkhata Bay,24-14
Nkhata Bay,24-15
Nkhata Bay,24-16
Nkhata Bay,24-17
Nkhata Bay,24-18
Nkhata Bay,24-19
Nkhata Bay,24-20
Nkhata Bay,24-21
Nkhata Bay,24-22
Nkhata Bay,25-01
Nkhata Bay,26-01
Nkhata Bay,27-01
Nkhata Bay,28-01
Nkhata Bay,29-01
Nkhata Bay,30-01
Nkhata Bay,30-13
Nkhata Bay,30-14
Nkhata Bay,30-2
Nkhata Bay,31-01
Nkhata Bay,31-2
Nkhata Bay,31-6
Nkhata Bay,32-1
Nkhata Bay,32-10
Nkhata Bay,32-11
Nkhata Bay,32-12
Nkhata Bay,32-13
Nkhata Bay,32-2
Nkhata Bay,32-3
Nkhata Bay,32-4
Nkhata Bay,32-5
Nkhata Bay,32-6
Nkhata Bay,32-7
Nkhata Bay,32-8
Nkhata Bay,32-9
Nkhata Bay,33-10
Nkhata Bay,33-2
Nkhata Bay,33-3
Nkhata Bay,33-4
Nkhata Bay,33-5
Nkhata Bay,33-6
Nkhata Bay,33-9
Nkhata Bay,34-1
Nkhata Bay,34-2
Nkhata Bay,34-3
Nkhata Bay,34-4
Nkhata Bay,34-5
Nkhata Bay,35-1
Nkhata Bay,35-4
Nkhata Bay,35-5
Nkhata Bay,35-6
Nkhata Bay,36-1
Nkhata Bay,36-2
Nkhata Bay,36-3
Nkhata Bay,36-5
Nkhata Bay,37-1
Nkhata Bay,37-2
