ADM1,Constituency
Johor,IPOH TIMOR
Johor,JOHOR BAHRU
Kedah,BUKIT KATIL
Kedah,KETEREH
Kedah,KUALA KEDAH
Kedah,KUDAT
Kedah,LEMBAH PANTAI
Kedah,MUKAH
Kedah,TELOK KEMANG
Kelantan,BATU
Kelantan,BENTONG
Kelantan,GELANG PATAH
Kelantan,JELUTONG
Kelantan,KANGAR
Kelantan,KANOWIT
Kelantan,KAPIT
Kelantan,KELANA JAYA
Kelantan,KEMAMAN
Kelantan,KEPALA BATAS
Kelantan,KIMANIS
Kelantan,KLANG
Kelantan,KUANTAN
Kelantan,LANANG
Kelantan,PENSIANGAN
Kelantan,PETALING JAYA SELATAN
Kelantan,POKOK SENA
Kelantan,PONTIAN
Kelantan,SANTUBONG
Kelantan,TANJONG MANIS
Kelantan,TELOK INTAN
Kuala Lumpur,KAMPAR
Kuala Lumpur,KAPAR
Kuala Lumpur,KOTA BELUD
Kuala Lumpur,KOTA MARUDU
Kuala Lumpur,KUALA KRAI
Kuala Lumpur,KUALA KRAU
Kuala Lumpur,KUALA NERUS
Kuala Lumpur,KULAI
Kuala Lumpur,LUMUT
Kuala Lumpur,MUAR
Kuala Lumpur,TUMPAT
Labuan,BATU KAWAN
Labuan,BELURAN
Labuan,JELEBU
Labuan,KALABAKAN
Labuan,KLUANG
Labuan,LABUAN
Labuan,LARUT
Labuan,LIBARAN
Labuan,LIMBANG
Labuan,LUBOK ANTU
Labuan,TAMBUN
Melaka,GOMBAK
Melaka,KOTA MELAKA
Melaka,KUALA KANGSAR
Melaka,LANGKAWI
Melaka,LAWAS
Melaka,MARAN
Negeri Sembilan,BALING
Negeri Sembilan,BINTULU
Negeri Sembilan,GERIK
Negeri Sembilan,JEMPOL
Negeri Sembilan,NIBONG TEBAL
Negeri Sembilan,SEMBRONG
Negeri Sembilan,SEREMBAN
Negeri Sembilan,SETIU
Negeri Sembilan,SIBU
Negeri Sembilan,SIBUTI
Negeri Sembilan,SILAM
Negeri Sembilan,SUNGAI SIPUT
Pahang,AMPANG
Pahang,BAGAN
Pahang,BAGAN DATOK
Pahang,BANDAR KUCHING
Pahang,BATANG LUPAR
Pahang,BATANG SADONG
Pahang,BATU PAHAT
Pahang,BAYAN BARU
Pahang,BUKIT GANTANG
Pahang,CAMERON HIGHLANDS
Pahang,GOPENG
Pahang,IPOH BARAT
Pahang,KEPONG
Pahang,KINABATANGAN
Pahang,KOTA SAMARAHAN
Pahang,KOTA TINGGI
Pahang,KUALA LANGAT
Pahang,MACHANG
Pahang,MAMBONG
Pahang,MARANG
Pahang,MAS GADING
Pahang,PADANG BESAR
Pahang,PADANG RENGAS
Pahang,PADANG SERAI
Pahang,PADANG TERAP
Pahang,PAGOH
Pahang,PANDAN
Pahang,PAPAR
Pahang,PASIR GUDANG
Pahang,PENAMPANG
Pahang,PUCHONG
Pahang,PUTATAN
Pahang,SETIAWANGSA
Pahang,SIPITANG
Pahang,SRI GADING
Pahang,TANJONG
Pahang,TANJONG KARANG
Pahang,TANJONG MALIM
Pahang,TANJONG PIAI
Pahang,TITIWANGSA
Perak,BAGAN SERAI
Perak,BAKRI
Perak,BANDAR TUN RAZAK
Perak,BERA
Perak,BERUAS
Perak,BUKIT BENDERA
Perak,BUKIT MERTAJAM
Perak,CHERAS
Perak,INDERA MAHKOTA
Perak,JERAI
Perak,JERANTUT
Perak,KUBANG KERIAN
Perak,MERBOK
Perak,PASIR MAS
Perak,PEKAN
Perak,PENGERANG
Perak,PENGKALAN CHEPA
Perak,PERMATANG PAUH
Perak,SEMPORNA
Perak,SUNGAI PETANI
Perak,TANAH MERAH
Perak,TEBRAU
Perlis,AYER HITAM
Perlis,BESUT
Perlis,JELI
Perlis,JERLUN
Perlis,LABIS
Perlis,LIPIS
Perlis,MERSING
Perlis,MIRI
Perlis,PARIT
Perlis,PARIT BUNTAR
Perlis,PETALING JAYA UTARA
Perlis,TEMERLOH
Pulau Pinang,BALIK PULAU
Pulau Pinang,BATU SAPI
Pulau Pinang,BUKIT BINTANG
Pulau Pinang,GUA MUSANG
Pulau Pinang,HULU LANGAT
Pulau Pinang,HULU RAJANG
Pulau Pinang,IGAN
Pulau Pinang,JASIN
Pulau Pinang,JULAU
Pulau Pinang,KUALA PILAH
Pulau Pinang,KUBANG PASU
Pulau Pinang,PASIR PUTEH
Pulau Pinang,PENDANG
Pulau Pinang,PULAI
Pulau Pinang,RANTAU PANJANG
Pulau Pinang,ROMPIN
Pulau Pinang,STAMPIN
Pulau Pinang,TAIPING
Pulau Pinang,TAMPIN
Putrajaya,KOTA RAJA
Putrajaya,PETRA JAYA
Putrajaya,PUTRAJAYA
Putrajaya,SEPUTEH
Putrajaya,TAWAU
Sabah,ALOR GAJAH
Sabah,BACHOK
Sabah,BATU GAJAH
Sabah,KOTA BHARU
Sabah,KOTA KINABALU
Sabah,KULIM-BANDAR BAHARU
Sabah,MASJID TANAH
Sabah,RASAH
Sabah,SABAK BERNAM
Sabah,SANDAKAN
Sabah,SEGAMAT
Sabah,SHAH ALAM
Sabah,SUNGAI BESAR
Sabah,TAPAH
Sabah,WANGSA MAJU
Sarawak,ALOR STAR
Sarawak,ARAU
Sarawak,BARAM
Sarawak,PASIR SALAK
Sarawak,PAYA BESAR
Sarawak,SARATOK
Sarawak,SARIKEI
Sarawak,SIK
Sarawak,SRI AMAN
Selangor,BEAUFORT
Selangor,BUKIT GELUGOR
Selangor,HULU SELANGOR
Selangor,KUALA SELANGOR
Selangor,LEDANG
Selangor,PARIT SULONG
Selangor,SEKIJANG
Selangor,SELANGAU
Selangor,SELAYANG
Selangor,SEPANG
Selangor,SEPANGGAR
Selangor,SERDANG
Selangor,SERIAN
Selangor,SUBANG
Selangor,TASEK GELUGOR
Trengganu,BETONG
Trengganu,DUNGUN
Trengganu,HULU TERENGGANU
Trengganu,KENINGAU
Trengganu,KUALA TERENGGANU
Trengganu,LENGGONG
Trengganu,RANAU
Trengganu,RAUB
Trengganu,REMBAU
Trengganu,SEGAMBUT
Trengganu,SIMPANG RENGGAM
Trengganu,TANGGA BATU
Trengganu,TENGGARA
Trengganu,TENOM
Trengganu,TUARAN
