ADM1,Constituency
Abia,francistown east - 8
Abia,francistown south - 10
Abia,francistown west - 9
Abia,ghanzi north - 56
Abia,mahalapye west - 23
Abia,ngami - 4
Abia,tati west - 7
Akwa Ibom,13-01
Akwa Ibom,14-01
Akwa Ibom,15-01
Akwa Ibom,16-01
Akwa Ibom,17-01
Akwa Ibom,18-01
Akwa Ibom,18-13
Akwa Ibom,18-14
Akwa Ibom,18-15
Akwa Ibom,18-16
Akwa Ibom,19-01
Akwa Ibom,19-13
Akwa Ibom,19-14
Akwa Ibom,19-15
Akwa Ibom,19-16
Akwa Ibom,19-17
Akwa Ibom,19-18
Akwa Ibom,19-19
Akwa Ibom,19-20
Akwa Ibom,19-21
Akwa Ibom,19-22
Akwa Ibom,19-23
Akwa Ibom,19-24
Akwa Ibom,20-01
Akwa Ibom,20-13
Akwa Ibom,21-01
Akwa Ibom,22-01
Akwa Ibom,23-01
Akwa Ibom,24-01
Akwa Ibom,24-13
Akwa Ibom,24-14
Akwa Ibom,24-15
Akwa Ibom,24-16
Akwa Ibom,24-17
Akwa Ibom,24-18
Akwa Ibom,24-19
Akwa Ibom,24-20
Akwa Ibom,24-21
Akwa Ibom,24-22
Akwa Ibom,25-01
Akwa Ibom,26-01
Akwa Ibom,27-01
Akwa Ibom,28-01
Akwa Ibom,29-01
Akwa Ibom,30-01
Akwa Ibom,30-13
Akwa Ibom,30-14
Akwa Ibom,30-2
Akwa Ibom,31-01
Akwa Ibom,31-2
Akwa Ibom,31-4
Akwa Ibom,31-6
Akwa Ibom,32-1
Akwa Ibom,32-10
Akwa Ibom,32-11
Akwa Ibom,32-12
Akwa Ibom,32-13
Akwa Ibom,32-2
Akwa Ibom,32-3
Akwa Ibom,32-4
Akwa Ibom,32-5
Akwa Ibom,32-6
Akwa Ibom,32-7
Akwa Ibom,32-8
Akwa Ibom,32-9
Akwa Ibom,33-1
Akwa Ibom,33-10
Akwa Ibom,33-11
Akwa Ibom,33-2
Akwa Ibom,33-4
Akwa Ibom,33-5
Akwa Ibom,33-6
Akwa Ibom,33-7
Akwa Ibom,33-8
Akwa Ibom,33-9
Akwa Ibom,34-1
Akwa Ibom,34-2
Akwa Ibom,34-3
Akwa Ibom,34-4
Akwa Ibom,34-5
Akwa Ibom,35-1
Akwa Ibom,35-2
Akwa Ibom,35-3
Akwa Ibom,35-4
Akwa Ibom,35-5
Akwa Ibom,35-6
Akwa Ibom,36-1
Akwa Ibom,36-2
Akwa Ibom,36-3
Akwa Ibom,36-4
Akwa Ibom,36-5
Akwa Ibom,36-6
Akwa Ibom,36-7
Akwa Ibom,37-1
Akwa Ibom,37-2
Bauchi,selibe phikwe east - 17
Bayelsa,mahalapye east - 22
Benue,kgatleng east - 30
Benue,kweneng east - 44
Benue,kweneng south - 41
Benue,kweneng south east - 40
Benue,la caverne and phoenix
Benue,letlhakeng east - 45
Benue,port louis north and montagne longue
Benue,selibe phikwe west - 18
Benue,vieux grand port and rose belle
Borno,belle rose and quatre bornes
Borno,bobirwa - 15
Borno,"bong county, electoral district 1"
Borno,"bong county, electoral district 2"
Borno,"bong county, electoral district 3"
Borno,"bong county, electoral district 4"
Borno,"bong county, electoral district 5"
Borno,"bong county, electoral district 6"
Borno,flacq and bon accueil
Borno,gaborone central - 32
Borno,gaborone north - 33
Borno,gaborone south - 34
Borno,gaborone west north - 35
Borno,gaborone west south - 36
Borno,"gbarpolu county, electoral district 1"
Borno,"gbarpolu county, electoral district 2"
Borno,"gbarpolu county, electoral district 3"
Borno,mahebourg and plaine magnien
Cross River,grand river north west and port louis west
Cross River,montagne blanche and grand river south east
Cross River,"river cess county, electoral district 1"
Cross River,"river cess county, electoral district 2"
Cross River,"river gee county, electoral district 1"
Cross River,"river gee county, electoral district 2"
Cross River,"river gee county, electoral district 3"
Cross River,savanne and black river
Delta,nata/gweta - 11
Edo,serowe north east - 25
Edo,serowe north west - 26
Edo,serowe south - 27
Ekiti,"bomi county, electoral district 1"
Ekiti,"bomi county, electoral district 2"
Ekiti,"bomi county, electoral district 3"
Ekiti,boteti north - 28
Ekiti,boteti south - 29
Ekiti,"grand bassa county, electoral district 1"
Ekiti,"grand bassa county, electoral district 2"
Ekiti,"grand bassa county, electoral district 3"
Ekiti,"grand bassa county, electoral district 4"
Ekiti,"grand kru county, electoral district 1"
