ADM1,Constituency
Bonaire,Bonaire
Bonaire,bergenopzoom
Bonaire,kampen
Bonaire,ridderkerk
Drenthe,'s gravenhage
Drenthe,'s-Gravenhage
Drenthe,'s-gravenhage
Drenthe,Arnhem
Drenthe,Den Helder
Drenthe,Rotterdam
Drenthe,arnhem
Drenthe,arnhen
Drenthe,briefstemmers
Drenthe,den haag i
Drenthe,den haag ii
Drenthe,den haag iii
Drenthe,den helder
Drenthe,denhelder
Drenthe,deventer
Drenthe,doetinchem
Drenthe,drenthe
Drenthe,druten
Drenthe,einhoven
Drenthe,enkhuizen
Drenthe,enschede
Drenthe,rotterdam
Drenthe,rotterdam ii
Drenthe,rotterdam iii
Drenthe,rotterdam iv
Drenthe,wykbyduurstede
Flevoland,Lelystad
Flevoland,flevoland
Friesland,brielle
Friesland,franeker
Friesland,friesland
Friesland,schiedam
Friesland,tiel
Gelderland,Leiden
Gelderland,almelo
Gelderland,apeldoorn
Gelderland,beverwyk
Gelderland,bodegraven
Gelderland,delft
Gelderland,ede
Gelderland,gelderland
Gelderland,gouda
Gelderland,gulpen
Gelderland,hoogezand
Gelderland,leiden
Gelderland,rheden
Gelderland,tietjerksteradeel
Gelderland,weert
Groningen,'s hertogenbosch
Groningen,'s-Hertogenbosch
Groningen,'s-hertogenbosch
Groningen,Groningen
Groningen,Nijmegen
Groningen,appingedam
Groningen,goes
Groningen,gorinchem
Groningen,grave
Groningen,groningen
Groningen,harlingen
Groningen,loosduinen
Groningen,nijmegen
Groningen,nymegen
Groningen,ommen
Groningen,s. hertogenbosch
Groningen,weststellingwerf
Groningen,winschoten
Limburg,Middelburg
Limburg,Tilburg
Limburg,limburg
Limburg,middelburg
Limburg,oostburg
Limburg,tilburg
Noord-Brabant,amersfoort
Noord-Brabant,breda
Noord-Brabant,hoorn
Noord-Brabant,katwyk
Noord-Brabant,noordbrabant
Noord-Brabant,rotterdam v
Noord-Holland,noordholland
Noord-Holland,roermond
Overijssel,Assen
Overijssel,assen
Overijssel,hilversum
Overijssel,hontenisse
Overijssel,overijssel
Overijssel,rotterdam i
Overijssel,vechgel
Overijssel,venlo
Overijssel,zierikzee
Saba,Haarlem
Saba,alkmaar
Saba,haarlem
Saba,haarlemmermeer
Saba,waalwyk
St. Eustatius,Amsterdam
St. Eustatius,amsterdam
St. Eustatius,amsterdam i
St. Eustatius,amsterdam ii
St. Eustatius,amsterdam iii
St. Eustatius,amsterdam iv
St. Eustatius,amsterdam ix
St. Eustatius,amsterdam v
St. Eustatius,amsterdam vi
St. Eustatius,amsterdam vii
St. Eustatius,amsterdam viii
St. Eustatius,elst
St. Eustatius,sittard
St. Eustatius,sneek
Utrecht,Dordrecht
Utrecht,Maastricht
Utrecht,Utrecht
Utrecht,dordrecht
Utrecht,lochem
Utrecht,maastricht
Utrecht,oosterhout
Utrecht,sliedrecht
Utrecht,utrecht
Utrecht,utrecht i
Utrecht,utrecht ii
Utrecht,zutphen
Zeeland,Leeuwarden
Zeeland,breukelen
Zeeland,emmen
Zeeland,helmond
Zeeland,leeuwarden
Zeeland,meppel
Zeeland,schoterland
Zeeland,steenwyk
Zeeland,veendam
Zeeland,zaandam
Zeeland,zeeland
Zeeland,zevenbergen
Zuid-Holland,Zwolle
Zuid-Holland,dokkum
Zuid-Holland,zuidholland
Zuid-Holland,zuidhorn
Zuid-Holland,zwolle
