name,ideology
anti-revolutionaire partij,conservative
bond van vrije liberalen,liberal democrat
christelijk-historische unie,christian democrat
christen democratisch appel,christian democrat
christen-democratisch appèl,christian democrat
conservativen,conservative
katholieke volkspartij,christian democrat
liberale unie,liberal democrat
partij van de arbeid,social democrat
partij van der arbeid,social democrat
rooms-katholieke bond van kiesverenigingen,christian democrat
rooms-katholieke staatspartij,christian democrat
rooms-katholieken,christian democrat
sociaal-democratische arbeiders partij,social democrat
volkspartij voor vrijheid en democratie,conservative
vrijzinnig democratische bond,liberal democrat
