ADM1,Constituency
Akershus,aker
Akershus,akershus
Akershus,akershus amt
Akershus,bratsbergs amt
Akershus,byer i akershus og oestfold
Akershus,haugesund
Akershus,kristiania 5te kreds uranienborg
Akershus,nordre bergenhus amt
Akershus,soendre bergenhus amt
Aust-Agder,aust-agder
Aust-Agder,byer i telemark og aust-agder
Aust-Agder,drammen 1ste kreds bragernes
Aust-Agder,kristiania 3dje kreds gamle aker
Aust-Agder,kristiania 4de kreds hammersborg
Aust-Agder,lister
Aust-Agder,nedenaes amt
Aust-Agder,sandeherred
Aust-Agder,stavanger
Aust-Agder,stavanger 1ste kreds holmen
Aust-Agder,stavanger amt
Bouvet Island,bamle
Bouvet Island,bodoe
Bouvet Island,brevik
Bouvet Island,gjoevik
Bouvet Island,indre fosen
Bouvet Island,kristians amt
Bouvet Island,kristiansund
Bouvet Island,sand
Buskerud,buskerud
Buskerud,buskeruds amt
Buskerud,byer i buskerud
Buskerud,skien
Buskerud,skoger
Finnmark,"byer i norland, troms og finnmark"
Finnmark,finmarkens amt
Finnmark,finnmark
Finnmark,indre sunnmoer
Finnmark,kinn
Finnmark,narvik
Finnmark,oestfinmarken
Finnmark,ringerike
Finnmark,vestfinmarken
Hedmark,byer i hedmark og opland
Hedmark,droebak
Hedmark,frederikshald
Hedmark,frederiksstad
Hedmark,fredrikshald
Hedmark,fredrikstad
Hedmark,hamar
Hedmark,hamar og kongsvinger
Hedmark,hedemarkens amt
Hedmark,hedmark
Hedmark,ide og marker
Hedmark,nordre hedemarken
Hedmark,soendre hedemarken
Hedmark,soendre soendmoer
Hordaland,bergen 4de kreds sandviken
Hordaland,dalene
Hordaland,hallingdal
Hordaland,hardanger
Hordaland,holmestrand
Hordaland,hordaland
Hordaland,horten
Hordaland,indre soendhordland
Hordaland,midhordland
Hordaland,orkedalen
Hordaland,soendre oesterdalen
Hordaland,stjoerdalen
Hordaland,vaerdalen
Hordaland,ytre soendhordland
Møre og Romsdal,arendal
Møre og Romsdal,arendal og grimstad
Møre og Romsdal,brevik og homestrand
Møre og Romsdal,byer i soer- og nord-troendelag
Møre og Romsdal,drammen 2den kreds stoemsoe og ta
Møre og Romsdal,grimstad
Møre og Romsdal,"hammerfest, vardoe og vadsoe"
Møre og Romsdal,jarlsberg og laurviks amt
Møre og Romsdal,kongsberg og hoenefoss
Møre og Romsdal,lillehammer og gjoevik
Møre og Romsdal,"lillehammer, hamar, gjoevik og ko"
Møre og Romsdal,lister og mandals amt
Møre og Romsdal,mandalen
Møre og Romsdal,moere
Møre og Romsdal,moere og rauma
Møre og Romsdal,moere og romsdal
Møre og Romsdal,moss og droebak
Møre og Romsdal,møre og romsdal
Møre og Romsdal,namdalen
Møre og Romsdal,numedal
Møre og Romsdal,romsdal
Møre og Romsdal,rygge
Møre og Romsdal,soendre gudbrandsdalen
Møre og Romsdal,trondhjem og levanger 1ste kreds
Møre og Romsdal,trondhjem og levanger 2den kreds
Møre og Romsdal,trondhjem og levanger 3dje kreds
Møre og Romsdal,trondhjem og levanger 4de kreds l
Møre og Romsdal,vinger og odalen
Nord-Trøndelag,nord-troendelag
Nord-Trøndelag,nord-trøndelag
Nord-Trøndelag,nordre gudbrandsdalen
Nord-Trøndelag,nordre nordmoer
Nord-Trøndelag,nordre oesterdalen
Nord-Trøndelag,nordre soendmoer
Nord-Trøndelag,nordre trondhjems amt
Nord-Trøndelag,soendre nordmoer
Nordland,bergen 2den kreds nordnes
Nordland,drammen
Nordland,kristiansand 1ste kreds faestning
Nordland,kristiansand 2den kreds baneheien
Nordland,nordhordland
Nordland,nordland
Nordland,nordlands amt
Nordland,nordre helgeland
Nordland,nordre salten
Nordland,porsgrund
Nordland,snaasen
Oppland,kristianssund
Oppland,lyngdal
Oppland,lyngen
Oppland,opland
Oppland,oppland
Oslo,baerum og follo
Oslo,hoenefos
Oslo,holt
Oslo,kongsberg
Oslo,kongsvinger
Oslo,kristiania 1ste kreds oslo
Oslo,moss
Oslo,oslo
Oslo,risoer
Oslo,soendre salten
Oslo,soloer
Oslo,voss
Rogaland,aalesund
Rogaland,bergen
Rogaland,bergen 1ste kreds nygaard
Rogaland,byer i vest-agder of rogaland
Rogaland,glemminge
Rogaland,guldalen
Rogaland,hadeland og land
Rogaland,kristianssand
Rogaland,larvik og sandefjord
Rogaland,malangen
Rogaland,rogaland
Rogaland,soendre helgeland
