ADM1,Constituency
Bagmati,baitadi 1
Bagmati,baitadi 2
Bagmati,bajhang 1
Bagmati,bajhang 2
Bheri,bardiya 1
Bheri,bardiya 2
Bheri,bardiya 3
Bheri,bardiya 4
Bhojpur,bajura 1
Bhojpur,bhaktapur 1
Bhojpur,bhaktapur 2
Bhojpur,bhojpur 1
Bhojpur,bhojpur 2
Bhojpur,dadeldhura 1
Dhawalagiri,dang 1
Dhawalagiri,dang 2
Dhawalagiri,dang 3
Dhawalagiri,dang 4
Dhawalagiri,dang 5
Dhawalagiri,dhading 1
Dhawalagiri,dhading 2
Dhawalagiri,dhading 3
Dhawalagiri,dhanusha 1
Dhawalagiri,dhanusha 2
Dhawalagiri,dhanusha 3
Dhawalagiri,dhanusha 4
Dhawalagiri,dhanusha 5
Dhawalagiri,dhanusha 6
Dhawalagiri,dhanusha 7
Dhawalagiri,dolpa 1
Dhawalagiri,humla 1
Dhawalagiri,nawalparasi 1
Dhawalagiri,nawalparasi 2
Dhawalagiri,nawalparasi 3
Dhawalagiri,nawalparasi 4
Dhawalagiri,nawalparasi 5
Dhawalagiri,nawalparasi 6
Dhawalagiri,palpa 1
Dhawalagiri,palpa 2
Dhawalagiri,palpa 3
Gandaki,banke 1
Gandaki,banke 2
Gandaki,banke 3
Gandaki,banke 4
Gandaki,dailekh 1
Gandaki,dailekh 2
Gandaki,dolakha 1
Gandaki,dolakha 2
Gandaki,kathmandu 1
Gandaki,kathmandu 10
Gandaki,kathmandu 2
Gandaki,kathmandu 3
Gandaki,kathmandu 4
Gandaki,kathmandu 5
Gandaki,kathmandu 6
Gandaki,kathmandu 7
Gandaki,kathmandu 8
Gandaki,kathmandu 9
Gandaki,manang 1
Gandaki,myagdi 1
Gandaki,nuwakot 1
Gandaki,nuwakot 2
Gandaki,nuwakot 3
Janakpur,jajarkot 1
Janakpur,jajarkot 2
Janakpur,kanchanpur 1
Janakpur,kanchanpur 2
Janakpur,kanchanpur 3
Janakpur,kanchanpur 4
Janakpur,lalitpur 1
Janakpur,lalitpur 2
Janakpur,lalitpur 3
Janakpur,makwanpur 1
Janakpur,makwanpur 2
Janakpur,makwanpur 3
Janakpur,makwanpur 4
Janakpur,paanchthar 1
Janakpur,paanchthar 2
Janakpur,tanahu 1
Janakpur,tanahu 2
Janakpur,tanahu 3
Janakpur,udaypur 1
Janakpur,udaypur 2
Janakpur,udaypur 3
Karnali,bara 1
Karnali,bara 2
Karnali,bara 3
Karnali,bara 4
Karnali,bara 5
Karnali,bara 6
Karnali,kailali 1
Karnali,kailali 2
Karnali,kailali 3
Karnali,kailali 4
Karnali,kailali 5
Karnali,kailali 6
Karnali,kalikot 1
Karnali,kavrepalanchok 1
Karnali,kavrepalanchok 2
Karnali,kavrepalanchok 3
Karnali,kavrepalanchok 4
Karnali,khotang 1
Karnali,khotang 2
Karnali,okhaldhunga 1
Karnali,okhaldhunga 2
Karnali,parsa 1
Karnali,parsa 2
Karnali,parsa 3
Karnali,parsa 4
Karnali,parsa 5
Lumbini,baglung 1
Lumbini,baglung 2
Lumbini,baglung 3
Lumbini,gulmi 1
Lumbini,gulmi 2
Lumbini,gulmi 3
Lumbini,ilam 1
Lumbini,ilam 2
Lumbini,ilam 3
Lumbini,jumla 1
Lumbini,lamjung 1
Lumbini,lamjung 2
Lumbini,rukum 1
Lumbini,rukum 2
Lumbini,solukhumbu 1
Lumbini,taplejung 1
Lumbini,taplejung 2
Mahakali,achham 1
Mahakali,achham 2
Mahakali,arghakhanchi 1
Mahakali,arghakhanchi 2
Mahakali,dhankuta 1
Mahakali,dhankuta 2
Mahakali,jhapa 1
Mahakali,jhapa 2
Mahakali,jhapa 3
Mahakali,jhapa 4
Mahakali,jhapa 5
Mahakali,jhapa 6
Mahakali,jhapa 7
Mahakali,mahottari 1
Mahakali,mahottari 2
Mahakali,mahottari 3
Mahakali,mahottari 4
Mahakali,mahottari 5
Mahakali,mahottari 6
Mechi,chitwan 1
Mechi,chitwan 2
Mechi,chitwan 3
Mechi,chitwan 4
Mechi,chitwan 5
Mechi,mugu 1
Mechi,ramechhap 1
Mechi,ramechhap 2
Mechi,rupandehi 1
Mechi,rupandehi 2
Mechi,rupandehi 3
Mechi,rupandehi 4
Mechi,rupandehi 5
Mechi,rupandehi 6
Mechi,rupandehi 7
Narayani,morang 1
Narayani,morang 2
Narayani,morang 3
Narayani,morang 4
Narayani,morang 5
Narayani,morang 6
Narayani,morang 7
Narayani,morang 8
Narayani,morang 9
Narayani,pyuthan 1
Narayani,pyuthan 2
Narayani,rasuwa 1
Narayani,salyan 1
Narayani,salyan 2
Narayani,sunsari 1
Narayani,sunsari 2
Narayani,sunsari 3
Narayani,sunsari 4
Narayani,sunsari 5
Narayani,sunsari 6
Rapti,kapilvastu 1
Rapti,kapilvastu 2
Rapti,kapilvastu 3
Rapti,kapilvastu 4
Rapti,kapilvastu 5
Rapti,parvat 1
Rapti,parvat 2
Rapti,rautahat 1
Rapti,rautahat 2
Rapti,rautahat 3
Rapti,rautahat 4
Rapti,rautahat 5
Rapti,rautahat 6
Rapti,rolpa 1
Rapti,rolpa 2
Rapti,saptari 1
Rapti,saptari 2
Rapti,saptari 3
Rapti,saptari 4
Rapti,saptari 5
Rapti,saptari 6
Rapti,sarlahi 1
Rapti,sarlahi 2
Rapti,sarlahi 3
Rapti,sarlahi 4
Rapti,sarlahi 5
Rapti,sarlahi 6
Rapti,tehrathum 1
Sagarmatha,darchula 1
Sagarmatha,gorkha 1
Sagarmatha,gorkha 2
Sagarmatha,gorkha 3
Sagarmatha,sankhuwasabha 1
Sagarmatha,sankhuwasabha 2
Sagarmatha,siraha 1
Sagarmatha,siraha 2
