ADM1,Constituency
Antipodes Islands,banks peninsula
Auckland,albany
Auckland,auckland central
Auckland,manukau
Auckland,ruahine
Auckland,west auckland
Auckland Islands,manukau east
Auckland Islands,new lynn
Bay of Plenty,bay of plenty
Campbell Islands,parnell
Canterbury,buller
Canterbury,eastern hutt
Canterbury,king country
Canterbury,mangere
Canterbury,panmure
Canterbury,patea
Canterbury,pencarrow
Canterbury,south canterbury
Chatham Islands Territory,arch hill
Chatham Islands Territory,bay of islands
Chatham Islands Territory,hamilton
Chatham Islands Territory,hamilton east
Chatham Islands Territory,ilam
Chatham Islands Territory,island bay
Chatham Islands Territory,rotorua
Chatham Islands Territory,stratford
Chatham Islands Territory,te tai hau?uru
Gisborne District,birkenhead
Gisborne District,christchurch central
Gisborne District,eden
Gisborne District,gisborne
Gisborne District,hobson
Gisborne District,rodney
Gisborne District,tukituki
Hawke's Bay,hawkes bay
Kermadec Islands,coromandel
Kermadec Islands,glenfield
Kermadec Islands,marsden
Kermadec Islands,remuera
Manawatu-Wanganui,avon
Manawatu-Wanganui,awarua
Manawatu-Wanganui,heretaunga
Manawatu-Wanganui,mana
Manawatu-Wanganui,manawatu
Manawatu-Wanganui,manurewa
Manawatu-Wanganui,maramarua
Manawatu-Wanganui,matamata
Manawatu-Wanganui,onehunga
Manawatu-Wanganui,pahiatua
Manawatu-Wanganui,pakuranga
Manawatu-Wanganui,papakura
Manawatu-Wanganui,papanui
Manawatu-Wanganui,tainui
Manawatu-Wanganui,te atat?
Manawatu-Wanganui,te atatu
Manawatu-Wanganui,wanganui
Manawatu-Wanganui,whanganui
Manawatu-Wanganui,whangarei
Marlborough District,ikaroa-r?whiti
Marlborough District,ikaroa-rawhiti
Marlborough District,invercargill
Marlborough District,marlborough
Marlborough District,miramar
Marlborough District,mount albert
Marlborough District,mt albert
Marlborough District,porirua
Marlborough District,rimutaka
Marlborough District,timaru
Nelson City,clevedon
Nelson City,dunedin central
Nelson City,epsom
Nelson City,nelson
Nelson City,new plymouth
Nelson City,onslow
Nelson City,ponsonby
Nelson City,selwyn
Northland,christchurch north
Northland,dunedin north
Northland,horowhenua
Northland,northcote
Northland,northern maori
Northland,northland
Northland,palmerston north
Northland,port hills
Northland,raglan
Northland,sydenham
Otago,botany
Otago,ohariu-belmont
Otago,otago
Otago,otahuhu
Otago,papatoetoe
Otago,rangiora
Otago,rongotai
Otago,taupo
Southland,ashburton
Southland,clutha
Southland,clutha-southland
Southland,dunedin south
Southland,hutt
Southland,hutt south
Southland,southern maori
Southland,westland
Taranaki,?hariu
Taranaki,?taki
Taranaki,aoraki
Taranaki,eastern maori
Taranaki,franklin
Taranaki,hauraki
Taranaki,hurunui
Taranaki,karapiro
Taranaki,maungakiekie
Taranaki,otaki
Taranaki,otara
Taranaki,rakaia
Taranaki,rangit?kei
Taranaki,rangitikei
Taranaki,t?maki
Taranaki,t?maki makaurau
Taranaki,tamaki
Taranaki,tamaki makaurau
Taranaki,taranaki
Taranaki,taranaki-king country
Taranaki,tarawera
Taranaki,tauranga
Taranaki,te tai hauauru
Taranaki,titirangi
Taranaki,tongariro
Tasman District,christchurch east
Tasman District,mount victoria
Tasman District,oamaru
Tasman District,rangiriri
Tasman District,tasman
Tasman District,yaldhurst
The Snares,henderson
The Snares,hunua
The Snares,m?ngere
The Snares,napier
The Snares,north shore
Three Kings Islands,hastings
Three Kings Islands,helensville
Three Kings Islands,st albans
Three Kings Islands,st kilda
Tokelau,brooklyn
Tokelau,mt roskill
Tokelau,ohariu
Tokelau,roskill
Tokelau,taup?
Tokelau,te tai tokerau
Waikato,hauraki-waikato
Waikato,kaik?ura
Waikato,kaikoura
Waikato,kaimai
Waikato,kaipara
Waikato,kapiti
Waikato,karori
Waikato,piako
Waikato,port waikato
Waikato,rangitata
Waikato,riccarton
Waikato,te tai tonga
Waikato,waiariki
Waikato,waikaremoana
Waikato,waikato
Waikato,waimakariri
Waikato,waimarino
Waikato,waimate
Waikato,waipa
Waikato,wairarapa
Waikato,waitakere
Waikato,waitaki
Waikato,waitemata
Waikato,waitomo
Waikato,waitotara
Waikato,wallace
Waikato,wigram
Wellington,egmont
Wellington,fendalton
Wellington,grey lynn
Wellington,lyttelton
Wellington,mornington
Wellington,petone
Wellington,wellington central
West Coast,dunedin west
West Coast,east cape
West Coast,east coast
West Coast,east coast bays
West Coast,hamilton west
West Coast,west coast
West Coast,west coast-tasman
West Coast,western hutt
West Coast,western maori
