ADM1,Constituency
Azad Kashmir,na-1
Azad Kashmir,na-10
Azad Kashmir,na-102 hafizabad-i
Azad Kashmir,na-103 hafizabad-ii
Azad Kashmir,na-11
Azad Kashmir,na-12
Azad Kashmir,na-13
Azad Kashmir,na-138 kasur-i
Azad Kashmir,na-139 kasur-ii
Azad Kashmir,na-14
Azad Kashmir,na-140 kasur-iii
Azad Kashmir,na-141 kasur-iv
Azad Kashmir,na-142 kasur-v
Azad Kashmir,na-15
Azad Kashmir,na-16
Azad Kashmir,na-17
Azad Kashmir,na-171 d.g khan-i
Azad Kashmir,na-172 d.g khan-ii
Azad Kashmir,na-173 d.g khan-iii
Azad Kashmir,na-176 muzaffargarh-i
Azad Kashmir,na-18
Azad Kashmir,na-19
Azad Kashmir,na-2
Azad Kashmir,na-20
Azad Kashmir,na-202 shikarpur-i
Azad Kashmir,na-203 shikarapur-ii
Azad Kashmir,na-21
Azad Kashmir,na-211 nausheroferoze-i
Azad Kashmir,na-212 nausheroferoze-ii
Azad Kashmir,na-22
Azad Kashmir,na-23
Azad Kashmir,na-239 karachi-i
Azad Kashmir,na-24
Azad Kashmir,na-243 karachi-v
Azad Kashmir,na-248 karachi-x
Azad Kashmir,na-25
Azad Kashmir,na-26
Azad Kashmir,na-267 kachhi
Azad Kashmir,na-27
Azad Kashmir,na-28
Azad Kashmir,na-29
Azad Kashmir,na-3
Azad Kashmir,na-30
Azad Kashmir,na-31
Azad Kashmir,na-32
Azad Kashmir,na-33
Azad Kashmir,na-34
Azad Kashmir,na-35
Azad Kashmir,na-36
Azad Kashmir,na-37
Azad Kashmir,na-38
Azad Kashmir,na-39
Azad Kashmir,na-4
Azad Kashmir,na-40
Azad Kashmir,na-41
Azad Kashmir,na-42
Azad Kashmir,na-43
Azad Kashmir,na-44
Azad Kashmir,na-45
Azad Kashmir,na-46
Azad Kashmir,na-47
Azad Kashmir,na-48
Azad Kashmir,na-49
Azad Kashmir,na-5
Azad Kashmir,na-50
Azad Kashmir,na-51
Azad Kashmir,na-52
Azad Kashmir,na-53
Azad Kashmir,na-54
