name,ideology
gana peru,social democrat
unidad nacional,christian democrat
movimiento independiente madre de dios,regionalist
acuerdo popular,conservative
restauracion nacional,christian
izquierda unida,communist
accion popular,conservative
partido aprista peruano,social democrat
partido renacimiento andino,conservative
union por el peru,social democrat
partido revolucionario de los trabajadores,communist
peru posible,liberal democrat
agrupacion independiente union por el peru - social democracia,social democrat
fuerza 2011,conservative
alianza accion popular - democracia cristiana,conservative
alianza electoral izquierda unida,social democrat
movimiento independiente somos peru - causa democratica,christian democrat
union nacional odriista 1963,christian democrat
fredemo (frente democratico),liberal democrat
frente independiente moralizador,liberal democrat
frente tacneñista,other
cambio 90,conservative
alianza por el futuro,conservative
