ADM1,Constituency
Abra,abra
Agusan del Norte,agusan del norte 1
Agusan del Norte,agusan del norte 2
Agusan del Sur,agusan del sur
Agusan del Sur,agusan del sur 1
Agusan del Sur,agusan del sur 2
Aklan,aklan
Albay,albay 1
Albay,albay 2
Albay,albay 3
Antique,antique
Apayao,apayao
Apayao,kalinga apayao
Aurora,aurora
Bacolod,bacolod city (capital)
Baguio,baguio city
Basilan,basilan
Bataan,bataan 1
Bataan,bataan 2
Batanes,batanes
Batangas,batangas 1
Batangas,batangas 2
Batangas,batangas 3
Batangas,batangas 4
Benguet,benguet
Biliran,biliran
Bohol,bohol 1
Bohol,bohol 2
Bohol,bohol 3
Bukidnon,bukidnon 1
Bukidnon,bukidnon 2
Bukidnon,bukidnon 3
Bulacan,bulacan 1
Bulacan,bulacan 2
Bulacan,bulacan 3
Bulacan,bulacan 4
Cagayan,cagayan 1
Cagayan,cagayan 2
Cagayan,cagayan 3
Cagayan,cagayan de oro city (capital)
Cagayan,cagayan de oro city (capital) 1
Cagayan,cagayan de oro city (capital) 2
Caloocan,caloocan city 1
Caloocan,caloocan city 2
Camarines Norte,camarines norte
Camarines Sur,camarines sur 1
Camarines Sur,camarines sur 2
Camarines Sur,camarines sur 3
Camarines Sur,camarines sur 4
Camarines Sur,camarines sur 5
Camiguin,camiguin
Capiz,capiz 1
Capiz,capiz 2
Catanduanes,catanduanes
Cavite,cavite 1
Cavite,cavite 2
Cavite,cavite 3
Cavite,cavite 4
Cavite,cavite 5
Cavite,cavite 6
Cavite,cavite 7
Cebu,cebu 1
Cebu,cebu 2
Cebu,cebu 3
Cebu,cebu 4
Cebu,cebu 5
Cebu,cebu 6
Cebu,cebu city (capital) 1
Cebu,cebu city (capital) 2
Compostela Valley,compostela valley 1
Compostela Valley,compostela valley 2
Cotabato,north cotabato 1
Cotabato,north cotabato 2
Davao,davao city 1
Davao,davao city 2
Davao,davao city 3
Davao Oriental,davao oriental 1
Davao Oriental,davao oriental 2
Davao del Norte,davao del norte 1
Davao del Norte,davao del norte 2
Davao del Norte,davao del norte 3
Davao del Sur,davao del sur 1
Davao del Sur,davao del sur 2
Eastern Samar,eastern samar
Guimaras,guimaras
Ifugao,ifugao
Iligan,iligan city
Ilocos Norte,ilocos norte 1
Ilocos Norte,ilocos norte 2
Ilocos Sur,ilocos sur 1
Ilocos Sur,ilocos sur 2
Iloilo,city of antipolo
Iloilo,iloilo 1
Iloilo,iloilo 2
Iloilo,iloilo 3
Iloilo,iloilo 4
Iloilo,iloilo 5
Iloilo,iloilo city (capital)
Isabela,isabela 1
Isabela,isabela 2
Isabela,isabela 3
Isabela,isabela 4
