name,ideology
lakas-national union of christian democrats-united muslim democrats of the philippines,christian democrat
people power coalition,big tent
peoples champ movement,conservative
laban ng makabayang masang pilipino,big tent
npc / ppp / pagtinabangay,social democrat
reporma / lm,social democrat
npc / balane,social democrat
partido navote–o,other
lakas-cmd / lp,christian democrat
nagkakaisang oposisyon,liberal democrat
npc / una,social democrat
npc / np,social democrat
probinsya muna development initiatives,social democrat
partido nacionalista,conservative
lakas-nucd-umdp / npc / ldp / ppp,social democrat
laban ng demokratikong pilipino,conservative
partido demokratiko sosyalista ng pilipinas,social democrat
unknown,other
partido demokratiko pilipino-lakas ng bayan,christian democrat
partido para sa demokratikong reporma,conservative
independent,other
lp / kkk,regionalist
npc / aim,social democrat
pwersa ng masang pilipino,conservative
lakas-cmd / sarro,social democrat
ldp / partido magdalo,conservative
kabalikat ng malayang pilipino,conservative
lakas-christian muslim democrats,christian democrat
ldp / uno,conservative
partido liberal ng pilipinas,liberal democrat
kilusang bagong lipunan,conservative
lp / uno,conservative
kilusang diwa ng taguig,liberal democrat
lakas-kabalikat ng malayang pilipino-demokratikong kristiyano at muslim,christian democrat
lakas-nucd-umdp / lp / pdp-laban / np,christian democrat
kabayani,other
aksyon demokratiko,liberal-socialist
nationalist people's coalition,conservative
