ADM1,Constituency
Greater Poland,pila
Greater Poland,tarnow
Greater Poland,torun-wloclawek
Greater Poland,wroclaw
Kuyavian-Pomeranian,zielona gora
Lower Silesian,gliwice
Lower Silesian,gorzow-pila
Lower Silesian,jelenogora-legnica
Lower Silesian,katoice-gliwice
Lower Silesian,kielce
Lower Silesian,leszno
Lower Silesian,lodz
Lower Silesian,nowy sacz
Lower Silesian,nowysad
Lower Silesian,rzesz?w
Lower Silesian,rzeszow
Lublin,elblag
Lublin,lublin
Lublin,suwalki
Lubusz,bydgoszcz
Lubusz,kalisz
Lubusz,koszalin-slupsk
Lubusz,olsztyn
Lubusz,olsztyn-elblag
Lubusz,slupsk
Lubusz,walbrzych
Masovian,katowice
Masovian,zamosc-chelm
Opole,bialo-podlaska
Opole,ciechanow-ostroleka-lomza
Opole,gorzow wielkopolski
Opole,krosno-przemysl
Opole,opole
Opole,ostroleka
Opole,siedlce-bialopodlaskie
Opole,sosnowiec
Opole,wloclawek
Podlachian,chelm
Podlachian,chrzanow
Podlachian,gdansk
Podlachian,plock
Pomeranian,gdynia
Pomeranian,jelenia gora
Pomeranian,konin
Pomeranian,lomza
Pomeranian,poznan
Pomeranian,rybnik
Silesian,bielskie
Silesian,bielsko-biala
Silesian,ciechanow
Silesian,katowice-sosnowiec
Silesian,konin-sieradz
Silesian,koszalin
Silesian,legnica
Silesian,siedlce
Silesian,sieradz
Silesian,skierniewice
Silesian,szczecin
Warmian-Masurian,radom
Warmian-Masurian,warsaw
Warmian-Masurian,warsaw 2
Warmian-Masurian,warsaw1
Warmian-Masurian,warsaw2
Warmian-Masurian,warszawa i
Warmian-Masurian,warszawa ii
Warmian-Masurian,zamosc
West Pomeranian,czestochowa
West Pomeranian,plock-skierniwice
Świętokrzyskie,bialystok
Świętokrzyskie,bialystok-suwalki
Świętokrzyskie,krakow
Świętokrzyskie,krosno
Świętokrzyskie,piotrk?w trybunalski
Świętokrzyskie,piotrkow
Świętokrzyskie,piotrkow trybunalski
Świętokrzyskie,przemysl
Świętokrzyskie,rzeszow-tarnobrzeg
Świętokrzyskie,tarnobrzeg
Świętokrzyskie,torun
Świętokrzyskie,zielonogora-leszczynskie
