ADM1,Constituency
Puerto Rico,district 1
Puerto Rico,district 10
Puerto Rico,district 11
Puerto Rico,district 12
Puerto Rico,district 13
Puerto Rico,district 14
Puerto Rico,district 15
Puerto Rico,district 16
Puerto Rico,district 17
Puerto Rico,district 18
Puerto Rico,district 19
Puerto Rico,district 2
Puerto Rico,district 20
Puerto Rico,district 21
Puerto Rico,district 22
Puerto Rico,district 23
Puerto Rico,district 24
Puerto Rico,district 25
Puerto Rico,district 26
Puerto Rico,district 27
Puerto Rico,district 28
Puerto Rico,district 29
Puerto Rico,district 3
Puerto Rico,district 30
Puerto Rico,district 31
Puerto Rico,district 32
Puerto Rico,district 33
Puerto Rico,district 34
Puerto Rico,district 35
Puerto Rico,district 36
Puerto Rico,district 37
Puerto Rico,district 38
Puerto Rico,district 39
Puerto Rico,district 4
Puerto Rico,district 40
Puerto Rico,district 5
Puerto Rico,district 6
Puerto Rico,district 7
Puerto Rico,district 8
Puerto Rico,district 9
