ADM1,Constituency
Aveiro,aveiro
Azores,acores - grupo central
Azores,açores
Azores,açores 
Azores,a‚ores - grupo oriental
Azores,regiao autonoma acores
Beja,beja
Braga,braga
Bragança,braganca
Bragança,bragança
Bragança,bragança 
Castelo Branco,castelo branco
Coimbra,coimbra
Faro,faro
Guarda,guarda
Leiria,leiria
Lisboa,lisboa
Madeira,madeira
Madeira,regiao autonoma madeira
Portalegre,portalegre
Porto,porto
Santarém,santarem
Santarém,santarém
Santarém,santarém 
Setúbal,setubal
Setúbal,setòbal
Setúbal,setúbal 
Viana do Castelo,viana do castelo
Vila Real,vila real
Viseu,viseu
Évora,evora
Évora,évora
Évora,évora 
