ADM1,Constituency
Alba,alba
Arad,arad
Arges,arges
Bacau,bacau
Bihor,bihor
Bistrita-Nasaud,bistrita-nasaud
Botosani,botosani
Braila,braila
Brasov,brasov
Bucharest,bucuresti
Buzau,buzau
Calarasi,calarasi
Caras-Severin,caras-severin
Cluj,cluj
Constanta,constanta
Covasna,covasna
Dolj,dolj
Dâmbovita,dambovita
Galati,galati
Giurgiu,giurgiu
Gorj,gorj
Harghita,harghita
Hunedoara,hunedoara
Ialomita,ialomita
Iasi,iasi
Ilfov,ilfov
Maramures,maramures
Mehedinti,mehedinti
Mures,mures
Neamt,neamt
Olt,olt
Prahova,prahova
Salaj,salaj
Satu Mare,satu mare
Sibiu,sibiu
Suceava,suceava
Teleorman,teleorman
Timis,timis
Tulcea,tulcea
Vaslui,vaslui
Vrancea,vrancea
Vâlcea,valcea
