ADM1,Constituency
Adygey,Republic of Adygea (Adygea)
Altay,Altai Republic
Altay,Altai Territory - Barnaul
Altay,Altai Territory - Biyskaya
Altay,Altai Territory - Rubtsovskaya
Altay,Altay
Amur,Amur Region
Arkhangel'sk,Arkhangelsk Region
Astrakhan',Astrakhan region
Astrakhan',Baikonur (Kazakhstan)
Bashkortostan,Republic of Bashkortostan
Bashkortostan,Republic of Bashkortostan - Birsk
Bashkortostan,Republic of Bashkortostan - Salavat
Bashkortostan,Republic of Bashkortostan - Sterlitamak
Bashkortostan,Republic of Bashkortostan - Ufa
Belgorod,Belgorod region
Bryansk,Bryansk region
Buryat,Agin-Buryat Autonomous Okrug
Buryat,Republic of Buryatia
Buryat,Ust-Orda Buryat Autonomous Okrug
Chechnya,The Chechen Republic
Chelyabinsk,Chelyabinsk region
Chelyabinsk,Chelyabinsk region - Kalinin
Chelyabinsk,Chelyabinsk region - Kyshtym
Chelyabinsk,Chelyabinsk region - Magnitogorsk
Chelyabinsk,Chelyabinsk region - Zlatoust
Chita,Chita region
Chita,Chukotka
Chukchi Autonomous Okrug,Evenk Autonomous Area
Chukchi Autonomous Okrug,Jewish Autonomous Region
Chukchi Autonomous Okrug,Khanty-Mansi Autonomous Area - Yugra
Chukchi Autonomous Okrug,Koryak Autonomous Area
Chukchi Autonomous Okrug,Moscow - Tushino
Chuvash,Chuvash Republic - Chuvashia
City of St. Petersburg,City of Moscow
City of St. Petersburg,City of St. Petersburg
City of St. Petersburg,Saint Petersburg - South
City of St. Petersburg,Saint Petersburg - West
Dagestan,Republic of Dagestan
Dagestan,Republic of Dagestan - Derbent
Dagestan,Republic of Dagestan - Makhachkala
Ingush,Moscow - Noginsk
Ingush,Republic of Ingushetia
Irkutsk,Irkutsk - Irkutsk
Irkutsk,Irkutsk Region
Irkutsk,Irkutsk region - Common
Ivanovo,Ivanovo region
Kabardin-Balkar,Kabardino-Balkaria
Kaliningrad,Kaliningrad
Kalmyk,Republic of Kalmykia
Kaluga,Kaluga region
Kamchatka,Kamchatka
Karachay-Cherkess,Karachay-Cherkessia
Karelia,The Republic of Karelia
Kemerovo,Kemerovo Region
Khabarovsk,Khabarovsk Krai
Khakass,Republic of Khakassia
Khanty-Mansiy,Khanty-Mansi Autonomous Area
Kirov,Kirov region
Kirov,Moscow - Dmitrov
Komi,Komi Republic
Komi,Komi-Perm Autonomous District
Kostroma,Kostroma region
Kostroma,Moscow - Kolomna
Krasnodar,Krasnodar
Krasnodar,Krasnodar - Armavir
Krasnodar,Krasnodar - Crimean
Krasnodar,Krasnodar - Kanev
Krasnodar,Krasnodar - Krasnodar
Krasnodar,Krasnodar - Ust-Labinsk
Krasnodar,Krasnodar region - Sochi
Krasnoyarsk,Krasnoyarsk - Achinsk-Minusinsk
Krasnoyarsk,Krasnoyarsk - Krasnoyarsk
Krasnoyarsk,Krasnoyarsk - Norilsk-Kan
Krasnoyarsk,Krasnoyarsk Territory
Kurgan,Kurgan region
Kursk,Kursk region
Leningrad,Leningrad Region
Lipetsk,Lipetsk region
Maga Buryatdan,Magadan
Mariy-El,Mari El Republic
Mordovia,Republic of Mordovia
Moskovsskaya,Moscow - Istrinskaya
Moskovsskaya,Moscow - Kuntsevskaya
Moskovsskaya,Moscow - Tsaritsynskaya
Moskva,Moscow - Khimki
Moskva,Moscow - Lublin
Moskva,Moscow region
Murmansk,Murmansk region
Nenets,Moscow - Lyuberetskaya
Nenets,Nenets Autonomous District
Nenets,Taimyr (Dolgan-Nenets) Autonomous District
Nenets,Yamal-Nenets Autonomous District
North Ossetia,Primorsky Krai - North
North Ossetia,Republic of North Ossetia - Alania
North Ossetia,Saint Petersburg - North
Novgorod,Nizhny Novgorod region
Novgorod,Nizhny Novgorod region - Arzamasskaya
Novgorod,Nizhny Novgorod region - Kstovsky
Novgorod,Nizhny Novgorod region - Nizhniy Novgorod
Novgorod,Nizhny Novgorod region - Semenovskaya
Novgorod,Novgorod region
Novosibirsk,Novosibirsk Region
Novosibirsk,Novosibirsk Region - Novosibirsk
Novosibirsk,Novosibirsk region - Iskitimskyi
Novosibirsk,Novosibirsk region - Zaeltsovskaya
Omsk,Moscow - Medvedkovskaya
Omsk,Moscow - Podolsky
Omsk,Omsk - Central
Omsk,Omsk - Omsk
Omsk,Omsk Region
Orel,Orel region
Orenburg,Orenburg - Orenburg
Orenburg,Orenburg region
Orenburg,Orenburg region - Novotroitskaya
Penza,Moscow - Central
Penza,Penza region
Perm',Moscow - Cheremushkinskaya
