ADM1,Constituency
Capital Territory (Honiara),East Honiara
Capital Territory (Honiara),Fataleka
Capital Territory (Honiara),Honiara
Capital Territory (Honiara),West Honiara
Central,Central Guadalcanal
Central,Central Honiara
Central,Central Kwara'ae
Central,Central Makira
Central,Central Solomons
Central,East Central Guadalcanal
Choiseul,Choiseul
Choiseul,Choiseul/Shortlands
Choiseul,East Choiseul
Choiseul,North Choiseul
Choiseul,North West Choiseul
Choiseul,South Choiseul
Guadalcanal,East Guadalcanal
Guadalcanal,North East Guadalcanal
Guadalcanal,North East Guadalcanal (old)
Guadalcanal,North Guadalcanal
Guadalcanal,North West Guadalcanal
Guadalcanal,South Guadalcanal
Guadalcanal,Ulawa/Ugi
Guadalcanal,West Guadalcanal
Guadalcanal,West Guadalcanal and Russells
Isabel,Baegu/Asifola
Isabel,East Isabel
Isabel,East Isabel/Savo
Isabel,Marovo/Kusaghe
Isabel,New Georgia
Isabel,North New Georgia
Isabel,Russells/Savo
Isabel,Santa Isabel
Isabel,West Isabel
Isabel,Ysabel/Russells
Makira,East Kwaio
Makira,East Makira
Makira,Gizo/Kolombangara
Makira,Gizo/Ranongga/Simbo/Kolombangara
Makira,Hograno/Kia/Havulei
Makira,Kwaio
Makira,Makira
Makira,Marovo
Makira,West Makira
Malaita,Aoke/Langalanga
Malaita,Central Malaita
Malaita,East Malaita
Malaita,Malaita Outer Islands
Malaita,Maringe/Kokota
Malaita,North Central Malaita
Malaita,North East Malaita
Malaita,North Malaita
Malaita,North West Malaita
Malaita,Small Malaita
Malaita,South Central Malaita
Malaita,South Malaita
Rennell and Bellona,Are' are
Rennell and Bellona,Lau/Mbaelelea
Rennell and Bellona,Ngella/Savo/Russells
Rennell and Bellona,Nggela
Rennell and Bellona,North Vella Lavella
Rennell and Bellona,Ranongga/Simbo
Rennell and Bellona,Rennell/Bellona
Rennell and Bellona,Roviana and North New Georgia
Rennell and Bellona,Roviana/Rendova
Rennell and Bellona,Shortland
Rennell and Bellona,Shortlands/Vella Lavella
Rennell and Bellona,South Guadalcanal/Rennell and Bellona
Rennell and Bellona,South Vella Lavella
Rennell and Bellona,Vella Lavella
Rennell and Bellona,Vella Lavella/Kolombangara
Temotu,Gao/Bugotu
Temotu,Temotu Nende
Temotu,Temotu Pele
Temotu,Temotu Vatud
Western,East Are' Are
Western,Eastern Outer Islands
Western,First Eastern Outer Islands
Western,North Western Solomons
Western,Second Eastern Outer Islands
Western,South New Georgia/Rendova/Tetepari
Western,Vona Vona/Rendova/Tetepari
Western,West Are' Are
Western,West Kwaio
Western,West Kwara'ae
Western,West New Georgia/Vona Vona
