ADM1,Constituency
Eastern,ABOKOBI-MADINA
Eastern,ADA
Eastern,ADANSI ASOKWA
Eastern,AFIGYA-SEKYERE EAST
Eastern,AGONA EAST
Eastern,AJUMAKO/ENYAN/ESIAM
Eastern,AKAN
Eastern,AKROFROM
Eastern,AMENFI EAST
Eastern,ANLO
Eastern,ASHAIMAN
Eastern,ATEBUBU/AMANTING
Eastern,ATIWA
Eastern,ATWIMA MPONUA
Eastern,ATWIMA-KWANWOMA
Eastern,AVENOR-AVE
Eastern,AYAWASO EAST
Eastern,Alibori 1
Eastern,Alibori 2
Eastern,Atacora 3
Eastern,Atacora 4
Eastern,Atlantique 5
Eastern,Atlantique 6
Eastern,BANTAMA
Eastern,BEKWAI
Eastern,BIA
Eastern,BIMBILA
Eastern,BOLGATANGA
Eastern,CAPE COAST
Eastern,CHIANA-PAGA
Eastern,DAMONGO/DABOYA
Eastern,DOME-KWABENYA
Eastern,DOMEABRA-OBOM
Eastern,DORMAA EAST
Eastern,EFFIDUASI/ASOKORE
Eastern,EJURA-SEKYEDUMASE
Eastern,EVALUE GWIRA
Eastern,FANTEAKWA
Eastern,GAMBAGA
Eastern,GOMOA EAST
Eastern,HO EAST
Eastern,KADE
Eastern,KARAGA
Eastern,KPANDAI
Eastern,KRACHI EAST
Eastern,KWABRE EAST
Eastern,MANHYIA
Eastern,MFANTSEMAN EAST
Eastern,NADOWLI EAST
Eastern,NANTON
Eastern,NEW EDUBIASE
Eastern,OBUASI
Eastern,Plateau 21
Eastern,Plateau 22
Eastern,SEFWI WIAWSO
Eastern,TEMA EAST
Eastern,TROBU-AMASAMAN
Eastern,UPPER DENKYIRA EAST
Eastern,ZEBILLA
Northern,ABLEKUMA NORTH
Northern,AFRAM PLAINS NORTH
Northern,AHAFO ANO NORTH
Northern,AKIM ABUAKWA NORTH
Northern,ASANTE AKIM NORTH
Northern,ASSIN NORTH
Northern,ASUNAFO NORTH
Northern,ASUTIFI NORTH
Northern,BONGO
Northern,BUILSA NORTH
Northern,HOHOE NORTH
Northern,KETU NORTH
Northern,KINTAMPO NORTH
Northern,NAVRONGO CENTRAL
Northern,NHYIAESO
Northern,NINGO-PRAMPRAM
Northern,NKORANZA NORTH
Northern,NKWANTA NORTH
Northern,NORTH DAYI
Northern,NORTH TONGU
Northern,OFFINSO-NORTH
Northern,OKAIKWEI NORTH
Northern,OKERE
Northern,TAMALE NORTH
Northern,TANO NORTH
Northern,TECHIMAN NORTH
Southern,ABLEKUMA SOUTH
Southern,ABURI/NSAWAM
Southern,AHAFO ANO SOUTH
Southern,ASANTE AKIM SOUTH
Southern,ASIKUMA/ODOBEN/BRAKWA
Southern,ASSIN SOUTH
Southern,ASUNAFO SOUTH
Southern,ASUTIFI SOUTH
Southern,AYAWASO CENTRAL
Southern,BINDURI
Southern,BOLE
Southern,BOSOME-FREHO
Southern,BOSOMTWE
Southern,BUEM
Southern,BUILSA SOUTH
Southern,BUNKPURUGU
Southern,Borgou 7
Southern,Borgou 8
Southern,CHEREPONI
Southern,Couffo 11
Southern,Couffo 12
Southern,DADE KOTOPON
Southern,Donga 13
Southern,Donga 14
Southern,FOMENA
Southern,GUSHEIEGU
Southern,HOHOE SOUTH
Southern,JAMAN SOUTH
Southern,KETU SOUTH
Southern,KLOTTEY KORLE
Southern,KUMBUNGU
Southern,LEDZOKUKU
Southern,MPOHOR WASSA
Southern,Mono 17
Southern,Mono 18
Southern,NEW JUABEN SOUTH
Southern,NKWANTA SOUTH
Southern,NSUTA/KWAMANG
Southern,ODODODIODOO
Southern,ODOTOBRI
Southern,OFFINSO-SOUTH
Southern,OKAIKWEI SOUTH
Southern,OLD TAFO
Southern,Ouémé 19
Southern,Ouémé 20
Southern,PRU
Southern,SABOBA
Southern,SHAMA
Southern,SOUTH TONGU
Southern,SUAMAN
Southern,SUHUM
Southern,TAMALE SOUTH
Southern,TECHIMAN SOUTH
Southern,TOLON
Southern,UPPER MANYA
Southern,YAGABA/KUBORI
Southern,YENDI
Southern,Zou 23
Southern,Zou 24
Western,ABETIFI
Western,ABLEKUMA CENTRAL
Western,ABURA/A/KWAMANKESE
Western,AFIGYA-SEKYERE WEST
Western,AGONA WEST
Western,AHANTA WEST
Western,AKWATIA
Western,AMANSIE-WEST
Western,AMENFI CENTRAL
Western,AMENFI WEST
Western,AOWIN
Western,ASAWASE
Western,ATWIMA NWABIAGYA
Western,AWUTU-SENYA
Western,AYAWASO WEST-WUOGON
Western,AYENSUONO
Western,BAWKU CENTRAL
Western,BEREKUM
Western,CENTRAL TONGU
Western,Collines 10
Western,Collines 9
Western,DORMAA WEST
Western,EFFUTU
Western,EJISU JUABEN
Western,ELLEMBELE
Western,ESIKADU/KETAN
Western,HEMANG LOWER DENKYIRA
Western,KEEA
Western,KETA
Western,KRACHI WEST
Western,KUMAWU
Western,KWABRE WEST
Western,KWADASO
Western,LAWRA
Western,LOWER MANYA
Western,LOWER WEST AKIM
Western,Littoral 15
Western,Littoral 16
Western,MFANTSEMAN WEST
Western,MPRAESO
Western,NABDAM
Western,NADOWLI WEST
Western,PRESTEA/HUNI-VALLEY
Western,PUSIGA
Western,SALAGA
Western,SALWA-TUNA-KALBA
Western,SAVELUGU
Western,SEGE
Western,SEKONDI
Western,SENE
Western,SISSALA WEST
Western,TAKORADI
Western,TAMALE CENTRAL
Western,TARKWA-NSUAEM
Western,TEMA WEST
Western,UPPER DENKYIRA WEST
Western,WA CENTRAL
Western,WA WEST
Western,WALEWALE
Western,WEIJA
Western,WENCHI
Western,WULENSI
Western,YAPEI/KUSAWGU
