ADM1,Constituency
Blekinge,björkekinds härads
Blekinge,blekinge län
Blekinge,blekinge läns
Blekinge,"flundre, väne och bjerke"
Blekinge,kinds
Blekinge,lifgedingets domsaga
Blekinge,lifgedingets domsaga i
Blekinge,lifgedingets domsaga ii
Blekinge,linde
Blekinge,risinge härads
Blekinge,tunge
Dalarna,aarstads och fauraas
Dalarna,aska härads
Dalarna,bara
Dalarna,dalarnas län
Dalarna,dalarnas läns
Dalarna,elfdals och nyeds
Dalarna,falu norra
Dalarna,fryksdals öfre
Dalarna,herjeaadalens
Dalarna,karlskrona
Dalarna,landskrona
Dalarna,luleaa
Dalarna,"luleaa, piteaa och haparanda städ"
Dalarna,nedan-siljans
Dalarna,norsjö och malaa
Dalarna,opunda härad
Dalarna,södra aasbo och bjäre
Gotland,frosta
Gotland,gotlands län
Gotland,gotlands läns
Gotland,gotlands norra
Gotland,gotlands södra
Gotland,gottlands län
Gotland,"hälsingborg, landskrona och lund"
Gotland,hälsinglands norra
Gotland,hälsinglands södra
Gotland,ingelstads och jerrestads
Gotland,kinda och ydre domsaga
Gotland,norra helsinglands
Gotland,olands
Gotland,södra helsinglands vestra
Gotland,södra helsinglands östra
Gävleborg,"aakers, daga och selebo"
Gävleborg,albo och gärds
Gävleborg,allbo
Gävleborg,edsbergs
Gävleborg,färs
Gävleborg,gefle
Gävleborg,gillbergs och näs
Gävleborg,gävleborgs län
Gävleborg,gävleborgs läns
Gävleborg,göteborg
Gävleborg,göteborg kommuns
Gävleborg,göteborgs kommun
Gävleborg,göteborgs kommuns
Gävleborg,göteborgs och bohus läns norra
Gävleborg,göteborgs och bohus läns södra
Gävleborg,göteborgs stad
Gävleborg,göteborgs stad/kommuns
Gävleborg,helsingborg
Gävleborg,himle
Gävleborg,"jönaakers, rönö, och hölebo härad"
Gävleborg,"rönö, hölebo och daga"
Gävleborg,torps
Gävleborg,tössbo och vedbo
Gävleborg,venesborg och aamaal
Gävleborg,Älvsborg läns norra
Gävleborg,Älvsborgs läns mellersta
Gävleborg,Älvsborgs läns norra
Gävleborg,Älvsborgs läns södra
Halland,gudhems och kaakinds
Halland,hallands län
Halland,hallands läns
Halland,hallands läns nörra
Halland,hallands läns städer
Halland,halmstads och tönnersjö
Halland,jönaakers härander
Halland,karlstad och filipstad
Halland,lane och staangenäs
Halland,malmö läns
Halland,mellan-sysslets
Halland,naas och malungs
Halland,norunda och olands härad
Halland,norunda och Örbyhus härad
Halland,oppunda och willaattinge
Halland,sala och arboga
Halland,villands härad
Halland,Örbyhus härad
Jämtland,jemtlands norra
Jämtland,jemtlands södra
Jämtland,jemtlands vestra
Jämtland,jemtlands östra
Jämtland,jämtlands län
Jämtland,jämtlands läns
Jämtland,jämtlands läns norra
Jämtland,jämtlands läns södra
Jämtland,själevads och arnäs
Jämtland,vexjö stader
Jönköping,höks
Jönköping,jönköpings län
Jönköping,jönköpings läns
Jönköping,jönköpings läns västra
Jönköping,jönköpings läns östra
Jönköping,jönköpings stad
Jönköping,kinnefjerdings
Jönköping,kullings
Jönköping,"köpings, nora, lindesbergs och en"
Jönköping,"lidköping, hjo och falköping"
Jönköping,linköping
Jönköping,nordingraa och nätra
Jönköping,norrköping
Jönköping,norrköpings och linköpings
Jönköping,"nyköping, thorshälla, mariefred o"
Jönköping,uppvidinge
Jönköping,vestaraas och köping
Jönköping,"vätle, ale och kullings"
Kalmar,falu
Kalmar,fryksdals
Kalmar,gällivare
Kalmar,hammarkinds härads
Kalmar,hammerdals
Kalmar,kalix
Kalmar,kalmar
Kalmar,kalmar län
Kalmar,kalmar läns
Kalmar,kalmar läns norra
Kalmar,kalmar läns södra
Kalmar,kumla och sundbo
Kalmar,malmö
Kalmar,malmö kommun
Kalmar,malmö stad
Kalmar,malmöhus läns
Kalmar,malmöhus läns mellersta
Kalmar,malmöhus läns norra
Kalmar,malmöhus läns södra
Kalmar,marks
Kalmar,"marstrands, kungelf, alingsaas oc"
Kalmar,nordmarks
Kalmar,uddevalla
Kalmar,vifolka härads
Kronoberg,harjagers och rönnebergs
Kronoberg,konga
Kronoberg,kopparberg läns
Kronoberg,kopparbergs läns norra
Kronoberg,kronoberg läns västra
Kronoberg,kronobergs län
Kronoberg,kronobergs läns
Kronoberg,kronobergs läns östra
Kronoberg,onsjö
Kronoberg,oxie
Kronoberg,skaraborgs läns
Kronoberg,skaraborgs läns norra
Kronoberg,skaraborgs läns södra
Norrbotten,boteaa
Norrbotten,nobottens läns södra
Norrbotten,nora
Norrbotten,norbottens läns
Norrbotten,norbottens läns norra
Norrbotten,norra aasbo
Norrbotten,norra tjusts
Norrbotten,norra vadsbo
Norrbotten,norrbottens län
Norrbotten,norrbottens läns
Norrbotten,norrbottens norra
Norrbotten,norrbottens södra norra
Norrbotten,norrbottens södra södra
Norrbotten,norrvikens
Orebro,bergsjö och delsbo
Orebro,"falun, hedemora och säter"
Orebro,fernebo
Orebro,gagnefs samt rättviks och ore
Orebro,glanshammars och Örebro
Orebro,norra möre och stranda
Orebro,norra och södra vedbo domsaga
Orebro,Örebro
Orebro,Örebro län
Orebro,Örebro läns
Orebro,Örebro läns norra
Orebro,Örebro läns södra
Skåne,aas och gäsene
Skåne,"aase, viste, barne och laske"
Skåne,askers och sköllersta
Skåne,askims
Skåne,bohusläns
Skåne,bräkne
Skåne,fjäre och viske
Skåne,fryksdals nedre
Skåne,"hernöstad, umeaa och skellefteaa"
Skåne,jösse
Skåne,kungadömets domsaga i
Skåne,kungadömets domsaga ii
Skåne,luggunde i
Skåne,luggunde ii
Skåne,lysing och göstrings
Skåne,malmö/fyrstadskretsen
Skåne,"skaanings, vilske och valle"
Skåne,skellefteaa
Skåne,skåne läns norra och östra
Skåne,skåne läns södra
Skåne,skåne läns västra
Skåne,sköns
Skåne,sollefteaa och ramsele
Skåne,sundals
Skåne,säfvedals
Skåne,"trelloborgs, skanörs med falserbo"
Skåne,"umeaa, skellefteaa och piteaa"
Skåne,vartofta och frökinds
Skåne,visnums
Stockholm,aakers och selebo
Stockholm,"boraas, alingsaas och ulricehamn"
Stockholm,enaangers och forsa
Stockholm,halmstad och engelholm
Stockholm,herrestads och ljunits
Stockholm,"mariestad, skara och sköfde"
Stockholm,"njurunda, indals och ljustorps"
Stockholm,nordals och valbo
Stockholm,"nordals, sundals och valbo"
Stockholm,orusts och tjörns
Stockholm,"oskarhamns, vimmerby och borgholm"
Stockholm,skytts och oxie
Stockholm,stockhloms femte
Stockholm,stockhloms fjerde
Stockholm,stockholms andra
Stockholm,stockholms första
Stockholm,stockholms kommun
Stockholm,stockholms kommuns
Stockholm,stockholms län
Stockholm,"stockholms län danderyds, aakers"
Stockholm,stockholms län färetuna och solle
Stockholm,stockholms län mellestra roslags
Stockholm,stockholms län norra roslags doms
Stockholm,stockholms län städer
Stockholm,stockholms län svartlösa härad
Stockholm,stockholms län södertälje stad
Stockholm,stockholms län södertörns
Stockholm,stockholms län södra roslags doms
Stockholm,"stockholms län vaxholms, norrtälj"
Stockholm,stockholms läns
Stockholm,stockholms läns norra
Stockholm,stockholms läns södra
Stockholm,stockholms läns vestra domsaga
Stockholm,stockholms och Öknebo härad
Stockholm,stockholms stad
Stockholm,stockholms stad/kommuns
Stockholm,stockholms stads andra
Stockholm,stockholms stads första
Stockholm,stockholms tredje
Stockholm,"tveta, vista och mo härad"
Stockholm,vedens och bollebygds
Stockholm,"vemmenhögs, ljunits och herrestad"
Stockholm,vista och mo härad
Stockholm,"vänersbprgs, alingsaas och ulrice"
Stockholm,vätle och ale
Södermanland,aagermanlands mellestra
Södermanland,aagermanlands södra
Södermanland,aagermanlands vestra
Södermanland,angermanlands norra
Södermanland,angermanlands södra
Södermanland,hernösand
Södermanland,inlands
Södermanland,malungs
Södermanland,medelpads
Södermanland,medelstads
Södermanland,norra aangermanlands
Södermanland,söderhamn och hudiksvall
Södermanland,södermanlands län
Södermanland,södermanlands läns
Södermanland,södermanlands läns norra
Södermanland,södermanlands läns södra
Södermanland,södra helsinglands
Södermanland,södra vadsbo
Södermanland,umeaa
Södermanland,vadstena städer
Uppsala,ljustorps
Uppsala,malmö kommuns
Uppsala,piteaa
Uppsala,staden uppsala
Uppsala,sundsvall
Uppsala,uppsala län
Uppsala,uppsala läns
Uppsala,uppsala läns mellersta domsaga
Uppsala,uppsala läns södra
Värmland,grangärde
Värmland,"leksands, aals och bjursaas"
Värmland,normalings och bjurholms samt deg
Värmland,ragunda
Värmland,värmlands län
Värmland,värmlands läns
Värmland,värmlands läns norra
Värmland,värmslands läns västra
Värmland,värmslands läns östra
Västerbotten,sunnerbo
Västerbotten,sunnerbo östra
Västerbotten,varberg städer
Västerbotten,vemmenhögs
Västerbotten,vesterbottens mellestra
Västerbotten,vesterbottens norra
Västerbotten,vesterbottens södra (umeaa)
Västerbotten,vesterbottens vestra (nordmalings
Västerbotten,vestervik städer
Västerbotten,visby
Västerbotten,västerbotten läns norra
Västerbotten,västerbottens län
Västerbotten,västerbottens läns
Västerbotten,västerbottens läns södra
Västerbotten,Öster- och wester-rekarne
Västernorrland,aakerbo härads
Västernorrland,hedemora
Västernorrland,listers
Västernorrland,norrvidinge och kinnevalds
Västernorrland,torna
Västernorrland,västbo härad
Västernorrland,västerberglags
Västernorrland,västernorrlands län
Västernorrland,västernorrlands läns
Västernorrland,Östbo härad
Västmanland,kristianstad och simrishamn
Västmanland,kristianstads läns
Västmanland,kristianstads läns nordvästra
Västmanland,kristianstads läns sydöstra
Västmanland,ofvan-siljans
Västmanland,sevede och tanläns
Västmanland,vesmanlands södra
Västmanland,vestmanlands norra
Västmanland,vestmanlands vestra
Västmanland,vestmanlands östra
Västmanland,västmanlands län
Västmanland,västmanlands läns
Västmanland,västmanlands läns västra
Västmanland,västmanlands läns östra
Västra Götaland,askims samt västra och Östra hisi
Västra Götaland,eskilstuna stad
Västra Götaland,falu södra
Västra Götaland,gestriklands vestra
Västra Götaland,gestriklands östra
Västra Götaland,karlshamn städer
Västra Götaland,kopparbergs läns västra
Västra Götaland,kopparbergs läns östra
Västra Götaland,medelpads vestra
Västra Götaland,medelpads östra
Västra Götaland,redvägs
Västra Götaland,sunnerbo vestra
Västra Götaland,säbraa
Västra Götaland,södra möre vestra
Västra Götaland,södra möre östra
Västra Götaland,södra tjusts
Västra Götaland,torneaa
Västra Götaland,tveta härad
Västra Götaland,vesteraas stad
Västra Götaland,vestra göinge
Västra Götaland,vestra helsinglands
Västra Götaland,vestra och Östra hisings tingslag
Västra Götaland,vestra värends
Västra Götaland,västra götalands läns norra
Västra Götaland,västra götalands läns södra
Västra Götaland,västra götalands läns västra
Västra Götaland,västra götalands läns östra
Västra Götaland,västra härads
Västra Götaland,Östra
Västra Götaland,Östra göinge
Västra Götaland,Östra härads
Östergötland,aspelands och handbörds
Östergötland,gästrikslands
Östergötland,hernösand och Östersund
Östergötland,kristinehamn
Östergötland,lund
Östergötland,mellestra värends
Östergötland,selaangers
Östergötland,skytts
Östergötland,"strömstads, ysekils, marstrands,"
Östergötland,sundvall och Östersund
Östergötland,villaattinge härad
Östergötland,ystad
Östergötland,Ölands
Östergötland,Östergötlands län
Östergötland,Östergötlands läns
Östergötland,Östergötlands läns norra
Östergötland,Östergötlands läns södra
