ADM1,Constituency
Grand Turk,"Grand Turk, North"
Grand Turk,"Grand Turk, South"
Middle Caicos,Blue Hills
Middle Caicos,Five Cays
Middle Caicos,Middle Caicos
Middle Caicos,TURKS AND CAICOS AT-LARGE (5 Seats)
North Caicos,Middle and North Caicos
North Caicos,North Backsalina
North Caicos,North Caicos East
North Caicos,North Caicos West
North Caicos,South Caicos North
North Caicos,South Caicos South
Providenciales and West Caicos,"Blue Hills, Providenciales"
Providenciales and West Caicos,Cheshire Hall
Providenciales and West Caicos,"Cheshire Hall, Richmond Hill, Providenciales"
Providenciales and West Caicos,"Five Cays, Providenciales"
Providenciales and West Caicos,"Leeward, Providenciales"
Providenciales and West Caicos,Overback
Providenciales and West Caicos,"The Bight, Providenciales"
Providenciales and West Caicos,West Road
Providenciales and West Caicos,Wheeland
Salt Cay,Long Bay Hills
South Caicos and East Caicos,Richmond Hall
South Caicos and East Caicos,South Backsalina
South Caicos and East Caicos,South Caicos
South Caicos and East Caicos,The Bight
