name,ideology
saha prachachart,other
kaset sangkhom,other
khwamwang mai,other
issara,other
kit prachakhom,other
naew ruam sangkhomniyom,other
santichon,other
palangtham,other
chart prachathippatai,other
prachathippatai,other
kaona,other
samakkidhamma,other
prachachon,other
naew ruam settakorn,other
kijprachathippatai,other
puangchon chao thai,other
prachacornthai,other
ruam thai,other
chart prachachon,other
tham sangkhom,other
seritham,regionalist
sangkhom chartniyom,other
ekaphap,other
independent,other
saha prachathai,other
kit sangkhom,other
siam prachathippatai,other
saha prachathippatai,other
chart pattana,other
muan chon,other
pattana changwat,other
prachathipat,other
athipat,other
prachatham,other
rassadorn,other
sangkhomniyom haeng prathet thai,other
chart thai,other
