ADM1,Constituency
Arima,Arima
Arima,Arouca/Maloney
Arima,Caroni Central
Arima,Caroni East
Arima,Naparima
Arima,Nariva
Chaguanas,Chaguanas
Chaguanas,Chaguanas East
Chaguanas,Chaguanas West
Chaguanas,St. Augustine
Couva-Tabaquite-Talparo,Couva North
Couva-Tabaquite-Talparo,Couva South
Couva-Tabaquite-Talparo,Fyzabad
Couva-Tabaquite-Talparo,La Horquetta/Talparo
Couva-Tabaquite-Talparo,Moruga/Tableland
Couva-Tabaquite-Talparo,Tabaquite
Diego Martin,D'Abadie/O'Meara
Diego Martin,Diego Martin Central
Diego Martin,Diego Martin East
Diego Martin,Diego Martin North/East
Diego Martin,Diego Martin West
Eastern Tobago,Oropouche East
Eastern Tobago,Tobago East
Point Fortin,Oropouche
Point Fortin,Point Fortin
Point Fortin,Pointe-a-Pierre
Port of Spain,Lopinot/Bon Air West
Port of Spain,Port-of-Spain North/St. Ann's West
Port of Spain,Port-of-Spain South
Port of Spain,St. Joseph
Princes Town,Princes Town
Princes Town,Princes Town North
Princes Town,Princes Town South/Tableland
Rio Claro-Mayaro,Arouca North
Rio Claro-Mayaro,Arouca South
Rio Claro-Mayaro,La Brea
Rio Claro-Mayaro,Mayaro
Rio Claro-Mayaro,Ortorie/Mayard
Rio Claro-Mayaro,Ortorie/Mayaro
San Fernando,Barataria/San Juan
San Fernando,San Fernando East
San Fernando,San Fernando West
San Fernando,St. Ann's East
San Juan-Laventille,Cumuto/Manzanilla
San Juan-Laventille,Laventille East/Morvant
San Juan-Laventille,Laventille West
San Juan-Laventille,Toco/Manzanilla
Sangre Grande,Toco/Sangre Grande
Siparia,Siparia
Tunapuna/Piarco,Tunapuna
Western Tobago,Oropouche West
Western Tobago,Tobago West
