ADM1,Constituency
Adana,adana
Adiyaman,adiyaman
Afyonkarahisar,afyon
Afyonkarahisar,afyonkarahisar
Agri,agri
Amasya,amasya
Ankara,ankara
Antalya,antalya
Artvin,artvin
Aydin,aydin
Balikesir,balikesir
Bilecik,bilecik
Bingöl,bingol
Bitlis,bitlis
Bitlis,bitlisl
Bolu,bolu
Burdur,burdur
Bursa,bursa
Denizli,denizli
Diyarbakir,diyarbakir
Edirne,edirne
Elazig,elazig
Erzincan,erzincan
Erzurum,erzurum
Eskisehir,eskisehir
Gaziantep,gaziantep
Giresun,gireson
Giresun,giresun
Gümüshane,gümüshane
Hakkari,hakkari
Hatay,hatay
Isparta,isparta
Istanbul,istanbul
Izmir,izmir
K. Maras,k.maras
Kars,kars
Kastamonu,kastamonu
Kayseri,kayseri
Kirklareli,kirklareli
Kirsehir,kirsehir
Kocaeli,icel
Kocaeli,kocaeli
Konya,konya
Kütahya,kutahya
Kütahya,kütahya
Malatya,malatya
Manisa,manisa
Mardin,mardin
Mersin,mersin (içel)
Mugla,mugla
Mus,gumushane
Mus,mus
Nevsehir,nevsehir
Nigde,nigde
Ordu,ordu
Rize,rize
Sakarya,army
Sakarya,sakarya
Samsun,samsun
Sanliurfa,sanliurfa
Siirt,siirt
Sinop,sinop
Sivas,sivas
Tekirdag,tekirdag
Tokat,tokat
Trabzon,trabzon
Tunceli,tunceli
Usak,usak
Van,van
Yozgat,yozgat
Zinguldak,zonguldak
Çanakkale,canakkale
Çankiri,cankiri
Çorum,corum
