ADM1,Constituency
Changhua,changhua county
Chiayi,chiayi county
Chiayi City,chiayi city
Hsinchu,hsinchu county
Hsinchu City,hsinchu city
Hualien,hualien county
Kaohsiung City,kaohsiung city
Kaohsiung City,kaohsiung city 1
Kaohsiung City,kaohsiung city 2
Kaohsiung City,kaohsiung county
Keelung City,keelung city
Kinmen,kinmen county
Lienchiang,lienchiang county
Miaoli,miaoli county
Nantou,nantou county
Penghu,penghu county (pescadores)
Pingtung,pingtung county
Taichung City,taichung city
Taichung City,taichung county
Tainan City,tainan city
Tainan City,tainan county
Tainan City,taiwan province 1
Tainan City,taiwan province 2
Tainan City,taiwan province 3
Tainan City,taiwan province 4
Tainan City,taiwan province 5
Tainan City,taiwan province 6
Taipei City,taipei city
Taipei City,taipei city 1
Taipei City,taipei city 2
Taipei City,taipei county
Taipei City,taipei county 1
Taipei City,taipei county 2
Taipei City,taipei county 3
Taitung,taitung county
Taoyuan,taoyuan county
Yilan,fujian province
Yilan,taiwanese aborigines (high land)
Yilan,taiwanese aborigines (low land)
Yilan,yilan county
Yunlin,yunlin county
