ADM1,Constituency
Arusha,ARUSHA MJINI
Arusha,BARIADI MASHARIKI
Arusha,HAI
Arusha,IRAMBA MASHARIKI
Arusha,MANYONI MASHARIKI
Arusha,MBOZI MASHARIKI
Arusha,SAME MASHARIKI
Arusha,SIHA
Arusha,URAMBO MASHARIKI
Dar-Es-Salaam,ILALA
Dar-Es-Salaam,KALAMBO
Dar-Es-Salaam,MSALALA
Dar-Es-Salaam,SOLWA
Dodoma,DODOMA MJINI
Geita,GEITA
Geita,SERENGETI
Iringa,IGUNGA
Iringa,IRINGA MJINI
Iringa,MBINGA MAGHARIBI
Iringa,MBINGA MASHARIKI
Iringa,NACHINGWEA
Kagera,CHAKECHAKE
Kagera,KAHAMA
Kagera,KAWE
Kagera,KISESA
Kagera,KYELA
Kagera,KYERWA
Kagera,MJI MKONGWE
Kagera,SENGEREMA
Kaskazini-Pemba,ILEMELA
Kaskazini-Pemba,KILWA KASKAZINI
Kaskazini-Pemba,KOJANI
Kaskazini-Pemba,KONDOA KASKAZINI
Kaskazini-Pemba,MKOANI
Kaskazini-Pemba,MULEBA KASKAZINI
Kaskazini-Pemba,UZINI
Kaskazini-Unguja,BUYUNGU
Kaskazini-Unguja,NUNGWI
Kaskazini-Unguja,UBUNGO
Kaskazini-Unguja,UKONGA
Katavi,BABATI VIJIJINI
Katavi,KIBAHA VIJIJINI
Katavi,KIBITI
Katavi,KWAMTIPURA
Katavi,NKASI
Kigoma,IGALULA
Kigoma,KIGAMBONI
Kigoma,KIGOMA KASKAZINI
Kigoma,KIGOMA KUSINI
Kigoma,KIGOMA MJINI
Kigoma,KILOLO
Kigoma,KILOMBERO
Kigoma,KILOSA
Kigoma,KISHAPU
Kigoma,KITETO
Kigoma,KITOPE
Kigoma,KWIMBA
Kigoma,MKINGA
Kilimanjaro,DIMANI
Kilimanjaro,ILEJE
Kilimanjaro,ISMANI
Kilimanjaro,LIWALE
Kilimanjaro,SIMANJIRO
Kusini-Pemba,FUONI
Kusini-Pemba,KILWA KUSINI
Kusini-Pemba,KONDOA KUSINI
Kusini-Pemba,MULEBA KUSINI
Kusini-Pemba,RUFIJI
Lindi,BABATI MJINI
Lindi,BARIADI MAGHARIBI
Lindi,BUKOBA MJINI
Lindi,BUMBWINI
Lindi,CHALINZE
Lindi,KIBAHA MJINI
Lindi,KILINDI
Lindi,KINONDONI
Lindi,KOROGWE MJINI
Lindi,KOROGWE VIJIJINI
Lindi,LINDI MJINI
Lindi,LULINDI
Lindi,MFENESINI
Lindi,MONDULI
Lindi,MOSHI MJINI
Lindi,MOSHI VIJIJINI
Lindi,MUFINDI KASKAZINI
Lindi,MUFINDI KUSINI
Lindi,MUSOMA MJINI
Lindi,SONGEA MJINI
Manyara,NGARA
Mara,KARAGWE
Mara,KARATU
Mara,KISARAWE
Mara,MAFIA
Mara,MAGU
Mara,MAKETE
Mara,MASASI
Mara,MASWA
Mara,MBARALI
Mara,NYAMAGANA
Mara,RAHA LEO
Mbeya,BUKENE
Mbeya,BUMBULI
Mbeya,BUSEGA
Mbeya,CHAMBANI
Mbeya,CHUMBUNI
Mbeya,IRAMBA MAGHARIBI
Mbeya,JANG'OMBE
Mbeya,KIEMBESAMAKI
Mbeya,MBEYA MJINI
Mbeya,MBEYA VIJIJINI
Mbeya,MBULU
Mbeya,MEATU
Mbeya,MPENDAE
Mbeya,MTAMBILE
Mbeya,MTAMBWE
Mbeya,MUHAMBWE
Mbeya,SAME MAGHARIBI
Mbeya,SUMVE
Mbeya,TEMEKE
Mbeya,TUMBATU
Mbeya,TUMBE
Morogoro,MAGOGONI
Morogoro,MGOGONI
Morogoro,MOROGORO KUSINI
Morogoro,MOROGORO KUSINI MASHARIKI
Morogoro,MOROGORO MJINI
Morogoro,MVOMERO
Mtwara,MATEMWE
Mtwara,MTAMA
Mtwara,MTERA
