ADM1,Constituency
Cherkasy,Bila Tserkva
Cherkasy,Bychach
Cherkasy,Cherkasu
Cherkasy,Ohturka
Cherkasy,Starokostyantuniv
Cherkasy,Zhmerunka
Chernihiv,Berduchiv
Chernihiv,Berehove
Chernihiv,Chernihiv
Chernihiv,Chydniv
Chernihiv,Chyhyiv
Chernihiv,Derhachi
Chernihiv,Horohiv
Chernihiv,Kerch
Chernihiv,Nizhun
Chernivtsi,Alchevsk
Chernivtsi,Chernivtsi
Chernivtsi,Dynaivtsi
Dnipropetrovs'k,BilhorodDnistrovskiy
Dnipropetrovs'k,Dniprodzerzhunsk
Dnipropetrovs'k,Dnipropetrovsk
Dnipropetrovs'k,Dniprovska
Dnipropetrovs'k,Kotovsk
Dnipropetrovs'k,Krasnoperekopsk
Dnipropetrovs'k,Murhorod
Dnipropetrovs'k,Nahimovska
Dnipropetrovs'k,Pokrovske
Dnipropetrovs'k,Sverdlovsk
Donets'k,Donetsk
Donets'k,Kozelets
Donets'k,Severodonetsk
Donets'k,Voznesensk
Ivano-Frankivs'k,Artemivsk
Ivano-Frankivs'k,Berdyansk
Ivano-Frankivs'k,Bysk
Ivano-Frankivs'k,Irshava
Ivano-Frankivs'k,Ivanivka
Ivano-Frankivs'k,IvanoFrankivsk
Ivano-Frankivs'k,Nova Kahovka
Ivano-Frankivs'k,Smila
Ivano-Frankivs'k,Stahanov
Kharkiv,Harkiv
Kharkiv,Harkivska
Kharkiv,Hartsuzk
Kharkiv,Horodok
Kharkiv,Karlivka
Kharkiv,Kramatorsk
Kharkiv,Krasnohvardiyskiy
Kherson,Herson
Kherson,Hlobune
Kherson,Hotun
Kherson,Konotop
Kherson,Korostenn
Kherson,Romnu
Khmel'nyts'kyy,Hmelnitskiy
Khmel'nyts'kyy,Kremenchyk
Khmel'nyts'kyy,Kremenets
Khmel'nyts'kyy,Kypyansk
Khmel'nyts'kyy,Lytsk
Khmel'nyts'kyy,Malin
Kiev,Balakliya
Kiev,Chortkiv
Kiev,Ivankiv
Kiev,Kiev
Kiev,Kruvuy Rih
Kiev,Manevuchi
Kiev,Novomoskovsk
Kiev,Ordzhonikidze
Kiev,Starobesheve
Kiev,Starokyivska
Kiev,Vasulkiv
Kiev,Yenakieve
Kiev,Zhovkva
Kiev City,Kiliya
Kirovohrad,Bolhrad
Kirovohrad,Brovaru
Kirovohrad,Drohobuch
Kirovohrad,Kahovka
Kirovohrad,Kirovohrad
Kirovohrad,Pavlohrad
Kirovohrad,Sharhorod
L'viv,Bilyaivka
L'viv,Holovanivsk
L'viv,Kalunivka
L'viv,Lviv
L'viv,Mihaulivka
L'viv,Vasilivka
L'viv,Zhovti Vodu
Luhans'k,Bashtanka
Luhans'k,Haharinska
Luhans'k,Haluch
Luhans'k,Kalush
Luhans'k,Leninhradska
Luhans'k,Lusuchansk
Luhans'k,Lyhansk
Luhans'k,Slovyansk
Luhans'k,StanuchnoLyhanske
Luhans'k,Tyllchun
Mykolayiv,Hlyhiv
Mykolayiv,Kolomiya
Mykolayiv,Kovell
Mykolayiv,Makiyivka
Mykolayiv,Mariyupol
Mykolayiv,Mikolaiv
Mykolayiv,Mykacheve
Mykolayiv,Mykolayiv
Mykolayiv,Tyrka
Mykolayiv,Yalta
Odessa,Horodushche
Odessa,Hoshcha
Odessa,Moskokvska
Odessa,Odessa
Odessa,Oleksandria
Odessa,Zolotonosha
Poltava,Kostyantunivka
Poltava,Lozova
Poltava,Polohu
Poltava,Poltava
Poltava,Slavyta
Rivne,Horlivku
Rivne,Marinka
Rivne,Muronivka
Rivne,Novoykrainka
Rivne,Rivne
Rivne,Snizhne
Rivne,Zhovtneva
Sevastopol,Melitopol
Sevastopol,Simferopol
Sevastopol,Svatove
Sevastopol,Yevpatoria
Sumy,Antratsut
Sumy,Fedosiya
Sumy,Krasnuy Lych
Sumy,Prulyku
Sumy,Seludove
Sumy,Struy
Sumy,Symu
Sumy,Znamyanka
Ternopil',Bilopillya
Ternopil',Borispil
Ternopil',Dobropillya
Ternopil',KamyanetsPodilskiy
Ternopil',Kominternivske
Ternopil',Kruzhopill
Ternopil',Nikopoll
Ternopil',Rosdilna
Ternopil',Terebovlya
Ternopil',Ternopil
Transcarpathia,Sarnu
Transcarpathia,Tallne
Vinnytsya,Dybrovutsya
Vinnytsya,Illintsi
Vinnytsya,Kitsmann
Vinnytsya,Lohvutsya
Vinnytsya,Minska
Vinnytsya,Nadvirna
Vinnytsya,Novoselitsya
Vinnytsya,Sosnutsya
Vinnytsya,Vatytinska
Vinnytsya,Vinnitsya
Volyn,Doluna
Volyn,Dybno
Volyn,Lybnu
Volyn,Novohrad-Volunskuy
Volyn,Sokal
Volyn,Solone
Volyn,Valku
Volyn,Volnovaha
Volyn,Volochusk
Volyn,Volodarka
Volyn,VolodumurVolunskiy
Volyn,Ymann
Zaporizhzhya,Derazhnya
Zaporizhzhya,Zaliznucnha
Zaporizhzhya,Zaporizhya
Zhytomyr,Dzhankoy
Zhytomyr,Hyst
Zhytomyr,Yuzhnoykrayinsk
Zhytomyr,Yzhhorod
Zhytomyr,Zhutomer
