ADM1,Constituency
Alabama,Alabama 1
Alabama,Alabama 2
Alabama,Alabama 3
Alabama,Alabama 4
Alabama,Alabama 5
Alabama,Alabama 6
Alabama,Alabama 7
Alabama,alabama
Alabama,alabama 1
Alabama,alabama 10
Alabama,alabama 2
Alabama,alabama 3
Alabama,alabama 4
Alabama,alabama 5
Alabama,alabama 6
Alabama,alabama 7
Alabama,alabama 8
Alabama,alabama 9
Alaska,Alaska
Alaska,alaska
Alaska,alaska 1
Arizona,Arizona 1
Arizona,Arizona 2
Arizona,Arizona 3
Arizona,Arizona 4
Arizona,Arizona 5
Arizona,Arizona 6
Arizona,Arizona 7
Arizona,Arizona 8
Arizona,arizona
Arizona,arizona 1
Arizona,arizona 2
Arizona,arizona 3
Arizona,arizona 4
Arizona,arizona 5
Arizona,arizona 6
Arizona,arizona 7
Arizona,arizona 8
Arizona,arizona 9
Arkansas,Arkansas 1
Arkansas,Arkansas 2
Arkansas,Arkansas 3
Arkansas,Arkansas 4
Arkansas,arkansas
Arkansas,arkansas 1
Arkansas,arkansas 2
Arkansas,arkansas 3
Arkansas,arkansas 4
Arkansas,arkansas 5
Arkansas,arkansas 6
Arkansas,arkansas 7
California,California 1
California,California 10
California,California 11
California,California 12
California,California 13
California,California 14
California,California 15
California,California 16
California,California 17
California,California 18
California,California 19
California,California 2
California,California 20
California,California 21
California,California 22
California,California 23
California,California 24
California,California 25
California,California 26
California,California 27
California,California 28
California,California 29
California,California 3
California,California 30
California,California 31
California,California 32
California,California 33
California,California 34
California,California 35
California,California 36
California,California 37
California,California 38
California,California 39
California,California 4
California,California 40
California,California 41
California,California 42
California,California 43
California,California 44
California,California 45
California,California 46
California,California 47
California,California 48
California,California 49
California,California 5
California,California 50
California,California 51
California,California 52
California,California 53
California,California 6
California,California 7
California,California 8
California,California 9
California,california
California,california 1
California,california 10
California,california 11
California,california 12
California,california 13
California,california 14
California,california 15
California,california 16
California,california 17
California,california 18
California,california 19
California,california 2
California,california 20
California,california 21
California,california 22
California,california 23
California,california 24
California,california 25
California,california 26
California,california 27
California,california 28
California,california 29
California,california 3
California,california 30
California,california 31
California,california 32
California,california 33
California,california 34
California,california 35
California,california 36
California,california 37
California,california 38
California,california 39
California,california 4
California,california 40
California,california 41
California,california 42
California,california 43
California,california 44
California,california 45
California,california 46
California,california 47
California,california 48
California,california 49
California,california 5
California,california 50
California,california 51
California,california 52
California,california 53
California,california 6
California,california 7
California,california 8
California,california 9
Colorado,Colorado 1
Colorado,Colorado 2
Colorado,Colorado 3
Colorado,Colorado 4
Colorado,Colorado 5
Colorado,Colorado 6
Colorado,Colorado 7
Colorado,colorado
Colorado,colorado 1
Colorado,colorado 2
Colorado,colorado 3
Colorado,colorado 4
Colorado,colorado 5
Colorado,colorado 6
Colorado,colorado 7
Connecticut,Connecticut 1
Connecticut,Connecticut 2
Connecticut,Connecticut 3
Connecticut,Connecticut 4
Connecticut,Connecticut 5
Connecticut,connecticut
Connecticut,connecticut 1
Connecticut,connecticut 2
Connecticut,connecticut 3
Connecticut,connecticut 4
Connecticut,connecticut 5
Connecticut,connecticut 6
Delaware,Delaware
Delaware,delaware
Delaware,delaware 1
Florida,Florida 1
Florida,Florida 10
Florida,Florida 11
Florida,Florida 12
Florida,Florida 13
Florida,Florida 14
Florida,Florida 15
Florida,Florida 16
Florida,Florida 17
Florida,Florida 18
Florida,Florida 19
Florida,Florida 2
Florida,Florida 20
Florida,Florida 21
Florida,Florida 22
Florida,Florida 23
Florida,Florida 24
Florida,Florida 25
Florida,Florida 3
Florida,Florida 4
Florida,Florida 5
Florida,Florida 6
Florida,Florida 7
Florida,Florida 8
Florida,Florida 9
Florida,florida
Florida,florida 1
Florida,florida 10
Florida,florida 11
Florida,florida 12
Florida,florida 13
Florida,florida 14
Florida,florida 15
Florida,florida 16
Florida,florida 17
Florida,florida 18
Florida,florida 19
Florida,florida 2
Florida,florida 20
Florida,florida 21
Florida,florida 22
Florida,florida 23
Florida,florida 24
Florida,florida 25
Florida,florida 26
Florida,florida 27
Florida,florida 3
Florida,florida 4
Florida,florida 5
Florida,florida 6
Florida,florida 7
Florida,florida 8
Florida,florida 9
Georgia,Georgia 1
Georgia,Georgia 10
Georgia,Georgia 11
Georgia,Georgia 12
Georgia,Georgia 13
Georgia,Georgia 2
Georgia,Georgia 3
Georgia,Georgia 4
Georgia,Georgia 5
Georgia,Georgia 6
Georgia,Georgia 7
Georgia,Georgia 8
Georgia,Georgia 9
Georgia,georgia
Georgia,georgia 1
Georgia,georgia 10
Georgia,georgia 11
Georgia,georgia 12
Georgia,georgia 13
Georgia,georgia 14
Georgia,georgia 2
Georgia,georgia 3
Georgia,georgia 4
Georgia,georgia 5
Georgia,georgia 6
Georgia,georgia 7
Georgia,georgia 8
Georgia,georgia 9
Hawaii,Hawaii 1
Hawaii,Hawaii 2
Hawaii,hawaii
Hawaii,hawaii 1
Hawaii,hawaii 2
Idaho,Idaho 1
Idaho,Idaho 2
Idaho,idaho
Idaho,idaho 1
Idaho,idaho 2
Illinois,Illinois 1
Illinois,Illinois 10
Illinois,Illinois 11
Illinois,Illinois 12
Illinois,Illinois 13
Illinois,Illinois 14
Illinois,Illinois 15
Illinois,Illinois 16
Illinois,Illinois 17
Illinois,Illinois 18
Illinois,Illinois 19
Illinois,Illinois 2
Illinois,Illinois 3
Illinois,Illinois 4
Illinois,Illinois 5
Illinois,Illinois 6
Illinois,Illinois 7
Illinois,Illinois 8
Illinois,Illinois 9
Illinois,illinois
Illinois,illinois 1
Illinois,illinois 10
Illinois,illinois 11
Illinois,illinois 12
Illinois,illinois 13
Illinois,illinois 14
Illinois,illinois 15
Illinois,illinois 16
Illinois,illinois 17
Illinois,illinois 18
Illinois,illinois 19
Illinois,illinois 2
Illinois,illinois 20
Illinois,illinois 21
Illinois,illinois 22
Illinois,illinois 23
Illinois,illinois 24
Illinois,illinois 25
Illinois,illinois 26
Illinois,illinois 3
Illinois,illinois 4
Illinois,illinois 5
Illinois,illinois 6
Illinois,illinois 7
Illinois,illinois 8
Illinois,illinois 9
Indiana,Indiana 1
Indiana,Indiana 2
Indiana,Indiana 3
Indiana,Indiana 4
Indiana,Indiana 5
Indiana,Indiana 6
Indiana,Indiana 7
Indiana,Indiana 8
Indiana,Indiana 9
Indiana,indiana
Indiana,indiana 1
Indiana,indiana 10
Indiana,indiana 11
Indiana,indiana 12
Indiana,indiana 13
Indiana,indiana 2
Indiana,indiana 3
Indiana,indiana 4
Indiana,indiana 5
Indiana,indiana 6
Indiana,indiana 7
Indiana,indiana 8
Indiana,indiana 9
Iowa,Iowa 1
Iowa,Iowa 2
Iowa,Iowa 3
Iowa,Iowa 4
Iowa,Iowa 5
Iowa,iowa
Iowa,iowa 1
Iowa,iowa 10
Iowa,iowa 11
Iowa,iowa 2
Iowa,iowa 3
Iowa,iowa 4
Iowa,iowa 5
Iowa,iowa 6
Iowa,iowa 7
Iowa,iowa 8
Iowa,iowa 9
Kansas,Kansas 1
Kansas,Kansas 2
Kansas,Kansas 3
Kansas,Kansas 4
Kansas,kansas
Kansas,kansas 1
Kansas,kansas 2
Kansas,kansas 3
Kansas,kansas 4
Kansas,kansas 5
Kansas,kansas 6
Kansas,kansas 7
Kansas,kansas 8
Kentucky,Kentucky 1
Kentucky,Kentucky 2
Kentucky,Kentucky 3
Kentucky,Kentucky 4
Kentucky,Kentucky 5
Kentucky,Kentucky 6
Kentucky,kentucky
Kentucky,kentucky 1
Kentucky,kentucky 10
Kentucky,kentucky 11
Kentucky,kentucky 12
Kentucky,kentucky 13
Kentucky,kentucky 2
Kentucky,kentucky 3
Kentucky,kentucky 4
Kentucky,kentucky 5
Kentucky,kentucky 6
Kentucky,kentucky 7
Kentucky,kentucky 8
Kentucky,kentucky 9
Louisiana,Louisiana 1
Louisiana,Louisiana 2
Louisiana,Louisiana 3
Louisiana,Louisiana 4
Louisiana,Louisiana 5
Louisiana,Louisiana 6
Louisiana,Louisiana 7
Louisiana,louisiana
Louisiana,louisiana 1
Louisiana,louisiana 2
Louisiana,louisiana 3
Louisiana,louisiana 4
Louisiana,louisiana 5
Louisiana,louisiana 6
Louisiana,louisiana 7
Louisiana,louisiana 8
Maine,Maine 1
Maine,Maine 2
Maine,maine
Maine,maine 1
Maine,maine 2
Maine,maine 3
Maine,maine 4
Maine,maine 5
Maine,maine 6
Maine,maine 7
Maine,maine 8
Maryland,Maryland 1
Maryland,Maryland 2
Maryland,Maryland 3
Maryland,Maryland 4
Maryland,Maryland 5
Maryland,Maryland 6
Maryland,Maryland 7
Maryland,Maryland 8
Maryland,maryland
Maryland,maryland 1
Maryland,maryland 2
Maryland,maryland 3
Maryland,maryland 4
Maryland,maryland 5
Maryland,maryland 6
Maryland,maryland 7
Maryland,maryland 8
Massachusetts,Massachusetts 1
Massachusetts,Massachusetts 10
Massachusetts,Massachusetts 2
Massachusetts,Massachusetts 3
Massachusetts,Massachusetts 4
Massachusetts,Massachusetts 5
Massachusetts,Massachusetts 6
Massachusetts,Massachusetts 7
Massachusetts,Massachusetts 8
Massachusetts,Massachusetts 9
Massachusetts,massachusetts  1
Massachusetts,massachusetts  10
Massachusetts,massachusetts  2
Massachusetts,massachusetts  3
Massachusetts,massachusetts  4
Massachusetts,massachusetts  5
Massachusetts,massachusetts  6
Massachusetts,massachusetts  7
Massachusetts,massachusetts  8
