name,ideology
Democrat,us democrat
fusion,other
progressive,social democrat
readjuster,social democrat
union (civil war),regionalist
abolition,liberal democrat
modern republican,us republican
democrat-farmer-labor,us democrat
union republican,regionalist
alliance,social democrat
state's rights democrat,far right
anti-mason,conservative
state rights democrat,far right
state rights,far right
anti-broderick democrat,far right
federalist,conservative
democratic republican,liberal democrat
state rights whig,far right
populist,far right
national republican,liberal democrat
unknown,other
free soil,liberal democrat
anti-lecompton democrat,liberal democrat
redemption democrat,conservative
jacksonian,far right
opposition,other
republican,us republican
reform,regionalist
others,other
anti-bank,far right
constitutionalist,conservative
independent,other
people's,other
Republican,us republican
southern rights democrat,far right
independent democrat,us democrat
law and order whig,liberal democrat
whig,liberal democrat
Democratic-Farmer-Labor,us democrat
silver,other
liberal republican,liberal democrat
conservative (old),us republican
union,regionalist
national union,regionalist
silver republican,other
brindle-tail republican,other
adams republican,other
farmer-labor,other
democrat,us democrat
american (know nothing),other
democrat - non-partisan league,us democrat
