ADM1,Constituency
Grenadines,Central Windward
Grenadines,East Kingstown
Grenadines,East Kingstown (EK)
Grenadines,Grenadines
Grenadines,Northern Grenadines (NG)
Grenadines,Southern Grenadines (SG)
Saint Andrew,Central Leeward (CL)
Saint Andrew,Kingstown
Saint Andrew,North Windward (NW)
Saint Andrew,South Windward (SW)
Saint Andrew,West Kingstown
Saint Andrew,West Kingstown (WK)
Saint David,Central Leeward
Saint David,North Central Windward
Saint David,North Central Windward (NC)
Saint David,North Leeward
Saint David,North Leeward (NL)
Saint David,North Windward
Saint David,South Central Windward
Saint David,South Central Windward (SC)
Saint David,South Leeward
Saint David,South Leeward (SL)
Saint David,South Windward
Saint George,East St. George
Saint George,East St. George (EG)
Saint George,St. George
Saint George,West St. George
Saint George,West St. George (WG)
Saint Patrick,Central Kingstown (CK)
Saint Patrick,Marriagua
Saint Patrick,Marriagua (MQ)
Saint Patrick,Marriaqua
