ADM1,Constituency
A'ana,Aana Alofi No. 1
A'ana,Aana Alofi No. 2
A'ana,Aana Alofi No. 3
A'ana,Anoamaa Sisifo
Aiga-i-le-Tai,Aiga I le Tai
Aiga-i-le-Tai,Aleipata-Itupa I Lalo
Aiga-i-le-Tai,Aleipata-Itupa I Luga
Aiga-i-le-Tai,Lepa
Atua,Alataua Sisifo
Atua,Faleata Sasae
Atua,Faleata Sisifo
Atua,Falelatai & Samatau
Atua,Safata
Atua,Vaimauga Sasae
Atua,Vaimauga Sisifo
Fa'asaleleaga,Faasaleleaga No. 1
Fa'asaleleaga,Faasaleleaga No. 2
Fa'asaleleaga,Faasaleleaga No. 3
Fa'asaleleaga,Faasaleleaga No. 4
Fa'asaleleaga,Faleseela & Lefaga
Fa'asaleleaga,Sagaga-le-Falefa
Fa'asaleleaga,Salega
Gaga'emauga,Gagaemauga No. 1
Gaga'emauga,Gagaemauga No. 2
Gaga'emauga,Gagaemauga No. 3
Gaga'emauga,Sagaga-le-Usoga
Gaga'ifomauga,Gagaifomauga No. 1
Gaga'ifomauga,Gagaifomauga No. 2
Gaga'ifomauga,Gagaifomauga No. 3
Palauli,Falealili
Palauli,Falealupo
Palauli,Palauli Sasae
Palauli,Palauli Sisifo
Palauli,Palauli le Falefa
Satupa'itea,Satupaitea
Tuamasaga,Anoamaa Sasae
Tuamasaga,Lotofaga
Tuamasaga,Siumu
Va'a-o-Fonoti,Vaa o Fonoti
Vaisigano,Vaisigano No. 1
Vaisigano,Vaisigano No. 2
