ADM1,Constituency
Eastern Cape,AFIGYA-SEKYERE EAST
Eastern Cape,AMENFI EAST
Eastern Cape,ASAWASE
Eastern Cape,ASHAIMAN
Eastern Cape,ASOKWA
Eastern Cape,AVENOR-AVE
Eastern Cape,AYAWASO EAST
Eastern Cape,CAPE COAST
Eastern Cape,KEEA
Eastern Cape,OFOASE/AYIREBI
Eastern Cape,UPPER DENKYIRA EAST
Gauteng,ADENTA
Gauteng,AKIM ABUAKWA SOUTH
Gauteng,AKROPONG
Gauteng,ASUTIFI SOUTH
Gauteng,AWUTU-SENYA
Gauteng,BIAKOYE
Gauteng,BOLGATANGA
Gauteng,BUEM
Gauteng,BUILSA SOUTH
Gauteng,BUNKPURUGU
Gauteng,CHIANA-PAGA
Gauteng,DAMONGO/DABOYA
Gauteng,EFFUTU
Gauteng,GARU/TEMPANE
Gauteng,GUSHEIEGU
Gauteng,KPONE-KATAMANSU
Gauteng,LAMBUSSIE
Gauteng,NANTON
Gauteng,SAVELUGU
Gauteng,TALENSI
Gauteng,YAGABA/KUBORI
KwaZulu-Natal,ABURI/NSAWAM
KwaZulu-Natal,AKWATIA
KwaZulu-Natal,ATWIMA NWABIAGYA
KwaZulu-Natal,AYAWASO CENTRAL
KwaZulu-Natal,BAWKU CENTRAL
KwaZulu-Natal,BEKWAI
KwaZulu-Natal,ESIKADU/KETAN
KwaZulu-Natal,HO CENTRAL
KwaZulu-Natal,KWADASO
KwaZulu-Natal,NABDAM
KwaZulu-Natal,NKAWKAW
KwaZulu-Natal,NSUTA/KWAMANG
KwaZulu-Natal,OLD TAFO
KwaZulu-Natal,SALWA-TUNA-KALBA
KwaZulu-Natal,SISSALA EAST
KwaZulu-Natal,TAMALE CENTRAL
KwaZulu-Natal,WA CENTRAL
KwaZulu-Natal,YAPEI/KUSAWGU
KwaZulu-Natal,ZABZUGU/TATALE
KwaZulu-Natal,ZEBILLA
Limpopo,AKIM ODA
Limpopo,ATWIMA MPONUA
Limpopo,JUABOSO
Limpopo,KINTAMPO SOUTH
Limpopo,MPOHOR WASSA
Limpopo,NINGO-PRAMPRAM
Limpopo,ODODODIODOO
Limpopo,SHAI OSUDOKU
Mpumalanga,ABOKOBI-MADINA
Mpumalanga,ADANSI ASOKWA
Mpumalanga,AFRAM PLAINS SOUTH
Mpumalanga,AJUMAKO/ENYAN/ESIAM
Mpumalanga,AKAN
Mpumalanga,ASUOGYAMAN
Mpumalanga,BIMBILA
Mpumalanga,GAMBAGA
Mpumalanga,KARAGA
Mpumalanga,KPANDAI
Mpumalanga,KUMAWU
Mpumalanga,MAMPONG
Mpumalanga,MANHYIA
Mpumalanga,PRU
Mpumalanga,PUSIGA
Mpumalanga,SALAGA
Mpumalanga,SUAMAN
Mpumalanga,SUHUM
Mpumalanga,TROBU-AMASAMAN
North West,ABLEKUMA NORTH
North West,AFRAM PLAINS NORTH
North West,AGONA WEST
North West,AHAFO ANO NORTH
North West,AHAFO ANO SOUTH
North West,AHANTA WEST
North West,ASANTE AKIM NORTH
North West,ASSIN NORTH
North West,ASUNAFO NORTH
North West,ASUTIFI NORTH
North West,BOLE
North West,BOSOMTWE
North West,DORMAA WEST
North West,EFFIA KWESIMINTIM
North West,GOMOA EAST
North West,GOMOA WEST
North West,HO WEST
North West,HOHOE SOUTH
North West,JAMAN NORTH
North West,KETU NORTH
North West,KINTAMPO NORTH
North West,KRACHI EAST
North West,KRACHI WEST
North West,MFANTSEMAN EAST
North West,MFANTSEMAN WEST
North West,NADOWLI WEST
North West,NAVRONGO CENTRAL
North West,NEW JUABEN NORTH
North West,NKORANZA NORTH
North West,NKORANZA SOUTH
North West,NKWANTA NORTH
North West,NORTH TONGU
North West,OFFINSO-SOUTH
North West,OKAIKWEI NORTH
North West,SEFWI AKONTOMBRA
North West,SISSALA WEST
North West,SOUTH TONGU
North West,SUNYANI EAST
North West,SUNYANI WEST
North West,TANO SOUTH
North West,TECHIMAN NORTH
North West,TECHIMAN SOUTH
North West,TEMA EAST
North West,UPPER WEST AKIM
North West,WEIJA
Northern Cape,ABLEKUMA SOUTH
Northern Cape,BIA
Northern Cape,BONGO
Northern Cape,CHEREPONI
Northern Cape,DADE KOTOPON
Northern Cape,FOMENA
Northern Cape,KADE
Northern Cape,KETU SOUTH
Northern Cape,KLOTTEY KORLE
Northern Cape,NEW JUABEN SOUTH
Northern Cape,OKERE
Northern Cape,TAKORADI
Northern Cape,YENDI
Orange Free State,ABETIFI
Orange Free State,ANLO
Orange Free State,BEREKUM
Orange Free State,BINDURI
Orange Free State,BOSOME-FREHO
Orange Free State,FANTEAKWA
Orange Free State,MION
Orange Free State,NEW EDUBIASE
Orange Free State,OBUASI
Orange Free State,OFORIKROM
Orange Free State,SUAME
Western Cape,AKIM SWEDRU
Western Cape,AMANSIE-WEST
Western Cape,EJISU JUABEN
Western Cape,JIRAPA
Western Cape,KETA
Western Cape,KWABRE WEST
Western Cape,PRESTEA/HUNI-VALLEY
Western Cape,SEFWI WIAWSO
Western Cape,SEKONDI
Western Cape,SENE
Western Cape,TAIN
Western Cape,WA EAST
