ADM1,Constituency
Central,balaka central east
Central,blantyre bangwe
Central,blantyre city central
Central,chikwawa central
Central,chipata central
Central,chiradzulu central
Central,chitipa central
Central,choma central
Central,dedza central
Central,dedza central-east
Central,dowa central
Central,e        solwezi central
Central,feira
Central,kabwe central
Central,kalabo central
Central,kalomo central
Central,kantanshi
Central,kaoma central
Central,karonga central
Central,kasama central
Central,kasungu central
Central,lilongwe central
Central,lilongwe city central
Central,lusaka central
Central,machinga central
Central,machinga central east
Central,mangochi central
Central,mansa central
Central,mazabuka central
Central,mongu central
Central,monze central
Central,mpika central
Central,mulanje central
Central,mwanza central
Central,mzimba central
Central,nalolo
Central,ndola central
Central,nkhata bay central
Central,nkhata-bay central
Central,nkhotakota central
Central,nsanje central
Central,ntcheu central
Central,nyimba
Central,petauke
Central,phalombe central
Central,rumphi central
Central,salima central
Central,senanga central
Central,serenje central
Central,sesheke central
Central,thyolo central
Central,zomba central
Central,zomba ntonya
Copperbelt,chembe
Copperbelt,keembe
Copperbelt,pemba
Copperbelt,sinjembela
Eastern,blantyre city east
Eastern,blantyre rural east
Eastern,chasefu
Eastern,chikwawa east
Eastern,chiradzulu east
Eastern,chitipa east
Eastern,chitipa   east
Eastern,dedza east
Eastern,dedza west
Eastern,dowa east
Eastern,e        kabompo east
Eastern,e        kasempa
Eastern,e        mwinilunga east
Eastern,e        zambezi east
Eastern,isoka east
Eastern,karonga nyungwe
Eastern,kasenengwa
Eastern,kasungu east
Eastern,lilongwe east
Eastern,livingstone
Eastern,lubansenshi
Eastern,magoye
Eastern,masaiti
Eastern,matero
Eastern,mulanje pasani
Eastern,mwandi
Eastern,mwanza east
Eastern,mzimba east
Eastern,mzimba solora
Eastern,nkhata bay east
Eastern,ntchisi east
Eastern,pambashe
Eastern,phalombe east
Eastern,rumphi east
Eastern,thyolo east
Eastern,zomba nsondole
Eastern,zomba thondwe
Luapula,bangweulu
Luapula,blantyre kabula
Luapula,bwanamkubwa
Luapula,dowa ngala
Luapula,e        chavuma
Luapula,e        mufumbwe
Luapula,kafulafuta
Luapula,kaputa
Luapula,katombola
Luapula,katuba
Luapula,luampa
Luapula,luapula
Luapula,lukulu east
Luapula,lukulu west
Luapula,malambo
Luapula,malole
Luapula,mambilima
Luapula,mandevu
Luapula,mapatizya
Luapula,mbabala
Luapula,mbala
Luapula,mufulira
Luapula,mulanje bale
Luapula,mulanje limbuli
Luapula,namwala
Luapula,nsanje lalanje
Luapula,zomba mpyupyu
Lusaka,bahati
Lusaka,balaka west
Lusaka,blantyre malabada
Lusaka,kabwata
Lusaka,kafue
Lusaka,kalulushi
Lusaka,kankoyo
Lusaka,kanyama
Lusaka,kawambwa
Lusaka,likoma islands
Lusaka,liuwa
Lusaka,luangeni
Lusaka,luanshya
Lusaka,luena
Lusaka,lufwanyama
Lusaka,lukashya
Lusaka,lumezi
Lusaka,lundazi
Lusaka,lupososhi
Lusaka,mkaika
Lusaka,msanzala
Lusaka,nalikwanda
Lusaka,nkana
Lusaka,rufunsa
Lusaka,wusakile
Lusaka,zomba domasi
Lusaka,zomba likangala
Lusaka,zomba lisanjala
Lusaka,zomba malosa
Muchinga,bwacha
Muchinga,chadiza
Muchinga,chawama
Muchinga,chiengi
