ADM1,Constituency
Bulawayo,Awdal
Bulawayo,BAGAMOYO
Bulawayo,BUBUBU
Bulawayo,BUCHOSA
Bulawayo,BUKOMBE
Bulawayo,BUMBULI
Bulawayo,BUSANDA
Bulawayo,BUYUNGU
Bulawayo,Bubi
Bulawayo,Budiriro
Bulawayo,Bulawayo Central
Bulawayo,Bulawayo East
Bulawayo,Bulawayo South
Bulawayo,Bulilima West
Bulawayo,Gokwe Kabuyuni
Bulawayo,Gokwe Nembudziya
Bulawayo,KALAMBO
Bulawayo,KIBAKWE
Bulawayo,Kambuzuma
Bulawayo,Lobengula
Bulawayo,MBULU
Bulawayo,MPWAPWA
Bulawayo,RUANGWA
Bulawayo,SUMBAWANGA MJINI
Bulawayo,UBUNGO
Harare,ARUMERU MAGHARIBI
Harare,ARUMERU MASHARIKI
Harare,BARIADI MAGHARIBI
Harare,BARIADI MASHARIKI
Harare,BIHARAMULO MAGHARIBI
Harare,CHAKECHAKE
Harare,CHWAKA
Harare,Chakari
Harare,Chirumanzu
Harare,Chirumanzu Zibagwe
Harare,Chiwundura
Harare,Dangamvura Chikanga
Harare,Dzivarasekwa
Harare,Gokwe Chireya
Harare,Gokwe Sesame
Harare,HAI
Harare,HANANG
Harare,Harare Central
Harare,Harare East
Harare,Harare North
Harare,Harare South
Harare,Harare West
Harare,Hargeisa
Harare,IRAMBA MAGHARIBI
Harare,IRAMBA MASHARIKI
Harare,KAHAMA
Harare,KARAGWE
Harare,KARATU
Harare,KASULU MAGHARIBI
Harare,KAWE
Harare,KISARAWE
Harare,KWAMTIPURA
Harare,Kariba
Harare,MANYONI MAGHARIBI
Harare,MANYONI MASHARIKI
Harare,MBINGA MAGHARIBI
Harare,MBINGA MASHARIKI
Harare,MBOZI MAGHARIBI
Harare,MBOZI MASHARIKI
Harare,MOROGORO KUSINI MASHARIKI
Harare,MPANDA MAGHARIBI
Harare,MTWARA MJINI
Harare,MTWARA VIJIJINI
Harare,MWANAKWEREKWE
Harare,Mabvuku/Tafara
