Country;Year;Month;SubNational;Constituency;Magnitude;Party;Turnout;Votes;Share
Jamaica;3881944;12;;kingston western;1;jamaica labour party;;9663;0.731325209140778
Jamaica;3881944;12;;st. james north western;1;jamaica labour party;;5519;0.521891236305237
Jamaica;3881944;12;;st. mary eastern;1;people's national party;;5742;0.393854171037674
Jamaica;3881944;12;;westmoreland eastern;1;jamaica labour party;;2998;0.262315154075623
Jamaica;3881944;12;;hanover western;1;others;;1196;0.143629163503647
Jamaica;3881944;12;;trelawny northern;1;independent;;1848;0.335816830396652
Jamaica;3881944;12;;westmoreland eastern;1;independent;;1194;0.104471080005169
Jamaica;3881944;12;;st. catherine western;1;independent;;1690;0.196397438645363
Jamaica;3881944;12;;st. ann eastern;1;independent;;1364;0.0944336727261543
Jamaica;3881944;12;;st. ann western;1;people's national party;;3391;0.307573705911636
Jamaica;3881944;12;;manchester northern;1;independent;;2227;0.210730507969856
Jamaica;3881944;12;;clarendon north eastern;1;independent;;1014;0.10747218132019
Jamaica;3881944;12;;portland western;1;independent;;251;0.0347452946007252
Jamaica;3881944;12;;st. andrew eastern;1;jamaica democratic party;;3135;0.231964483857155
Jamaica;3881944;12;;trelawny southern;1;independent;;497;0.0862547755241394
Jamaica;3881944;12;;clarendon north western;1;independent;;372;0.0320441052317619
Jamaica;3881944;12;;st. thomas western;1;jamaica labour party;;5990;0.576571345329285
Jamaica;3881944;12;;st. andrew central;1;jamaica democratic party;;1103;0.0732890367507935
Jamaica;3881944;12;;portland western;1;independent;;1727;0.239064231514931
Jamaica;3881944;12;;st. andrew western;1;jamaica democratic party;;2131;0.169167265295982
Jamaica;3881944;12;;st. james north western;1;others;;1683;0.159148931503296
Jamaica;3881944;12;;manchester southern;1;independent;;92;0.00910260248929262
Jamaica;3881944;12;;st. catherine western;1;jamaica democratic party;;1107;0.1286461353302
Jamaica;3881944;12;;st. andrew western;1;jamaica labour party;;6421;0.50972455739975
Jamaica;3881944;12;;st. andrew central;1;people's national party;;4645;0.308637887239456
Jamaica;3881944;12;;westmoreland eastern;1;independent;;3725;0.325925290584564
Jamaica;3881944;12;;kingston east & port royal;1;people's national party;;5417;0.468720257282257
Jamaica;3881944;12;;kingston east & port royal;1;others;;74;0.00640304572880268
Jamaica;3881944;12;;st. andrew western;1;independent;;333;0.0264348648488522
Jamaica;3881944;12;;st. elizabeth northern;1;jamaica labour party;;6219;0.486315310001373
Jamaica;3881944;12;;st. mary eastern;1;independent;;6454;0.442691534757614
Jamaica;3881944;12;;westmoreland eastern;1;independent;;1966;0.17201854288578
Jamaica;3881944;12;;st. james south eastern;1;independent;;2898;0.356940507888794
Jamaica;3881944;12;;clarendon north eastern;1;independent;;3612;0.382829874753952
Jamaica;3881944;12;;st. elizabeth northern;1;independent;;2355;0.184157028794289
Jamaica;3881944;12;;hanover western;1;independent;;1273;0.152876183390617
Jamaica;3881944;12;;st. james north western;1;independent;;806;0.076217494904995
Jamaica;3881944;12;;st. elizabeth southern;1;independent;;3500;0.281350493431091
Jamaica;3881944;12;;clarendon north western;1;independent;;2426;0.208975791931152
Jamaica;3881944;12;;kingston western;1;people's national party;;3550;0.268674790859222
Jamaica;3881944;12;;trelawny southern;1;independent;;1032;0.17910447716713
Jamaica;3881944;12;;portland eastern;1;independent;;7542;0.649668335914612
Jamaica;3881944;12;;manchester northern;1;people's national party;;6260;0.592354297637939
Jamaica;3881944;12;;manchester southern;1;people's national party;;4274;0.422875225543976
Jamaica;3881944;12;;st. andrew eastern;1;jamaica labour party;;5253;0.38867923617363
Jamaica;3881944;12;;clarendon southern;1;independent;;87;0.0075949365273118
Jamaica;3881944;12;;st. catherine south eastern;1;people's national party;;2702;0.262610554695129
Jamaica;3881944;12;;st. andrew eastern;1;people's national party;;4858;0.359452456235886
Jamaica;3881944;12;;hanover western;1;jamaica labour party;;3200;0.38429206609726
Jamaica;3881944;12;;portland western;1;independent;;295;0.0408361032605171
Jamaica;3881944;12;;kingston east & port royal;1;others;;431;0.0372934155166149
Jamaica;3881944;12;;westmoreland eastern;1;independent;;1124;0.0983463153243065
Jamaica;3881944;12;;st. elizabeth southern;1;independent;;1556;0.125080391764641
Jamaica;3881944;12;;st. thomas eastern;1;jamaica labour party;;8461;0.846015393733978
Jamaica;3881944;12;;kingston central;1;jamaica democratic party;;622;0.0445367321372032
Jamaica;3881944;12;;westmoreland eastern;1;independent;;422;0.0369236171245575
Jamaica;3881944;12;;clarendon southern;1;independent;;660;0.057616762816906
Jamaica;3881944;12;;portland western;1;independent;;412;0.0570321157574654
Jamaica;3881944;12;;st. mary western;1;people's national party;;2205;0.178441375494003
Jamaica;3881944;12;;st. andrew central;1;independent;;1002;0.0665780752897263
Jamaica;3881944;12;;hanover eastern;1;independent;;671;0.0943741202354431
Jamaica;3881944;12;;kingston east & port royal;1;jamaica labour party;;4352;0.37656831741333
Jamaica;3881944;12;;hanover western;1;independent;;118;0.0141707696020603
Jamaica;3881944;12;;st. thomas western;1;independent;;118;0.0113581670448184
Jamaica;3881944;12;;st. thomas eastern;1;independent;;836;0.083591639995575
Jamaica;3881944;12;;st. andrew western;1;people's national party;;3712;0.294673323631287
Jamaica;3881944;12;;kingston central;1;jamaica labour party;;8485;0.607546925544739
Jamaica;3881944;12;;clarendon north eastern;1;people's national party;;3115;0.330153673887253
Jamaica;3881944;12;;hanover eastern;1;independent;;148;0.0208157524466515
Jamaica;3881944;12;;st. catherine south eastern;1;independent;;207;0.0201185736805201
Jamaica;3881944;12;;st. mary western;1;jamaica labour party;;5728;0.463542938232422
Jamaica;3881944;12;;kingston central;1;independent;;272;0.0194758698344231
Jamaica;3881944;12;;st. thomas western;1;independent;;237;0.0228125900030136
Jamaica;3881944;12;;trelawny northern;1;independent;;619;0.112484097480774
Jamaica;3881944;12;;trelawny southern;1;independent;;1860;0.322804570198059
Jamaica;3881944;12;;st. catherine western;1;people's national party;;2761;0.320859968662262
Jamaica;3881944;12;;st. mary western;1;independent;;4424;0.358015686273575
Jamaica;3881944;12;;hanover western;1;independent;;2421;0.290740966796875
Jamaica;3881944;12;;st. catherine south eastern;1;jamaica labour party;;7380;0.717270851135254
Jamaica;3881944;12;;westmoreland western;1;jamaica labour party;;11664;0.791423559188843
Jamaica;3881944;12;;st. thomas western;1;people's national party;;4044;0.389257878065109
Jamaica;3881944;12;;clarendon north western;1;people's national party;;3622;0.311999320983887
Jamaica;3881944;12;;st. catherine north eastern;1;jamaica labour party;;4559;0.572882652282715
Jamaica;3881944;12;;st. ann eastern;1;jamaica democratic party;;1055;0.073040708899498
Jamaica;3881944;12;;st. catherine north eastern;1;people's national party;;3399;0.427117377519608
Jamaica;3881944;12;;st. ann western;1;jamaica labour party;;5807;0.526712000370026
Jamaica;3881944;12;;st. andrew eastern;1;independent;;269;0.0199038106948137
Jamaica;3881944;12;;hanover eastern;1;independent;;1478;0.207876235246658
Jamaica;3881944;12;;clarendon north western;1;independent;;2329;0.200620204210281
Jamaica;3881944;12;;st. james north western;1;independent;;62;0.00586288422346115
Jamaica;3881944;12;;clarendon southern;1;jamaica labour party;;5038;0.439807951450348
Jamaica;3881944;12;;trelawny southern;1;jamaica labour party;;2373;0.411836177110672
Jamaica;3881944;12;;kingston central;1;others;;116;0.00830588582903147
Jamaica;3881944;12;;st. ann western;1;independent;;1022;0.092698410153389
Jamaica;3881944;12;;st. mary eastern;1;jamaica labour party;;2383;0.163454279303551
