Country;Year;Month;SubNational;Constituency;Magnitude;Party;Turnout;Votes;Share
Australia;361901;3;western australia;fremantle;1;free trade party;0.311056733131409;2870;0.566633760929108
Australia;361901;3;new south wales;parramatta;1;protectionist party;0.745514392852783;3646;0.386884540319443
Australia;361901;3;new south wales;cowper;1;free trade party;0.674269616603851;2866;0.336384981870651
Australia;361901;3;victoria;moira;1;free trade party;0.508394718170166;2251;0.438449561595917
Australia;361901;3;new south wales;darling;1;protectionist party;0.570212781429291;1221;0.245970994234085
Australia;361901;3;south australia;south australia;1;free trade party;0.408229142427444;175813;0.0267219934612513
Australia;361901;3;queensland;oxley;1;australian labor party;0.578072845935822;3299;0.467810541391373
Australia;361901;3;south australia;south australia;1;protectionist party;0.408229142427444;116970;0.00900157354772091
Australia;361901;3;queensland;moreton;1;protectionist party;0.567164182662964;3544;0.0228247549384832
Australia;361901;3;western australia;coolgardie;1;australian labor party;0.394702225923538;3329;
Australia;361901;3;new south wales;illawarra;1;independent protectionist;0.763551890850067;689;0.0677482783794403
Australia;361901;3;new south wales;cowper;1;protectionist party;0.674269616603851;5654;0.280164331197739
Australia;361901;3;victoria;bendigo;1;protectionist party;;;
Australia;361901;3;new south wales;west sydney;1;protectionist party;0.634335994720459;2062;0.228577762842178
Australia;361901;3;victoria;melbourne ports;1;protectionist party;;;
Australia;361901;3;victoria;melbourne;1;australian labor party;0.624329447746277;3212;0.391850680112839
Australia;361901;3;new south wales;werriwa;1;free trade party;0.698893308639526;4025;0.518953084945679
Australia;361901;3;new south wales;richmond;1;independent;0.669683694839478;2942;0.446569532155991
Australia;361901;3;new south wales;hume;1;free trade party;0.681751310825348;3359;0.458629161119461
Australia;361901;3;western australia;swan;1;protectionist party;;;
Australia;361901;3;new south wales;gwydir;1;free trade party;0.5057692527771;871;0.135690912604332
Australia;361901;3;queensland;brisbane;1;independent protectionist;0.569799721240997;1538;0.214744478464127
Australia;361901;3;victoria;northern melbourne;1;protectionist party;0.554712057113647;6725;0.589816808700562
Australia;361901;3;victoria;yarra;1;protectionist party;0.637541949748993;5376;0.286146134138107
Australia;361901;3;tasmania;tasmania;1;independent;0.469920068979263;140;0.00776010192930698
Australia;361901;3;queensland;moreton;1;independent labor;0.567164182662964;2569;0.393535524606705
Australia;361901;3;new south wales;robertson;1;protectionist party;0.580113172531128;3307;0.469610899686813
Australia;361901;3;western australia;fremantle;1;independent free trade;0.311056733131409;262;0.0517275407910347
Australia;361901;3;new south wales;parkes;1;independent labor;0.641456067562103;413;0.0412257947027683
Australia;361901;3;queensland;maranoa;1;free trade party;0.65181028842926;2629;0.467211663722992
Australia;361901;3;new south wales;gwydir;1;independent free trade;0.5057692527771;157;0.0244586393237114
Australia;361901;3;queensland;darling downs;1;protectionist party;0.559501230716705;5968;0.214979887008667
Australia;361901;3;new south wales;canobolas;1;protectionist party;0.699954628944397;3278;0.431032210588455
Australia;361901;3;queensland;kennedy;1;australian labor party;0.665207862854004;3936;0.628653585910797
Australia;361901;3;new south wales;richmond;1;protectionist party;0.669683694839478;3646;0.553430497646332
Australia;361901;3;new south wales;east sydney;1;independent protectionist;0.617124497890472;517;0.0568131878972054
Australia;361901;3;victoria;corio;1;independent protectionist;0.543436706066132;1580;0.243902444839478
Australia;361901;3;victoria;echuca;1;protectionist party;0.596143662929535;3632;0.540235042572021
Australia;361901;3;victoria;corio;1;protectionist party;0.543436706066132;4031;0.203920960426331
Australia;361901;3;new south wales;north sydney;1;free trade party;0.731390714645386;6584;0.604092121124268
Australia;361901;3;victoria;melbourne;1;protectionist party;0.624329447746277;4985;0.608149349689484
Australia;361901;3;new south wales;wentworth;1;protectionist party;0.700432956218719;2915;0.315817981958389
Australia;361901;3;victoria;wimmera;1;protectionist party;0.490661293268204;2372;0.492014110088348
Australia;361901;3;queensland;moreton;1;protectionist party;0.567164182662964;3544;0.321538001298904
Australia;361901;3;victoria;mernda;1;protectionist party;0.507143497467041;2601;0.453372836112976
Australia;361901;3;new south wales;wentworth;1;free trade party;0.700432956218719;6315;0.684181988239288
Australia;361901;3;new south wales;macquarie;1;protectionist party;0.633982360363007;3285;0.460664689540863
Australia;361901;3;new south wales;barrier;1;australian labor party;0.533819258213043;4649;0.874036490917206
Australia;361901;3;south australia;south australia;1;free trade party;0.408229142427444;175813;0.0339101143181324
Australia;361901;3;western australia;perth;1;protectionist party;0.311113506555557;2310;0.409284204244614
Australia;361901;3;queensland;moreton;1;protectionist party;0.567164182662964;3544;0.198529407382011
Australia;361901;3;new south wales;parramatta;1;free trade party;0.745514392852783;5778;0.613115429878235
Australia;361901;3;new south wales;west sydney;1;independent protectionist;0.634335994720459;307;0.0340317040681839
Australia;361901;3;new south wales;gwydir;1;protectionist party;0.5057692527771;3522;0.54868358373642
Australia;361901;3;victoria;gippsland;1;protectionist party;;;
Australia;361901;3;south australia;south australia;1;protectionist party;0.408229142427444;116970;0.0602637082338333
Australia;361901;3;victoria;moira;1;protectionist party;0.508394718170166;2883;0.561550438404083
Australia;361901;3;south australia;south australia;1;independent;0.408229142427444;1745;0.00498342188075185
Australia;361901;3;new south wales;newcastle;1;independent labor;0.970191895961761;95;0.00814611557871103
Australia;361901;3;victoria;corinella;1;free trade party;0.568000674247742;2723;0.415154755115509
Australia;361901;3;queensland;herbert;1;australian labor party;0.666137218475342;3353;0.516402304172516
Australia;361901;3;victoria;bourke;1;protectionist party;0.660874783992767;3021;0.345770865678787
Australia;361901;3;new south wales;gwydir;1;australian labor party;0.5057692527771;1869;0.291166841983795
Australia;361901;3;queensland;brisbane;1;australian labor party;0.569799721240997;2273;0.31736946105957
Australia;361901;3;new south wales;south sydney;1;australian labor party;0.731698036193848;4314;0.380389750003815
Australia;361901;3;new south wales;robertson;1;free trade party;0.580113172531128;3735;0.530389070510864
Australia;361901;3;tasmania;tasmania;1;protectionist party;0.469920068979263;7843;0.218391448259354
Australia;361901;3;new south wales;new england;1;free trade party;0.673198699951172;3955;0.446237176656723
Australia;361901;3;victoria;yarra;1;independent protectionist;0.637541949748993;1043;0.108725115656853
Australia;361901;3;new south wales;bland;1;independent protectionist;0.670243740081787;2271;0.315635859966278
Australia;361901;3;queensland;darling downs;1;protectionist party;0.559501230716705;5968;0.785020112991333
Australia;361901;3;western australia;perth;1;australian labor party;0.311113506555557;3334;0.590715825557709
Australia;361901;3;victoria;balaclava;1;protectionist party;;;
Australia;361901;3;new south wales;north sydney;1;independent free trade;0.731390714645386;4315;0.395907878875732
Australia;361901;3;tasmania;tasmania;1;free trade party;0.469920068979263;10058;0.261626303195953
Australia;361901;3;victoria;bourke;1;free trade party;0.660874783992767;2343;0.268169850111008
Australia;361901;3;victoria;flinders;1;protectionist party;0.472359329462051;1939;0.340175449848175
Australia;361901;3;western australia;fremantle;1;independent free trade;0.311056733131409;102;0.0201382040977478
Australia;361901;3;new south wales;lang;1;free trade party;0.856869101524353;7449;0.745421767234802
Australia;361901;3;new south wales;werriwa;1;protectionist party;0.698893308639526;3731;0.481046944856644
Australia;361901;3;victoria;flinders;1;independent protectionist;0.472359329462051;1489;0.261228084564209
Australia;361901;3;new south wales;lang;1;protectionist party;0.856869101524353;1801;0.180226162075996
Australia;361901;3;new south wales;canobolas;1;australian labor party;0.699954628944397;4120;0.541748821735382
Australia;361901;3;victoria;grampians;1;free trade party;0.494412362575531;2576;0.49019980430603
Australia;361901;3;south australia;south australia;1;protectionist party;0.408229142427444;116970;0.00816196016967297
Australia;361901;3;queensland;wide bay;1;protectionist party;0.711897969245911;3955;0.446136504411697
Australia;361901;3;south australia;south australia;1;free trade party;0.408229142427444;175813;0.0450078696012497
Australia;361901;3;new south wales;new england;1;independent;0.673198699951172;845;0.0953401774168015
Australia;361901;3;queensland;oxley;1;protectionist party;0.578072845935822;3753;0.532189428806305
Australia;361901;3;new south wales;south sydney;1;free trade party;0.731698036193848;4693;0.413808315992355
Australia;361901;3;new south wales;riverina;1;free trade party;0.623844921588898;2850;0.465306133031845
Australia;361901;3;new south wales;canobolas;1;independent protectionist;0.699954628944397;153;0.0201183427125216
Australia;361901;3;tasmania;tasmania;1;protectionist party;0.469920068979263;7843;0.0646859928965569
Australia;361901;3;south australia;south australia;1;protectionist party;0.408229142427444;116970;0.118451230227947
Australia;361901;3;new south wales;east sydney;1;independent protectionist;0.617124497890472;2139;0.235054939985275
Australia;361901;3;queensland;kennedy;1;free trade party;0.665207862854004;2325;0.371346443891525
Australia;361901;3;queensland;capricornia;1;australian labor party;0.683267652988434;3493;0.49024561047554
Australia;361901;3;south australia;south australia;1;protectionist party;0.408229142427444;116970;0.112616769969463
Australia;361901;3;victoria;southern melbourne;1;australian labor party;0.620165944099426;3211;0.409305304288864
Australia;361901;3;victoria;wannon;1;independent free trade;0.618251383304596;1913;0.27760848402977
Australia;361901;3;south australia;south australia;1;free trade party;0.408229142427444;175813;0.0738631635904312
Australia;361901;3;tasmania;tasmania;1;protectionist party;0.469920068979263;7843;0.0522143989801407
Australia;361901;3;victoria;laanecoorie;1;protectionist party;0.58074688911438;3054;0.520804882049561
Australia;361901;3;new south wales;dalley;1;free trade party;0.725612163543701;5507;0.508354127407074
Australia;361901;3;new south wales;lang;1;australian labor party;0.856869101524353;632;0.0632442682981491
Australia;361901;3;victoria;yarra;1;protectionist party;0.637541949748993;5376;0.274262487888336
Australia;361901;3;new south wales;dalley;1;australian labor party;0.725612163543701;2245;0.207237139344215
Australia;361901;3;victoria;corinella;1;protectionist party;0.568000674247742;3836;0.584845244884491
Australia;361901;3;queensland;capricornia;1;independent free trade;0.683267652988434;3632;0.509754359722137
Australia;361901;3;western australia;kalgoorlie;1;independent free trade;0.445962458848953;3015;
Australia;361901;3;victoria;northern melbourne;1;protectionist party;0.554712057113647;6725;0.210207000374794
Australia;361901;3;victoria;yarra;1;australian labor party;0.637541949748993;3174;0.330866247415543
Australia;361901;3;victoria;laanecoorie;1;independent protectionist;0.58074688911438;2810;0.479195088148117
Australia;361901;3;queensland;wide bay;1;australian labor party;0.711897969245911;4910;0.553863525390625
Australia;361901;3;victoria;grampians;1;independent protectionist;0.494412362575531;745;0.141769737005234
Australia;361901;3;new south wales;darling;1;free trade party;0.570212781429291;1537;0.309629321098328
Australia;361901;3;new south wales;hunter;1;protectionist party;;;
Australia;361901;3;victoria;corangamite;1;protectionist party;0.485606670379639;5381;0.27782940864563
Australia;361901;3;victoria;ballaarat;1;protectionist party;0.476002722978592;4655;0.744919180870056
Australia;361901;3;new south wales;hume;1;protectionist party;0.681751310825348;3965;0.541370809078217
Australia;361901;3;tasmania;tasmania;1;free trade party;0.469920068979263;10058;0.115958094596863
Australia;361901;3;victoria;wimmera;1;free trade party;0.490661293268204;1832;0.38000413775444
Australia;361901;3;victoria;mernda;1;independent protectionist;0.507143497467041;1026;0.178839117288589
Australia;361901;3;tasmania;tasmania;1;free trade party;0.469920068979263;10058;0.100659608840942
Australia;361901;3;new south wales;cowper;1;protectionist party;0.674269616603851;5654;0.383450716733932
Australia;361901;3;new south wales;eden-monaro;1;protectionist party;0.680536925792694;8492;0.641898274421692
Australia;361901;3;victoria;bourke;1;independent protectionist;0.660874783992767;1138;0.130250662565231
Australia;361901;3;new south wales;canobolas;1;independent protectionist;0.699954628944397;54;0.00710059190168977
Australia;361901;3;south australia;south australia;1;free trade party;0.408229142427444;175813;0.0315683372318745
Australia;361901;3;new south wales;dalley;1;protectionist party;0.725612163543701;3081;0.284408748149872
Australia;361901;3;victoria;bourke;1;independent protectionist;0.660874783992767;676;0.0773720964789391
Australia;361901;3;south australia;south australia;1;free trade party;0.408229142427444;175813;0.10687655210495
Australia;361901;3;tasmania;tasmania;1;protectionist party;0.469920068979263;7843;0.0994401648640633
Australia;361901;3;victoria;bourke;1;australian labor party;0.660874783992767;1559;0.178436532616615
Australia;361901;3;new south wales;new england;1;protectionist party;0.673198699951172;4063;0.458422660827637
Australia;361901;3;victoria;grampians;1;protectionist party;0.494412362575531;1934;0.368030458688736
Australia;361901;3;victoria;flinders;1;free trade party;0.472359329462051;2272;0.398596495389938
Australia;361901;3;new south wales;east sydney;1;independent;0.617124497890472;253;0.0278021972626448
Australia;361901;3;new south wales;east sydney;1;free trade party;0.617124497890472;6191;0.68032968044281
Australia;361901;3;new south wales;bland;1;australian labor party;0.670243740081787;4132;0.574287712574005
Australia;361901;3;western australia;kalgoorlie;1;free trade party;0.445962458848953;5374;
Australia;361901;3;queensland;moreton;1;independent;0.567164182662964;301;0.0461090691387653
Australia;361901;3;south australia;south australia;1;free trade party;0.408229142427444;175813;0.106950804591179
Australia;361901;3;new south wales;west sydney;1;australian labor party;0.634335994720459;6652;0.737390518188477
Australia;361901;3;victoria;mernda;1;independent protectionist;0.507143497467041;2110;0.367788046598434
Australia;361901;3;victoria;echuca;1;free trade party;0.596143662929535;3091;0.459764987230301
Australia;361901;3;victoria;corangamite;1;protectionist party;0.485606670379639;5381;0.72217059135437
Australia;361901;3;victoria;southern melbourne;1;free trade party;0.620165944099426;1865;0.237731039524078
Australia;361901;3;new south wales;newcastle;1;australian labor party;0.970191895961761;7495;0.642685651779175
Australia;361901;3;victoria;kooyong;1;independent protectionist;0.663623094558716;821;0.0908185839653015
Australia;361901;3;south australia;south australia;1;australian labor party;0.408229142427444;55633;0.0685941576957703
Australia;361901;3;new south wales;illawarra;1;free trade party;0.763551890850067;5788;0.56912487745285
Australia;361901;3;new south wales;parkes;1;free trade party;0.641456067562103;7321;0.730784595012665
Australia;361901;3;victoria;kooyong;1;free trade party;0.663623094558716;5193;0.5744469165802
Australia;361901;3;victoria;wimmera;1;independent free trade;0.490661293268204;617;0.127981752157211
Australia;361901;3;queensland;moreton;1;independent;0.567164182662964;114;0.0174632351845503
Australia;361901;3;new south wales;macquarie;1;free trade party;0.633982360363007;3846;0.539335310459137
Australia;361901;3;new south wales;darling;1;australian labor party;0.570212781429291;2206;0.444399684667587
Australia;361901;3;new south wales;newcastle;1;free trade party;0.970191895961761;4072;0.349168241024017
Australia;361901;3;queensland;herbert;1;protectionist party;0.666137218475342;3140;0.483597725629807
Australia;361901;3;tasmania;tasmania;1;free trade party;0.469920068979263;10058;0.0792638957500458
Australia;361901;3;victoria;corio;1;protectionist party;0.543436706066132;4031;0.418338984251022
Australia;361901;3;south australia;south australia;1;free trade party;0.408229142427444;175813;0.077193059027195
Australia;361901;3;victoria;indi;1;protectionist party;0.594127655029297;3839;0.6510089635849
Australia;361901;3;victoria;wannon;1;free trade party;0.618251383304596;3088;0.44812074303627
Australia;361901;3;victoria;corio;1;free trade party;0.543436706066132;867;0.13383761048317
Australia;361901;3;south australia;south australia;1;protectionist party;0.408229142427444;116970;0.0255511030554771
Australia;361901;3;new south wales;parkes;1;protectionist party;0.641456067562103;2284;0.227989614009857
Australia;361901;3;new south wales;lang;1;independent protectionist;0.856869101524353;111;0.0111077753826976
Australia;361901;3;south australia;south australia;1;australian labor party;0.408229142427444;55633;0.0902841836214066
Australia;361901;3;new south wales;riverina;1;protectionist party;0.623844921588898;3275;0.534693896770477
Australia;361901;3;new south wales;barrier;1;independent;0.533819258213043;670;0.125963523983955
Australia;361901;3;victoria;kooyong;1;protectionist party;0.663623094558716;3026;0.334734499454498
Australia;361901;3;victoria;northern melbourne;1;independent protectionist;0.554712057113647;1681;0.199976205825806
Australia;361901;3;western australia;fremantle;1;australian labor party;0.311056733131409;1831;0.36150050163269
Australia;361901;3;new south wales;south sydney;1;independent protectionist;0.731698036193848;2334;0.205801963806152
Australia;361901;3;victoria;indi;1;free trade party;0.594127655029297;2058;0.348991006612778
Australia;361901;3;queensland;brisbane;1;protectionist party;0.569799721240997;3351;0.467886060476303
Australia;361901;3;victoria;southern melbourne;1;protectionist party;0.620165944099426;2256;0.2875716984272
Australia;361901;3;new south wales;illawarra;1;protectionist party;0.763551890850067;3693;0.363126844167709
Australia;361901;3;new south wales;eden-monaro;1;protectionist party;0.680536925792694;8492;0.35810175538063
Australia;361901;3;victoria;southern melbourne;1;independent protectionist;0.620165944099426;513;0.0653919726610184
Australia;361901;3;queensland;maranoa;1;australian labor party;0.65181028842926;2998;0.532788336277008
Australia;361901;3;victoria;ballaarat;1;independent protectionist;0.476002722978592;1594;0.255080819129944
Australia;361901;3;western australia;coolgardie;1;free trade party;0.394702225923538;2974;
Australia;361901;3;victoria;wannon;1;protectionist party;0.618251383304596;1890;0.274270802736282
Australia;361901;3;new south wales;bland;1;free trade party;0.670243740081787;792;0.110076442360878
Australia;361903;12;tasmania;wilmot;1;protectionist party;0.390889436006546;2723;0.451126575469971
Australia;361903;12;victoria;yarra;1;protectionist party;0.557891368865967;6496;0.318026036024094
Australia;361903;12;victoria;wimmera;1;protectionist party;0.512431859970093;3263;0.389937847852707
Australia;361903;12;new south wales;gwydir;1;independent protectionist;0.386851519346237;1302;0.158413425087929
Australia;361903;12;victoria;flinders;1;protectionist party;0.528057992458344;3917;0.273457139730453
Australia;361903;12;queensland;capricornia;1;free trade party;0.581899762153625;6160;0.199182003736496
Australia;361903;12;new south wales;wentworth;1;protectionist party;0.626203656196594;5459;0.282075136899948
Australia;361903;12;western australia;swan;1;protectionist party;;;
Australia;361903;12;new south wales;hunter;1;free trade party;0.490969091653824;7697;0.592897832393646
Australia;361903;12;new south wales;richmond;1;protectionist party;0.453281372785568;6096;0.726406097412109
Australia;361903;12;victoria;southern melbourne;1;protectionist party;0.542471945285797;9948;0.435780048370361
Australia;361903;12;victoria;moira;1;protectionist party;0.483118742704391;5385;0.539849638938904
Australia;361903;12;tasmania;darwin;1;protectionist party;0.580224692821503;4354;0.489763766527176
Australia;361903;12;queensland;kennedy;1;australian labor party;0.606354355812073;8031;0.696893453598022
Australia;361903;12;victoria;grampians;1;independent labor;0.498389631509781;722;0.0682548657059669
Australia;361903;12;south australia;barker;1;protectionist party;;;
Australia;361903;12;tasmania;franklin;1;revenue tariff party;0.339032053947449;3546;0.146701544523239
Australia;361903;12;new south wales;new england;1;protectionist party;0.514369010925293;6423;0.481339931488037
Australia;361903;12;victoria;corangamite;1;independent protectionist;0.554572522640228;1484;0.113386310636997
Australia;361903;12;new south wales;parkes;1;australian labor party;0.586704671382904;3876;0.183609664440155
Australia;361903;12;western australia;perth;1;free trade party;0.228481829166412;1591;0.27247816324234
Australia;361903;12;new south wales;new england;1;free trade party;0.514369010925293;6921;0.518660068511963
Australia;361903;12;victoria;balaclava;1;protectionist party;;;
Australia;361903;12;victoria;melbourne;1;australian labor party;0.585130631923676;7679;0.497505664825439
Australia;361903;12;new south wales;lang;1;protectionist party;0.549208164215088;1642;0.0790829807519913
Australia;361903;12;victoria;wimmera;1;independent protectionist;0.512431859970093;2011;0.240320265293121
Australia;361903;12;queensland;brisbane;1;free trade party;0.511569321155548;7321;0.427154451608658
Australia;361903;12;victoria;bourke;1;independent protectionist;0.59405517578125;3841;0.187998622655869
Australia;361903;12;victoria;kooyong;1;protectionist party;0.588912308216095;10768;0.472011566162109
Australia;361903;12;new south wales;parramatta;1;free trade party;0.471324622631073;10097;0.801158428192139
Australia;361903;12;victoria;corinella;1;protectionist party;;;
Australia;361903;12;new south wales;south sydney;1;australian labor party;0.559389293193817;7596;0.440143704414368
Australia;361903;12;victoria;grampians;1;australian labor party;0.498389631509781;2735;0.258555501699448
Australia;361903;12;queensland;oxley;1;australian labor party;0.551937699317932;8062;0.476815700531006
Australia;361903;12;victoria;grampians;1;free trade party;0.498389631509781;3836;0.362639427185059
Australia;361903;12;victoria;wannon;1;australian labor party;0.539626896381378;4611;0.376346707344055
Australia;361903;12;victoria;bendigo;1;australian labor party;0.572669804096222;5704;0.396827608346939
Australia;361903;12;victoria;southern melbourne;1;protectionist party;0.542471945285797;9948;0.0560905039310455
Australia;361903;12;victoria;southern melbourne;1;protectionist party;0.542471945285797;9948;0.0315706394612789
Australia;361903;12;victoria;flinders;1;independent protectionist;0.528057992458344;2242;0.156520530581474
Australia;361903;12;tasmania;bass;1;protectionist party;0.421034663915634;4092;0.567073166370392
Australia;361903;12;queensland;moreton;1;independent labor;0.464407533407211;6941;0.557554841041565
Australia;361903;12;victoria;ballaarat;1;protectionist party;;;
Australia;361903;12;south australia;wakefield;1;protectionist party;;;
Australia;361903;12;victoria;echuca;1;protectionist party;0.44275751709938;5511;0.63352108001709
Australia;361903;12;victoria;mernda;1;free trade party;0.451864004135132;2807;0.287572979927063
Australia;361903;12;tasmania;franklin;1;revenue tariff party;0.339032053947449;3546;0.371145576238632
Australia;361903;12;new south wales;darling;1;australian labor party;0.365601271390915;3148;0.58177787065506
Australia;361903;12;new south wales;canobolas;1;australian labor party;;;
Australia;361903;12;new south wales;west sydney;1;free trade party;0.419164687395096;3129;0.30077862739563
Australia;361903;12;tasmania;franklin;1;independent;0.339032053947449;320;0.0598019063472748
Australia;361903;12;victoria;southern melbourne;1;australian labor party;0.542471945285797;9057;0.476558804512024
Australia;361903;12;victoria;corangamite;1;protectionist party;0.554572522640228;2968;0.226772621273994
Australia;361903;12;victoria;laanecoorie;1;protectionist party;0.481056421995163;6930;0.746124029159546
Australia;361903;12;new south wales;gwydir;1;free trade party;0.386851519346237;2522;0.306849986314774
Australia;361903;12;victoria;melbourne ports;1;australian labor party;0.557018756866455;7290;0.419471770524979
Australia;361903;12;south australia;boothby;1;free trade party;0.430691689252853;4802;0.45400395989418
Australia;361903;12;western australia;fremantle;1;australian labor party;0.308595150709152;3439;0.612684845924377
Australia;361903;12;new south wales;lang;1;australian labor party;0.549208164215088;3042;0.146510615944862
Australia;361903;12;new south wales;east sydney;1;protectionist party;0.387572109699249;799;0.0604844801127911
