CD_YEAR|CD_MUNTY_REFNIS|MS_NBR_NON_ZERO_INC|MS_NBR_ZERO_INC|MS_TOT_NET_TAXABLE_INC|MS_TOT_NET_INC|MS_NBR_TOT_NET_INC|MS_REAL_ESTATE_NET_INC|MS_NBR_REAL_ESTATE_NET_INC|MS_TOT_NET_MOV_ASS_INC|MS_NBR_NET_MOV_ASS_INC|MS_TOT_NET_VARIOUS_INC|MS_NBR_NET_VARIOUS_INC|MS_TOT_NET_PROF_INC|MS_NBR_NET_PROF_INC|MS_SEP_TAXABLE_INC|MS_NBR_SEP_TAXABLE_INC|MS_JOINT_TAXABLE_INC|MS_NBR_JOINT_TAXABLE_INC|MS_TOT_DEDUCT_SPEND|MS_NBR_DEDUCT_SPEND|MS_TOT_STATE_TAXES|MS_NBR_STATE_TAXES|MS_TOT_MUNICIP_TAXES|MS_NBR_MUNICIP_TAXES|MS_TOT_SUBURBS_TAXES|MS_NBR_SUBURBS_TAXES|MS_TOT_TAXES|MS_NBR_TOT_TAXES|MS_TOT_RESIDENTS|TX_MUNTY_DESCR_NL|TX_MUNTY_DESCR_FR|CD_DSTR_REFNIS|TX_ADM_DSTR_DESCR_NL|TX_ADM_DSTR_DESCR_FR|CD_PROV_REFNIS|TX_PROV_DESCR_NL|TX_PROV_DESCR_FR|CD_RGN_REFNIS|TX_RGN_DESCR_NL|TX_RGN_DESCR_FR
2005|11001|8065|381|260615502.8|263021930.86|8065|2857128.46|815|614863.85|94|454013.44|160|259095925.11|8016|14564091.49|1680|246051411.31|8062|2406428.06|2549|68889384.55|6567|2716191.82|6474|0|0|71605576.37|6578|14375|Aartselaar|Aartselaar|11000|Arrondissement Antwerpen|Arrondissement d’Anvers|10000|Provincie Antwerpen|Province d’Anvers|02000|Vlaams Gewest|Région flamande
2006|11001|8155|261|267383510.81|270527005.79|8155|2945477.61|830|300368.82|100|616256.92|156|266664902.44|8112|13441786.49|1891|253941724.32|8152|3143494.98|2383|70350756.44|6656|2775182.19|6547|0|0|73125938.63|6667|14325|Aartselaar|Aartselaar|11000|Arrondissement Antwerpen|Arrondissement d’Anvers|10000|Provincie Antwerpen|Province d’Anvers|02000|Vlaams Gewest|Région flamande
2007|11001|8153|266|279781832.25|283445911.83|8153|2954362.27|822|323008.45|104|637938.45|140|279530602.66|8115|21357544.64|1766|258424287.61|8150|3664079.58|2578|72382059.11|6607|2869414.87|6518|0|0|75251473.98|6631|14267|Aartselaar|Aartselaar|11000|Arrondissement Antwerpen|Arrondissement d’Anvers|10000|Provincie Antwerpen|Province d’Anvers|02000|Vlaams Gewest|Région flamande
2008|11001|8285|428|285969483.43|290370590.37|8285|2996274.05|814|438376.6|129|440221.42|136|286495718.3|8253|18657486.4|1833|267311997.03|8284|4401106.94|2610|73994209.91|6697|2937264.38|6592|0|0|76931474.29|6730|14265|Aartselaar|Aartselaar|11000|Arrondissement Antwerpen|Arrondissement d’Anvers|10000|Provincie Antwerpen|Province d’Anvers|02000|Vlaams Gewest|Région flamande
2009|11001|8236|530|294151155.64|299126065.18|8236|2990552.63|808|1625597.45|143|477309.29|146|294032605.81|8190|21023479.75|1773|273127675.89|8234|4974909.54|2779|72810166.85|6712|2938991.27|6574|0|0|75749158.12|6749|14290|Aartselaar|Aartselaar|11000|Arrondissement Antwerpen|Arrondissement d’Anvers|10000|Provincie Antwerpen|Province d’Anvers|02000|Vlaams Gewest|Région flamande
2010|11001|8280|517|291155031.55|296694329.7|8280|3153190.1|857|881371.43|155|445169.23|118|292214598.94|8248|16616853.12|1757|274538178.43|8275|5539298.15|2941|73378652.07|6785|2911378.15|6561|0|0|76290030.22|6799|14311|Aartselaar|Aartselaar|11000|Arrondissement Antwerpen|Arrondissement d’Anvers|10000|Provincie Antwerpen|Province d’Anvers|02000|Vlaams Gewest|Région flamande
2011|11001|8145|427|303129330.45|309364932.47|8145|3239924.76|879|1114209.88|205|347656.34|108|304663141.49|8120|20520411.48|1789|282608918.97|8143|6235602.02|2832|75741106.38|6982|3002363.13|6542|0|0|78743469.51|6990|14281|Aartselaar|Aartselaar|11000|Arrondissement Antwerpen|Arrondissement d’Anvers|10000|Provincie Antwerpen|Province d’Anvers|02000|Vlaams Gewest|Région flamande
2012|11001|8117|375|311339152.59|317362184.39|8117|3491439.73|912|4385843.96|370|349674.47|113|309135226.23|8080|18512145.09|1847|292827007.5|8116|6023031.8|1558|78832706.38|6995|3859283.93|6596|0|0|82691990.31|7001|14226|Aartselaar|Aartselaar|11000|Arrondissement Antwerpen|Arrondissement d’Anvers|10000|Provincie Antwerpen|Province d’Anvers|02000|Vlaams Gewest|Région flamande
2013|11001|8075|348|312060895.46|318621520.17|8075|3580307.55|1059|1452012.99|338|575811.4|120|313013388.23|8044|15382616.84|1803|296678278.62|8073|6560624.71|1602|79674794.78|6955|3938478.97|6553|0|0|83613273.75|6966|14207|Aartselaar|Aartselaar|11000|Arrondissement Antwerpen|Arrondissement d’Anvers|10000|Provincie Antwerpen|Province d’Anvers|02000|Vlaams Gewest|Région flamande
2005|11002|265752|21131|5971117324.1|6028161718.6|265752|67085112.35|18674|13966472.31|2036|14504003.19|4620|5932606130.7|264303|202521313.31|57077|5768596010.8|265646|57044394.48|61824|1293330609.9|204285|103074211.02|193507|0|0|1396404820.9|204933|461496|Antwerpen|Anvers|11000|Arrondissement Antwerpen|Arrondissement d’Anvers|10000|Provincie Antwerpen|Province d’Anvers|02000|Vlaams Gewest|Région flamande
2006|11002|271395|25934|6187862496.8|6265375494.2|271395|67662355.39|18370|14924521.26|2084|17619065.82|4580|6165169551.7|269966|202496624.43|61552|5985365872.4|271287|77512997.42|62003|1335456419.8|207745|106554972.48|196339|0|0|1442011392.2|208492|466203|Antwerpen|Anvers|11000|Arrondissement Antwerpen|Arrondissement d’Anvers|10000|Provincie Antwerpen|Province d’Anvers|02000|Vlaams Gewest|Région flamande
2007|11002|278232|29427|6475048564.3|6575056218.6|278232|66782884.25|17955|15188498.99|2412|15855536.78|4533|6477229298.5|276887|244495526.41|61940|6230553037.9|278094|100007654.26|70186|1388144359.1|210931|111595078.66|199922|0|0|1499739437.8|212647|472071|Antwerpen|Anvers|11000|Arrondissement Antwerpen|Arrondissement d’Anvers|10000|Provincie Antwerpen|Province d’Anvers|02000|Vlaams Gewest|Région flamande
2008|11002|281656|32408|6821664111.1|6941702685.1|281656|66784854.45|17734|18614904.72|3735|14732273.14|3984|6841570652.8|280352|250728520.79|64022|6570935590.3|281550|120038574.02|73620|1466834459|215661|118305964.09|203277|0|0|1585140423.1|217869|477936|Antwerpen|Anvers|11000|Arrondissement Antwerpen|Arrondissement d’Anvers|10000|Provincie Antwerpen|Province d’Anvers|02000|Vlaams Gewest|Région flamande
2009|11002|281530|35255|6923862081.4|7066174466.3|281530|69285869.64|18056|17930445.59|3723|15073908.38|3999|6963884242.7|280113|256869981.37|61609|6666992100|281419|142312384.88|80613|1406375296.6|214888|115999957.62|201213|0|0|1522375254.2|217840|483505|Antwerpen|Anvers|11000|Arrondissement Antwerpen|Arrondissement d’Anvers|10000|Provincie Antwerpen|Province d’Anvers|02000|Vlaams Gewest|Région flamande
2010|11002|283681|38292|7013860830.7|7174244325.3|283681|70397976.37|18283|19868884.28|3816|12846316.37|3382|7071131148.3|282470|275386533.15|64822|6738474297.5|283548|160383494.61|85910|1454263391.1|219254|117162685.99|202396|0|0|1571426077|220775|493517|Antwerpen|Anvers|11000|Arrondissement Antwerpen|Arrondissement d’Anvers|10000|Provincie Antwerpen|Province d’Anvers|02000|Vlaams Gewest|Région flamande
2011|11002|285142|34081|7265265211|7445719553.1|285142|72124766.43|18338|24562128.3|4542|11867080.65|3196|7337165577.7|284017|269960814.16|66369|6995304396.8|285025|180454342.06|86252|1504494280.4|237094|120949299.67|204190|0|0|1625443580.1|237780|502604|Antwerpen|Anvers|11000|Arrondissement Antwerpen|Arrondissement d’Anvers|10000|Provincie Antwerpen|Province d’Anvers|02000|Vlaams Gewest|Région flamande
2012|11002|282678|32583|7534323945.6|7714930941.3|282678|72680047.56|18314|74289870.27|7722|11299623.44|3051|7556661400.1|281587|300232667.49|66317|7234091278.1|282556|180606995.75|49782|1569090722.5|236658|124946229.18|203393|0|0|1694036951.7|237313|507911|Antwerpen|Anvers|11000|Arrondissement Antwerpen|Arrondissement d’Anvers|10000|Provincie Antwerpen|Province d’Anvers|02000|Vlaams Gewest|Région flamande
2013|11002|282801|32880|7684506183.9|7882264433.5|282801|81499603.26|20962|47919685.28|7262|10255681.43|2833|7742589463.6|281666|282268169.6|67141|7402238014.3|282681|197758249.69|52308|1600269952.6|235660|128021849.42|203054|0|0|1728291802|236305|510610|Antwerpen|Anvers|11000|Arrondissement Antwerpen|Arrondissement d’Anvers|10000|Provincie Antwerpen|Province d’Anvers|02000|Vlaams Gewest|Région flamande
