Kieskring,Arrondissement,Kanton,Gemeente
Antwerpen#Anvers,Antwerpen#Anvers,Antwerpen#Anvers,Antwerpen#Anvers
Antwerpen#Anvers,Antwerpen#Anvers,Antwerpen#Anvers,Zwijndrecht
Antwerpen#Anvers,Antwerpen#Anvers,Boom,Boom
Antwerpen#Anvers,Antwerpen#Anvers,Boom,Hemiksem
Antwerpen#Anvers,Antwerpen#Anvers,Boom,Niel
Antwerpen#Anvers,Antwerpen#Anvers,Boom,Rumst
Antwerpen#Anvers,Antwerpen#Anvers,Boom,Schelle
Antwerpen#Anvers,Antwerpen#Anvers,Brecht,Brecht
Antwerpen#Anvers,Antwerpen#Anvers,Brecht,Essen
Antwerpen#Anvers,Antwerpen#Anvers,Brecht,Kalmthout
Antwerpen#Anvers,Antwerpen#Anvers,Brecht,Malle
Antwerpen#Anvers,Antwerpen#Anvers,Brecht,Wuustwezel
Antwerpen#Anvers,Antwerpen#Anvers,Kapellen,Kapellen
Antwerpen#Anvers,Antwerpen#Anvers,Kapellen,Brasschaat
Antwerpen#Anvers,Antwerpen#Anvers,Kapellen,Schoten
Antwerpen#Anvers,Antwerpen#Anvers,Kapellen,Stabroek
Antwerpen#Anvers,Antwerpen#Anvers,Kontich,Kontich
Antwerpen#Anvers,Antwerpen#Anvers,Kontich,Aartselaar
Antwerpen#Anvers,Antwerpen#Anvers,Kontich,Boechout
Antwerpen#Anvers,Antwerpen#Anvers,Kontich,Borsbeek
Antwerpen#Anvers,Antwerpen#Anvers,Kontich,Edegem
Antwerpen#Anvers,Antwerpen#Anvers,Kontich,Hove
Antwerpen#Anvers,Antwerpen#Anvers,Kontich,Lint
Antwerpen#Anvers,Antwerpen#Anvers,Kontich,Mortsel
Antwerpen#Anvers,Antwerpen#Anvers,Zandhoven,Zandhoven
Antwerpen#Anvers,Antwerpen#Anvers,Zandhoven,Ranst
Antwerpen#Anvers,Antwerpen#Anvers,Zandhoven,Schilde
Antwerpen#Anvers,Antwerpen#Anvers,Zandhoven,Wijnegem
Antwerpen#Anvers,Antwerpen#Anvers,Zandhoven,Wommelgem
Antwerpen#Anvers,Antwerpen#Anvers,Zandhoven,Zoersel
Antwerpen#Anvers,Mechelen-Turnhout#Malines-Turnhout,Mechelen#Malines,Mechelen#Malines
Antwerpen#Anvers,Mechelen-Turnhout#Malines-Turnhout,Mechelen#Malines,Willebroek
Antwerpen#Anvers,Mechelen-Turnhout#Malines-Turnhout,Duffel,Duffel
Antwerpen#Anvers,Mechelen-Turnhout#Malines-Turnhout,Duffel,Bonheiden
Antwerpen#Anvers,Mechelen-Turnhout#Malines-Turnhout,Duffel,Sint-Katelijne-Waver
Antwerpen#Anvers,Mechelen-Turnhout#Malines-Turnhout,Heist-op-den-Berg,Heist-op-den-Berg
Antwerpen#Anvers,Mechelen-Turnhout#Malines-Turnhout,Heist-op-den-Berg,Nijlen
Antwerpen#Anvers,Mechelen-Turnhout#Malines-Turnhout,Heist-op-den-Berg,Putte
Antwerpen#Anvers,Mechelen-Turnhout#Malines-Turnhout,Lier#Lierre,Lier#Lierre
Antwerpen#Anvers,Mechelen-Turnhout#Malines-Turnhout,Lier#Lierre,Berlaar
Antwerpen#Anvers,Mechelen-Turnhout#Malines-Turnhout,Puurs,Puurs
Antwerpen#Anvers,Mechelen-Turnhout#Malines-Turnhout,Puurs,Bornem
Antwerpen#Anvers,Mechelen-Turnhout#Malines-Turnhout,Puurs,Sint-Amands
Antwerpen#Anvers,Mechelen-Turnhout#Malines-Turnhout,Turnhout,Turnhout
Antwerpen#Anvers,Mechelen-Turnhout#Malines-Turnhout,Turnhout,Beerse
Antwerpen#Anvers,Mechelen-Turnhout#Malines-Turnhout,Turnhout,Oud-Turnhout
Antwerpen#Anvers,Mechelen-Turnhout#Malines-Turnhout,Turnhout,Vosselaar
Antwerpen#Anvers,Mechelen-Turnhout#Malines-Turnhout,Arendonk,Arendonk
Antwerpen#Anvers,Mechelen-Turnhout#Malines-Turnhout,Arendonk,Dessel
Antwerpen#Anvers,Mechelen-Turnhout#Malines-Turnhout,Arendonk,Ravels
Antwerpen#Anvers,Mechelen-Turnhout#Malines-Turnhout,Arendonk,Retie
Antwerpen#Anvers,Mechelen-Turnhout#Malines-Turnhout,Herentals,Herentals
Antwerpen#Anvers,Mechelen-Turnhout#Malines-Turnhout,Herentals,Grobbendonk
Antwerpen#Anvers,Mechelen-Turnhout#Malines-Turnhout,Herentals,Herenthout
Antwerpen#Anvers,Mechelen-Turnhout#Malines-Turnhout,Herentals,Kasterlee
Antwerpen#Anvers,Mechelen-Turnhout#Malines-Turnhout,Herentals,Lille
Antwerpen#Anvers,Mechelen-Turnhout#Malines-Turnhout,Herentals,Olen
Antwerpen#Anvers,Mechelen-Turnhout#Malines-Turnhout,Herentals,Vorselaar
Antwerpen#Anvers,Mechelen-Turnhout#Malines-Turnhout,Hoogstraten,Hoogstraten
Antwerpen#Anvers,Mechelen-Turnhout#Malines-Turnhout,Hoogstraten,Baarle-Hertog#Baerle-Duc
Antwerpen#Anvers,Mechelen-Turnhout#Malines-Turnhout,Hoogstraten,Merksplas
Antwerpen#Anvers,Mechelen-Turnhout#Malines-Turnhout,Hoogstraten,Rijkevorsel
Antwerpen#Anvers,Mechelen-Turnhout#Malines-Turnhout,Mol,Mol
Antwerpen#Anvers,Mechelen-Turnhout#Malines-Turnhout,Mol,Balen
Antwerpen#Anvers,Mechelen-Turnhout#Malines-Turnhout,Mol,Geel
Antwerpen#Anvers,Mechelen-Turnhout#Malines-Turnhout,Mol,Meerhout
Antwerpen#Anvers,Mechelen-Turnhout#Malines-Turnhout,Westerlo,Westerlo
Antwerpen#Anvers,Mechelen-Turnhout#Malines-Turnhout,Westerlo,Herselt
Antwerpen#Anvers,Mechelen-Turnhout#Malines-Turnhout,Westerlo,Hulshout
Antwerpen#Anvers,Mechelen-Turnhout#Malines-Turnhout,Westerlo,Laakdal
Antwerpen#Anvers,Mechelen#Malines,Mechelen#Malines,Mechelen#Malines
Antwerpen#Anvers,Mechelen#Malines,Mechelen#Malines,Willebroek
Antwerpen#Anvers,Mechelen#Malines,Duffel,Duffel
Antwerpen#Anvers,Mechelen#Malines,Duffel,Bonheiden
Antwerpen#Anvers,Mechelen#Malines,Duffel,Sint-Katelijne-Waver
Antwerpen#Anvers,Mechelen#Malines,Heist-op-den-Berg,Heist-op-den-Berg
Antwerpen#Anvers,Mechelen#Malines,Heist-op-den-Berg,Nijlen
Antwerpen#Anvers,Mechelen#Malines,Heist-op-den-Berg,Putte
Antwerpen#Anvers,Mechelen#Malines,Lier#Lierre,Lier#Lierre
Antwerpen#Anvers,Mechelen#Malines,Lier#Lierre,Berlaar
Antwerpen#Anvers,Mechelen#Malines,Puurs,Puurs
Antwerpen#Anvers,Mechelen#Malines,Puurs,Bornem
Antwerpen#Anvers,Mechelen#Malines,Puurs,Sint-Amands
Antwerpen#Anvers,Turnhout,Turnhout,Turnhout
Antwerpen#Anvers,Turnhout,Turnhout,Beerse
Antwerpen#Anvers,Turnhout,Turnhout,Oud-Turnhout
Antwerpen#Anvers,Turnhout,Turnhout,Vosselaar
Antwerpen#Anvers,Turnhout,Arendonk,Arendonk
Antwerpen#Anvers,Turnhout,Arendonk,Dessel
Antwerpen#Anvers,Turnhout,Arendonk,Ravels
Antwerpen#Anvers,Turnhout,Arendonk,Retie
Antwerpen#Anvers,Turnhout,Herentals,Herentals
Antwerpen#Anvers,Turnhout,Herentals,Grobbendonk
Antwerpen#Anvers,Turnhout,Herentals,Herenthout
Antwerpen#Anvers,Turnhout,Herentals,Kasterlee
Antwerpen#Anvers,Turnhout,Herentals,Lille
Antwerpen#Anvers,Turnhout,Herentals,Olen
Antwerpen#Anvers,Turnhout,Herentals,Vorselaar
Antwerpen#Anvers,Turnhout,Hoogstraten,Hoogstraten
Antwerpen#Anvers,Turnhout,Hoogstraten,Baarle-Hertog#Baerle-Duc
Antwerpen#Anvers,Turnhout,Hoogstraten,Merksplas
Antwerpen#Anvers,Turnhout,Hoogstraten,Rijkevorsel
Antwerpen#Anvers,Turnhout,Mol,Mol
Antwerpen#Anvers,Turnhout,Mol,Balen
Antwerpen#Anvers,Turnhout,Mol,Geel
Antwerpen#Anvers,Turnhout,Mol,Meerhout
Antwerpen#Anvers,Turnhout,Westerlo,Westerlo
Antwerpen#Anvers,Turnhout,Westerlo,Herselt
Antwerpen#Anvers,Turnhout,Westerlo,Hulshout
Antwerpen#Anvers,Turnhout,Westerlo,Laakdal
Hainaut#Henegouwen,Mons-Soignies#Bergen-Zinnik,Mons#Bergen,Mons#Bergen
Hainaut#Henegouwen,Mons-Soignies#Bergen-Zinnik,Boussu,Boussu
Hainaut#Henegouwen,Mons-Soignies#Bergen-Zinnik,Boussu,Hensies
Hainaut#Henegouwen,Mons-Soignies#Bergen-Zinnik,Boussu,Quaregnon
Hainaut#Henegouwen,Mons-Soignies#Bergen-Zinnik,Boussu,Saint-Ghislain
Hainaut#Henegouwen,Mons-Soignies#Bergen-Zinnik,Dour,Dour
Hainaut#Henegouwen,Mons-Soignies#Bergen-Zinnik,Dour,Colfontaine
Hainaut#Henegouwen,Mons-Soignies#Bergen-Zinnik,Dour,Honnelles
Hainaut#Henegouwen,Mons-Soignies#Bergen-Zinnik,Dour,Quiévrain
Hainaut#Henegouwen,Mons-Soignies#Bergen-Zinnik,Lens,Lens
Hainaut#Henegouwen,Mons-Soignies#Bergen-Zinnik,Lens,Jurbise#Jurbeke
Hainaut#Henegouwen,Mons-Soignies#Bergen-Zinnik,Frameries,Frameries
Hainaut#Henegouwen,Mons-Soignies#Bergen-Zinnik,Frameries,Quévy
Hainaut#Henegouwen,Mons-Soignies#Bergen-Zinnik,Soignies#Zinnik,Soignies#Zinnik
Hainaut#Henegouwen,Mons-Soignies#Bergen-Zinnik,Soignies#Zinnik,Braine-le-Comte#‘s
Hainaut#Henegouwen,Mons-Soignies#Bergen-Zinnik,Soignies#Zinnik,Gravenbrakel
Hainaut#Henegouwen,Mons-Soignies#Bergen-Zinnik,Soignies#Zinnik,Ecaussinnes
Hainaut#Henegouwen,Mons-Soignies#Bergen-Zinnik,Enghien#Edingen,Enghien#Edingen
Hainaut#Henegouwen,Mons-Soignies#Bergen-Zinnik,Enghien#Edingen,Silly#Opzullik
Hainaut#Henegouwen,Mons-Soignies#Bergen-Zinnik,La Louvière,La Louvière
Hainaut#Henegouwen,Mons-Soignies#Bergen-Zinnik,Lessines#Lessen,Lessines#Lessen
Hainaut#Henegouwen,Mons-Soignies#Bergen-Zinnik,Le Roeulx,Le Roeulx
Hainaut#Henegouwen,Mons#Bergen,Mons#Bergen,Mons#Bergen
Hainaut#Henegouwen,Mons#Bergen,Boussu,Boussu
Hainaut#Henegouwen,Mons#Bergen,Boussu,Hensies
Hainaut#Henegouwen,Mons#Bergen,Boussu,Quaregnon
Hainaut#Henegouwen,Mons#Bergen,Boussu,Saint-Ghislain
Hainaut#Henegouwen,Mons#Bergen,Dour,Dour
Hainaut#Henegouwen,Mons#Bergen,Dour,Colfontaine
Hainaut#Henegouwen,Mons#Bergen,Dour,Honnelles
Hainaut#Henegouwen,Mons#Bergen,Dour,Quiévrain
Hainaut#Henegouwen,Mons#Bergen,Lens,Lens
Hainaut#Henegouwen,Mons#Bergen,Lens,Jurbise#Jurbeke
Hainaut#Henegouwen,Mons#Bergen,Frameries,Frameries
